table,attribute_name
Site,ID
Site,SITE_NAME
Site,SITECD
Site,MAX_LAT
Site,MIN_LAT
Site,MAX_LON
Site,MIN_LON
Site,COUNTRYID
Site,SITE_DESCRIPTION
Site,CITID
SiteData,ID
SiteData,SITEID
SiteData,DATASETID
Plot,ID
Plot,SITEID
Plot,PLOT
Plot,MEAS
Plot,MDATE
Plot,PROJID
Plot,LANDCOVID
Plot,PROTOID
Plot,LATITUDE
Plot,LONGITUDE
Plot,TREE_AREA
Plot,SAP_AREA
Plot,UND_AREA
Plot,AUTHOR
Plot,PLOT_DESCRIPTION
Plot,NOTES
Subplot,ID
Subplot,PLOTID
Subplot,SUBP
Subplot,AZI
Subplot,DIST
Subplot,SLOPE
Subplot,LATITUDE
Subplot,LONGITUDE
Subplot,ELEVATION
Subplot,ACCURACY
Subplot,GEOID
Subplot,ECOID
Subplot,TOPOID
Subplot,SUBP_DESCRIPTION
Subplot,NOTES
Disturbance,ID
Disturbance,SUBPID
Disturbance,DISTURBN
Disturbance,DISTRUBID
Disturbance,DISTURBANCE_NOTES
Disturbance,DYEAR
Disturbance,CITID
Tree,ID
Tree,SUBPID
Tree,TREEN
Tree,SPECID
Tree,DBH
Tree,DBASE
Tree,STATID
Tree,HGT
Tree,DEADBREAK_HGT
Tree,BA
Tree,SGID
Tree,NOTES
TreeBiomass,ID
TreeBiomass,TREEID
TreeBiomass,COMPID
TreeBiomass,BIOMASS
TreeBiomass,EQID
TreeBiomass,C_CONT
TreeBiomass,C_CONCID
TreeBiomass,NOTES
TreeSubp_C,SUBPID
TreeSubp_C,TREE_AGC
TreeSubp_C,TREE_BGC
TreeSubp_C,TREE_BA
Sapling,ID
Sapling,SUBPID
Sapling,SAPN
Sapling,SPECID
Sapling,DBH
Sapling,DBASE
Sapling,STATID
Sapling,HGT
Sapling,DEADBREAK_HGT
Sapling,BA
Sapling,SGID
Sapling,NOTES
SaplingBiomass,ID
SaplingBiomass,SAPID
SaplingBiomass,COMPID
SaplingBiomass,BIOMASS
SaplingBiomass,EQID
SaplingBiomass,C_CONT
SaplingBiomass,C_CONCID
SaplingBiomass,NOTES
SaplingSubp_C,SUBPID
SaplingSubp_C,SAP_AGC
SaplingSubp_C,SAP_BGC
SaplingSubp_C,SAP_BA
