table,attribute_name
Site,ID
Site,SITE_NAME
Site,SITECD
Site,MAX_LAT
Site,MIN_LAT
Site,MAX_LON
Site,MIN_LON
Site,COUNTRYID
Site,SITE_DESCRIPTION
Site,CITID
SiteData,ID
SiteData,SITEID
SiteData,DATASETID
Plot,ID
Plot,SITEID
Plot,PLOT
Plot,MEAS
Plot,MDATE
Plot,PROJID
Plot,LANDCOVID
Plot,PROTOID
Plot,LATITUDE
Plot,LONGITUDE
Plot,TREE_AREA
Plot,SAP_AREA
Plot,UND_AREA
Plot,AUTHOR
Plot,PLOT_DESCRIPTION
Plot,NOTES
Subplot,ID
Subplot,PLOTID
Subplot,SUBP
Subplot,AZI
Subplot,DIST
Subplot,SLOPE
Subplot,LATITUDE
Subplot,LONGITUDE
Subplot,ELEVATION
Subplot,ACCURACY
Subplot,GEOID
Subplot,ECOID
Subplot,TOPOID
Subplot,SUBP_DESCRIPTION
Subplot,NOTES
Disturbance,ID
Disturbance,SUBPID
Disturbance,DISTURBN
Disturbance,DISTRUBID
Disturbance,DISTURBANCE_NOTES
Disturbance,DYEAR
Disturbance,CITID
Soil,ID
Soil,SUBPID
Soil,SAMP
Soil,MIND
Soil,MAXD
Soil,INTD
Soil,AREA
Soil,VOL
Soil,DWT
Soil,BD
Soil,C
Soil,N
Soil,C_CONT
Soil,N_CONT
Soil,CNR
SoilSubp_CN,SUBPID
SoilSubp_CN,SOIL_C_CONT
SoilSubp_CN,SOIL_N_CONT
SoilSubp_CN,SOIL_MEAN_DEPTH
SoilSubp_CN,SDTMID
