data_type,table,attribute_name
soil,Site,ID
soil,Site,SITE_NAME
soil,Site,SITECD
soil,Site,MAX_LAT
soil,Site,MIN_LAT
soil,Site,MAX_LON
soil,Site,MIN_LON
soil,Site,COUNTRYID
soil,Site,SITE_DESCRIPTION
soil,Site,CITID
soil,SiteData,ID
soil,SiteData,SITEID
soil,SiteData,DATASETID
soil,Plot,ID
soil,Plot,SITEID
soil,Plot,PLOT
soil,Plot,MEAS
soil,Plot,MDATE
soil,Plot,PROJID
soil,Plot,LANDCOVID
soil,Plot,PROTOID
soil,Plot,LATITUDE
soil,Plot,LONGITUDE
soil,Plot,TREE_AREA
soil,Plot,SAP_AREA
soil,Plot,UND_AREA
soil,Plot,AUTHOR
soil,Plot,PLOT_DESCRIPTION
soil,Plot,NOTES
soil,Subplot,ID
soil,Subplot,PLOTID
soil,Subplot,SUBP
soil,Subplot,AZI
soil,Subplot,DIST
soil,Subplot,SLOPE
soil,Subplot,LATITUDE
soil,Subplot,LONGITUDE
soil,Subplot,ELEVATION
soil,Subplot,ACCURACY
soil,Subplot,GEOID
soil,Subplot,ECOID
soil,Subplot,TOPOID
soil,Subplot,SUBP_DESCRIPTION
soil,Subplot,NOTES
soil,Disturbance,ID
soil,Disturbance,SUBPID
soil,Disturbance,DISTURBN
soil,Disturbance,DISTRUBID
soil,Disturbance,DISTURBANCE_NOTES
soil,Disturbance,DYEAR
soil,Disturbance,CITID
soil,Soil,ID
soil,Soil,SUBPID
soil,Soil,SAMP
soil,Soil,MIND
soil,Soil,MAXD
soil,Soil,INTD
soil,Soil,AREA
soil,Soil,VOL
soil,Soil,DWT
soil,Soil,BD
soil,Soil,C
soil,Soil,N
soil,Soil,C_CONT
soil,Soil,N_CONT
soil,Soil,CNR
soil,SoilSubp_CN,SUBPID
soil,SoilSubp_CN,SOIL_C_CONT
soil,SoilSubp_CN,SOIL_N_CONT
soil,SoilSubp_CN,SOIL_MEAN_DEPTH
soil,SoilSubp_CN,SDTMID
vegetation,Site,ID
vegetation,Site,SITE_NAME
vegetation,Site,SITECD
vegetation,Site,MAX_LAT
vegetation,Site,MIN_LAT
vegetation,Site,MAX_LON
vegetation,Site,MIN_LON
vegetation,Site,COUNTRYID
vegetation,Site,SITE_DESCRIPTION
vegetation,Site,CITID
vegetation,SiteData,ID
vegetation,SiteData,SITEID
vegetation,SiteData,DATASETID
vegetation,Plot,ID
vegetation,Plot,SITEID
vegetation,Plot,PLOT
vegetation,Plot,MEAS
vegetation,Plot,MDATE
vegetation,Plot,PROJID
vegetation,Plot,LANDCOVID
vegetation,Plot,PROTOID
vegetation,Plot,LATITUDE
vegetation,Plot,LONGITUDE
vegetation,Plot,TREE_AREA
vegetation,Plot,SAP_AREA
vegetation,Plot,UND_AREA
vegetation,Plot,AUTHOR
vegetation,Plot,PLOT_DESCRIPTION
vegetation,Plot,NOTES
vegetation,Subplot,ID
vegetation,Subplot,PLOTID
vegetation,Subplot,SUBP
vegetation,Subplot,AZI
vegetation,Subplot,DIST
vegetation,Subplot,SLOPE
vegetation,Subplot,LATITUDE
vegetation,Subplot,LONGITUDE
vegetation,Subplot,ELEVATION
vegetation,Subplot,ACCURACY
vegetation,Subplot,GEOID
vegetation,Subplot,ECOID
vegetation,Subplot,TOPOID
vegetation,Subplot,SUBP_DESCRIPTION
vegetation,Subplot,NOTES
vegetation,Disturbance,ID
vegetation,Disturbance,SUBPID
vegetation,Disturbance,DISTURBN
vegetation,Disturbance,DISTRUBID
vegetation,Disturbance,DISTURBANCE_NOTES
vegetation,Disturbance,DYEAR
vegetation,Disturbance,CITID
vegetation,Tree,ID
vegetation,Tree,SUBPID
vegetation,Tree,TREEN
vegetation,Tree,SPECID
vegetation,Tree,DBH
vegetation,Tree,DBASE
vegetation,Tree,STATID
vegetation,Tree,HGT
vegetation,Tree,DEADBREAK_HGT
vegetation,Tree,BA
vegetation,Tree,SGID
vegetation,Tree,NOTES
vegetation,TreeBiomass,ID
vegetation,TreeBiomass,TREEID
vegetation,TreeBiomass,COMPID
vegetation,TreeBiomass,BIOMASS
vegetation,TreeBiomass,EQID
vegetation,TreeBiomass,C_CONT
vegetation,TreeBiomass,C_CONCID
vegetation,TreeBiomass,NOTES
vegetation,TreeSubp_C,SUBPID
vegetation,TreeSubp_C,TREE_AGC
vegetation,TreeSubp_C,TREE_BGC
vegetation,TreeSubp_C,TREE_BA
vegetation,Sapling,ID
vegetation,Sapling,SUBPID
vegetation,Sapling,SAPN
vegetation,Sapling,SPECID
vegetation,Sapling,DBH
vegetation,Sapling,DBASE
vegetation,Sapling,STATID
vegetation,Sapling,HGT
vegetation,Sapling,DEADBREAK_HGT
vegetation,Sapling,BA
vegetation,Sapling,SGID
vegetation,Sapling,NOTES
vegetation,SaplingBiomass,ID
vegetation,SaplingBiomass,SAPID
vegetation,SaplingBiomass,COMPID
vegetation,SaplingBiomass,BIOMASS
vegetation,SaplingBiomass,EQID
vegetation,SaplingBiomass,C_CONT
vegetation,SaplingBiomass,C_CONCID
vegetation,SaplingBiomass,NOTES
vegetation,SaplingSubp_C,SUBPID
vegetation,SaplingSubp_C,SAP_AGC
vegetation,SaplingSubp_C,SAP_BGC
vegetation,SaplingSubp_C,SAP_BA
