study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,excess_pb210_activity,pb210_unit
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,0,1,5.565,1.119,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,1,2,7.752,1.669,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,2,3,7.524,1.948,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,3,4,9.222,2.254,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,4,5,11.264,2.284,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,5,6,8.12,1.477,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,6,7,7.598,1.235,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,7,8,7.336,1.113,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,8,9,6.048,1.122,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,9,10,7.406,1.04,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,10,11,5.32,0.971,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,11,12,3.973,0.72,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,12,13,4.263,0.764,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,13,14,4.526,0.695,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,14,15,3.975,0.826,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,15,16,3.8,0.532,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,16,17,3.381,0.473,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,17,18,3.473,0.539,disintegrationsPerMinutePerGram
McGlathery_et_al_2018,SouthBay,SB152_C2,single set of methods,18,19,5.152,0.611,disintegrationsPerMinutePerGram
