study_id,location_description,allometric_eq_id,allometric_eq_formula,genus,species,alive_or_dead,above_or_belowground,height_min,height_max,source_citation
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_3,Wtop = .251 * p * DBH^2.46,Avicennia,germinans,alive,above,0.6,18,"Komiyama, A.; Poungparn, S.; Kato, S. Common allometric equations for estimating the tree weight of mangroves. J. Trop. Ecol. 2005, 21, 471–477"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_4,Wr = .199 * p^.899 * DBH^2.22,Avicennia,germinans,alive,below,0.6,18,"Komiyama, A.; Poungparn, S.; Kato, S. Common allometric equations for estimating the tree weight of mangroves. J. Trop. Ecol. 2005, 21, 471–477"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_5,Oc = 100 * (A * Nfas * 0.003) / Dw,Avicennia,germinans,alive,below,0.6,18,"Nelson, D.W.; Sommers, L.E. A rapid and accurate method for estimating organic carbon in soil. Proc. Indiana Acad. Sci. 1975, 84, 456–562."
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_6,Sc = B * T * Oc,Avicennia,germinans,alive,below,0.6,18,"Adotey J, Acheampong E, Aheto DW, Blay J. Carbon Stocks Assessment in a Disturbed and Undisturbed Mangrove Forest in Ghana. Sustainability. 2022; 14(19):12782. https://doi.org/10.3390/su141912782"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_7,Tree Density = No. of trees of a species / 0.01 (ha),Avicennia,germinans,alive,NA,0.6,18,"Adotey J, Acheampong E, Aheto DW, Blay J. Carbon Stocks Assessment in a Disturbed and Undisturbed Mangrove Forest in Ghana. Sustainability. 2022; 14(19):12782. https://doi.org/10.3390/su141912782"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_8,TBA = Sum of the basal area for all tree species / Area of sampling plot (m2),Avicennia,germinans,alive,NA,0.6,18,"Adotey J, Acheampong E, Aheto DW, Blay J. Carbon Stocks Assessment in a Disturbed and Undisturbed Mangrove Forest in Ghana. Sustainability. 2022; 14(19):12782. https://doi.org/10.3390/su141912782"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_1,Ac = W * f,Langucularia,racemosa,alive,above,0.6,18,"Kauffman, J.; Donato, D. Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. In Center for International Forestry; CIFOR: Bogor, Indonesia, 2012; Available online: http://www.amazonico.org/speclab/SiteAssets/SitePages/Methods/Mangrove-biomass-CIFOR.pdf (accessed on 27 May 2018)"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_2,Bc = W * f,Langucularia,racemosa,alive,below,0.6,18,"Kauffman, J.; Donato, D. Protocols for the measurement, monitoring and reporting of structure, biomass and carbon stocks in mangrove forests. In Center for International Forestry; CIFOR: Bogor, Indonesia, 2012; Available online: http://www.amazonico.org/speclab/SiteAssets/SitePages/Methods/Mangrove-biomass-CIFOR.pdf (accessed on 27 May 2018)"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_3,Wtop = .251 * p * DBH^2.46,Langucularia,racemosa,alive,above,0.6,18,"Komiyama, A.; Poungparn, S.; Kato, S. Common allometric equations for estimating the tree weight of mangroves. J. Trop. Ecol. 2005, 21, 471–477"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_4,Wr = .199 * p^.899 * DBH^2.22,Langucularia,racemosa,alive,below,0.6,18,"Komiyama, A.; Poungparn, S.; Kato, S. Common allometric equations for estimating the tree weight of mangroves. J. Trop. Ecol. 2005, 21, 471–477"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_5,Oc = 100 * (A * Nfas * 0.003) / Dw,Langucularia,racemosa,alive,below,0.6,18,"Nelson, D.W.; Sommers, L.E. A rapid and accurate method for estimating organic carbon in soil. Proc. Indiana Acad. Sci. 1975, 84, 456–562."
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_6,Sc = B * T * Oc,Langucularia,racemosa,alive,below,0.6,18,"Adotey J, Acheampong E, Aheto DW, Blay J. Carbon Stocks Assessment in a Disturbed and Undisturbed Mangrove Forest in Ghana. Sustainability. 2022; 14(19):12782. https://doi.org/10.3390/su141912782"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_7,Tree Density = No. of trees of a species / 0.01 (ha),Langucularia,racemosa,alive,NA,0.6,18,"Adotey J, Acheampong E, Aheto DW, Blay J. Carbon Stocks Assessment in a Disturbed and Undisturbed Mangrove Forest in Ghana. Sustainability. 2022; 14(19):12782. https://doi.org/10.3390/su141912782"
Adotey_et_al_2024,Ghana,Adotey_et_al_2024_equation_8,TBA = Sum of the basal area for all tree species / Area of sampling plot (m2),Langucularia,racemosa,alive,NA,0.6,18,"Adotey J, Acheampong E, Aheto DW, Blay J. Carbon Stocks Assessment in a Disturbed and Undisturbed Mangrove Forest in Ghana. Sustainability. 2022; 14(19):12782. https://doi.org/10.3390/su141912782"
