study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,total_pb210_activity_se,pb210_unit
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,0,1,0.0801,0.2982,11.04,0.55,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,2,3,0.0549,0.24,16.26,0.81,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,4,5,0.0903,0.2684,13.86,0.69,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,6,7,0.0392,0.2453,9.85,0.49,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,8,9,0.0292,0.2396,7.81,0.39,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,10,11,0.0508,0.3285,8.32,0.42,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,12,13,0.0578,0.3452,11.04,0.55,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,14,15,0.0422,0.2733,11.43,0.57,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,16,17,0.0325,0.262,12,0.6,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,18,19,0.07,0.3037,8.15,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,20,22,0.089,0.3215,8.27,0.41,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,24,26,0.127,0.3044,6.6,0.33,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,28,30,0.168,0.2613,5.04,0.25,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,32,34,0.224,0.2606,4.34,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,36,38,0.438,0.1309,3.9,0.2,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,40,42,0.132,0.324,4.43,0.22,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,44,46,0.112,0.3281,6.11,0.31,disintegrationsPerMinutePerGram
Palinkas_and_Engelhardt_2024,Dyke Marsh Wildlife Preserve,NPS1-1,single set of methods,48,50,0.337,0.3018,12.6,0.63,disintegrationsPerMinutePerGram
