study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb210_unit
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,0,2,0.62,0.0273,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,2,4,0.633,0.0349,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,4,6,0.476,0.0496,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,6,8,0.29,0.0808,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,8,10,0.236,0.13970000000000002,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,10,12,0.28,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,12,14,0.321,0.0862,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,14,16,0.536,0.09029999999999999,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,16,18,0.779,0.0358,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,18,20,0.761,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,20,22,0.645,0.049400000000000006,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,22,24,0.65,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG4,single set of methods,24,26,1.002,0.0212,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,0,2,0.652,0.0245,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,2,4,0.698,0.024300000000000002,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,4,6,0.681,0.0248,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,6,8,0.524,0.0478,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,8,10,0.265,0.0554,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,10,12,0.192,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,12,14,0.325,0.11019999999999999,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,14,16,0.333,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,16,18,0.423,0.0761,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,18,20,0.763,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,20,22,0.895,0.0248,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,22,24,1.018,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,24,26,0.994,NA,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG5,single set of methods,26,28,1.068,0.0241,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,0,2,0.741,0.0297,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,2,4,0.665,0.0264,NA,NA,NA,NA,NA,NA,NA
Drexler_et_al_2019,Six_Gill_Slough,SG6,single set of methods,4,6,0.311,0.09630000000000001,NA,NA,NA,NA,NA,NA,NA
