study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb210_unit,age,age_se,depth_interval_notes,method_id
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,0,3,0.13,0.347,0.242,0.033,picoCuriesPerGram,16.53,0.71,15.53,0.72,disintegrationsPerMinutePerGram,2005.2,0.4,NA,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,3,6,0.26,0.178,0.835,0.075,picoCuriesPerGram,9.19,0.67,6.97,0.69,disintegrationsPerMinutePerGram,1993,1.8,NA,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,6,9,0.45,0.132,0.994,0.075,picoCuriesPerGram,5.52,0.44,2.85,0.45,disintegrationsPerMinutePerGram,1978,3.6,NA,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,9,12,0.39,0.132,0.74,0.058,picoCuriesPerGram,4.86,0.4,2.42,0.41,disintegrationsPerMinutePerGram,1960.2,6.5,NA,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,12,15,0.51,0.098,0.587,0.044,picoCuriesPerGram,3.86,0.29,1.39,0.3,disintegrationsPerMinutePerGram,1933.6,20.1,NA,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_1,15,19,0.66,0.059,0.022,0.014,picoCuriesPerGram,3.4,0.26,0.38,0.27,disintegrationsPerMinutePerGram,1884.9,155,NA,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,0,2,0.03,0.439,0.073,0.052,picoCuriesPerGram,8.44,0.78,7.89,0.8,disintegrationsPerMinutePerGram,2010,0,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,2,4,0.06,0.437,-0.005,0.046,picoCuriesPerGram,10.52,0.74,9.91,0.76,disintegrationsPerMinutePerGram,2008.7,0.1,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,4,6,0.15,0.361,0.179,0.058,picoCuriesPerGram,15.82,1.03,15.09,1.05,disintegrationsPerMinutePerGram,2003.6,0.4,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,6,8,0.17,0.266,0.346,0.037,picoCuriesPerGram,12.49,0.59,10.9,0.59,disintegrationsPerMinutePerGram,1995,0.7,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,8,10,0.42,0.145,0.513,0.049,picoCuriesPerGram,7.8,0.53,5.62,0.54,disintegrationsPerMinutePerGram,1981.8,1.7,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,10,12,0.5,0.09,0.48,0.039,picoCuriesPerGram,4.48,0.32,1.57,0.33,disintegrationsPerMinutePerGram,1968.9,3.3,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,12,14,0.79,0.083,0.45,0.045,picoCuriesPerGram,4.49,0.45,1.63,0.47,disintegrationsPerMinutePerGram,1953.3,5.9,no clearly defined cs137 peak,single set of methods
Drexler_et_al_2013,Wardlaw_Shallow_Managed,Wardlaw_Shallow_Managed_2,14,16,0.85,0.093,0.597,0.044,picoCuriesPerGram,4.38,0.29,1.42,0.3,disintegrationsPerMinutePerGram,1910.1,37.7,no clearly defined cs137 peak,single set of methods
