"","Source","Site_name","Site","Plot","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Turfa herbacea",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0,0.02,"EA",28.32,0.36,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"2","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Substantia humosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.1,0.12,"EA",24.18,0.51,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"3","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Substantia humosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.2,0.22,"EA",8.44,0.83,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"4","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Argilla granosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.3,0.32,"EA",3.3,0.62,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"5","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Argilla granosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.4,0.42,"EA",1.82,1.64,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"6","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Argilla granosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.5,0.52,"EA",0.53,0.97,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"7","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Argilla granosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.6,0.62,"EA",1.34,1.41,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"8","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Argilla granosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.7,0.72,"EA",1.03,1.52,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"9","Smeaton et al 2021","CS KT18-2","Kyle of Tongue","KT18-2","Salt marsh","Argilla granosa",58.44707193,-4.47837872,"direct from dataset","1","UK","Scotland",2018,0.8,0.82,"EA",0.86,1.94,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
"10","Smeaton et al 2021","CS KT18-3","Kyle of Tongue","KT18-3","Salt marsh","Turfa herbacea",58.44718915,-4.4781368,"direct from dataset","1","UK","Scotland",2018,0,0.02,"EA",31.75,0.27,"https://doi.org/10.5285/b57ef444-54d4-47f9-8cbf-3cfef1182b55"
