"","Source","Site_name","Site","Plot","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","Ctot_perc","Cinorg_perc","Ntot_perc","DOI"
"1","Shamrikova et al 2019","EVS Plot I","Khaypudyrskaya Bay","Plot I","Marsh","Primitive gyttja slimy-light loamy marsh soil",68.33027778,59.51805556,"direct from dataset","1","Russia",NA,0,0.03,"EA",0.73,0.91,0.18,0.089,"https://doi.org/10.1134/S1064229319030098"
"2","Shamrikova et al 2019","EVS Plot I","Khaypudyrskaya Bay","Plot I","Marsh","Primitive gyttja slimy-light loamy marsh soil",68.33027778,59.51805556,"direct from dataset","1","Russia",NA,0.03,0.24,"EA",4.1,4.1,NA,0.33,"https://doi.org/10.1134/S1064229319030098"
"3","Shamrikova et al 2019","EVS Plot I","Khaypudyrskaya Bay","Plot I","Marsh","Primitive gyttja slimy-light loamy marsh soil",68.33027778,59.51805556,"direct from dataset","1","Russia",NA,0.24,0.67,"EA",1.03,1.07,0.04,0.079,"https://doi.org/10.1134/S1064229319030098"
"4","Shamrikova et al 2019","EVS Plot I","Khaypudyrskaya Bay","Plot I","Marsh","Primitive gyttja slimy-light loamy marsh soil",68.33027778,59.51805556,"direct from dataset","1","Russia",NA,0.67,0.89,"EA",1.36,1.44,0.08,0.098,"https://doi.org/10.1134/S1064229319030098"
"5","Shamrikova et al 2019","EVS Plot II","Khaypudyrskaya Bay","Plot II","Marsh","Soddy gley loamy sandy marsh soil",68.33038889,59.51883333,"direct from dataset","1","Russia",NA,0,0.1,"EA",7.5,7.5,NA,0.5,"https://doi.org/10.1134/S1064229319030098"
"6","Shamrikova et al 2019","EVS Plot II","Khaypudyrskaya Bay","Plot II","Marsh","Soddy gley loamy sandy marsh soil",68.33038889,59.51883333,"direct from dataset","1","Russia",NA,0.1,0.19,"EA",1.34,1.34,NA,0.095,"https://doi.org/10.1134/S1064229319030098"
"7","Shamrikova et al 2019","EVS Plot II","Khaypudyrskaya Bay","Plot II","Marsh","Soddy gley loamy sandy marsh soil",68.33038889,59.51883333,"direct from dataset","1","Russia",NA,0.19,0.3,"EA",0.48,0.48,NA,0.043,"https://doi.org/10.1134/S1064229319030098"
"8","Shamrikova et al 2019","EVS Plot II","Khaypudyrskaya Bay","Plot II","Marsh","Soddy gley loamy sandy marsh soil",68.33038889,59.51883333,"direct from dataset","1","Russia",NA,0.3,0.63,"EA",0.71,0.71,NA,0.057,"https://doi.org/10.1134/S1064229319030098"
"9","Shamrikova et al 2019","EVS Plot II","Khaypudyrskaya Bay","Plot II","Marsh","Soddy gley loamy sandy marsh soil",68.33038889,59.51883333,"direct from dataset","1","Russia",NA,0.63,0.78,"EA",1.14,1.14,NA,0.088,"https://doi.org/10.1134/S1064229319030098"
"10","Shamrikova et al 2019","EVS Plot III","Khaypudyrskaya Bay","Plot III","Marsh","Marsh Primitive soddy gley heavy loamy marsh soil",68.30736111,59.07022222,"direct from dataset","1","Russia",NA,0,0.04,"EA",0.61,0.61,0,0.049,"https://doi.org/10.1134/S1064229319030098"
"11","Shamrikova et al 2019","EVS Plot III","Khaypudyrskaya Bay","Plot III","Marsh","Marsh Primitive soddy gley heavy loamy marsh soil",68.30736111,59.07022222,"direct from dataset","1","Russia",NA,0.04,0.11,"EA",3.8,3.8,0,0.3,"https://doi.org/10.1134/S1064229319030098"
"12","Shamrikova et al 2019","EVS Plot III","Khaypudyrskaya Bay","Plot III","Marsh","Marsh Primitive soddy gley heavy loamy marsh soil",68.30736111,59.07022222,"direct from dataset","1","Russia",NA,0.11,0.3,"EA",2.6,2.6,0,0.18,"https://doi.org/10.1134/S1064229319030098"
"13","Shamrikova et al 2019","EVS Plot III","Khaypudyrskaya Bay","Plot III","Marsh","Marsh Primitive soddy gley heavy loamy marsh soil",68.30736111,59.07022222,"direct from dataset","1","Russia",NA,0.3,0.57,"EA",0.47,0.53,0.06,0.032,"https://doi.org/10.1134/S1064229319030098"
