"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Adame et al 2015","MFA Encrucijada 1","La Encrucijada","Encrucijada 1","Salt marsh",15.03188056,-92.70791111,"direct from dataset and estimated","1","Mexico",2012,0,0.15,"EA",0.78,0.77,"https://doi.org/10.5194/bg-12-3805-2015"
"2","Adame et al 2015","MFA Encrucijada 1","La Encrucijada","Encrucijada 1","Salt marsh",15.03188056,-92.70791111,"direct from dataset and estimated","1","Mexico",2012,0.15,0.3,"EA",2.77,0.6,"https://doi.org/10.5194/bg-12-3805-2015"
"3","Adame et al 2015","MFA Encrucijada 1","La Encrucijada","Encrucijada 1","Salt marsh",15.03188056,-92.70791111,"direct from dataset and estimated","1","Mexico",2012,0.3,0.5,"EA",12.54,0.54,"https://doi.org/10.5194/bg-12-3805-2015"
"4","Adame et al 2015","MFA Encrucijada 1","La Encrucijada","Encrucijada 1","Salt marsh",15.03188056,-92.70791111,"direct from dataset and estimated","1","Mexico",2012,0.5,1,"EA",1.73,0.8,"https://doi.org/10.5194/bg-12-3805-2015"
"5","Adame et al 2015","MFA Encrucijada 2","La Encrucijada","Encrucijada 2","Salt marsh",15.0323186,-92.70890655,"direct from dataset and estimated","1","Mexico",2012,0,0.15,"EA",9.17,0.3,"https://doi.org/10.5194/bg-12-3805-2015"
"6","Adame et al 2015","MFA Encrucijada 2","La Encrucijada","Encrucijada 2","Salt marsh",15.0323186,-92.70890655,"direct from dataset and estimated","1","Mexico",2012,0.15,0.3,"EA",12.4,0.3,"https://doi.org/10.5194/bg-12-3805-2015"
"7","Adame et al 2015","MFA Encrucijada 2","La Encrucijada","Encrucijada 2","Salt marsh",15.0323186,-92.70890655,"direct from dataset and estimated","1","Mexico",2012,0.3,0.5,"EA",27.68,0.2,"https://doi.org/10.5194/bg-12-3805-2015"
"8","Adame et al 2015","MFA Encrucijada 2","La Encrucijada","Encrucijada 2","Salt marsh",15.0323186,-92.70890655,"direct from dataset and estimated","1","Mexico",2012,0.5,1,"EA",4.46,0.54,"https://doi.org/10.5194/bg-12-3805-2015"
"9","Adame et al 2015","MFA Encrucijada 3","La Encrucijada","Encrucijada 3","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0,0.15,"EA",14.56,0.1,"https://doi.org/10.5194/bg-12-3805-2015"
"10","Adame et al 2015","MFA Encrucijada 3","La Encrucijada","Encrucijada 3","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.15,0.3,"EA",2.3,0.6,"https://doi.org/10.5194/bg-12-3805-2015"
"11","Adame et al 2015","MFA Encrucijada 3","La Encrucijada","Encrucijada 3","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.3,0.5,"EA",4.75,0.62,"https://doi.org/10.5194/bg-12-3805-2015"
"12","Adame et al 2015","MFA Encrucijada 3","La Encrucijada","Encrucijada 3","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.5,1,"EA",3.17,0.7,"https://doi.org/10.5194/bg-12-3805-2015"
"13","Adame et al 2015","MFA Encrucijada 4","La Encrucijada","Encrucijada 4","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0,0.15,"EA",22.3,0.14,"https://doi.org/10.5194/bg-12-3805-2015"
"14","Adame et al 2015","MFA Encrucijada 4","La Encrucijada","Encrucijada 4","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.15,0.3,"EA",1.66,0.61,"https://doi.org/10.5194/bg-12-3805-2015"
"15","Adame et al 2015","MFA Encrucijada 4","La Encrucijada","Encrucijada 4","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.3,0.5,"EA",5.02,0.7,"https://doi.org/10.5194/bg-12-3805-2015"
"16","Adame et al 2015","MFA Encrucijada 4","La Encrucijada","Encrucijada 4","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.5,1,"EA",6.17,0.4,"https://doi.org/10.5194/bg-12-3805-2015"
"17","Adame et al 2015","MFA Encrucijada 5","La Encrucijada","Encrucijada 5","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0,0.15,"EA",27.77,0.12,"https://doi.org/10.5194/bg-12-3805-2015"
"18","Adame et al 2015","MFA Encrucijada 5","La Encrucijada","Encrucijada 5","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.15,0.3,"EA",7.27,0.33,"https://doi.org/10.5194/bg-12-3805-2015"
"19","Adame et al 2015","MFA Encrucijada 5","La Encrucijada","Encrucijada 5","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.3,0.5,"EA",15.98,0.59,"https://doi.org/10.5194/bg-12-3805-2015"
"20","Adame et al 2015","MFA Encrucijada 5","La Encrucijada","Encrucijada 5","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated","1","Mexico",2012,0.5,1,"EA",6.34,0.61,"https://doi.org/10.5194/bg-12-3805-2015"
