"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","Conv_factor","DOI"
"1","Ward 2020","RDW Alta high marsh","Alta high marsh","Alta high marsh","Saltmarsh",69.9783,23.4315,"direct from dataset",1,"Norway",2015,0,0.31,"LOI",0.92,1.8,1.79,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"2","Ward 2020","RDW Alta low marsh","Alta low marsh","Alta low marsh","Saltmarsh",69.9783,23.4315,"direct from dataset",1,"Norway",2015,0,0.27,"LOI",0.48,1.09,1.59,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"3","Ward 2020","RDW Birtvarre high marsh","Birtvarre high marsh","Birtvarre high marsh","Saltmarsh",69.4959,20.8204,"direct from dataset",1,"Norway",2015,0,0.09,"LOI",8.08,16.6,1.09,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"4","Ward 2020","RDW Birtvarre low marsh","Birtvarre low marsh","Birtvarre low marsh","Saltmarsh",69.4959,20.8204,"direct from dataset",1,"Norway",2015,0,0.1,"LOI",7.79,15.8,0.94,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"5","Ward 2020","RDW Stabbursnes high marsh","Stabbursnes high marsh","Stabbursnes high marsh","Saltmarsh",70.1942,24.9275,"direct from dataset",1,"Norway",2015,0,0.23,"LOI",0.72,1.5,1.93,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"6","Ward 2020","RDW Stabbursnes low marsh","Stabbursnes low marsh","Stabbursnes low marsh","Saltmarsh",70.1942,24.9275,"direct from dataset",1,"Norway",2015,0,0.31,"LOI",1.72,4.7,1.45,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"7","Ward 2020","RDW Storfjord high marsh","Storfjord high marsh","Storfjord high marsh","Saltmarsh",69.2713,19.9266,"direct from dataset",1,"Norway",2015,0,0.22,"LOI",1.46,3.09,1.52,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"8","Ward 2020","RDW Storfjord low marsh","Storfjord low marsh","Storfjord low marsh","Saltmarsh",69.2713,19.9266,"direct from dataset",1,"Norway",2015,0,0.23,"LOI",5.07,9.46,1.19,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"9","Ward 2020","RDW Storslett high marsh","Storslett high marsh","Storslett high marsh","Saltmarsh",69.7819,20.9953,"direct from dataset",1,"Norway",2015,0,0.33,"LOI",2.04,4.24,1.59,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
"10","Ward 2020","RDW Storslett low marsh","Storslett low marsh","Storslett low marsh","Saltmarsh",69.7819,20.9953,"direct from dataset",1,"Norway",2015,0,0.25,"LOI",0.92,1.96,1.49,"%Corg = 0.47 x %LOI + 0.0008 x (%LOI)^2 ","https://doi.org/10.1016/j.scitotenv.2020.141343"
