"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","SOM_perc","DOI"
"1","Cott et al 2013","GC Ahakista 1 Lower shore","Ahakista","Ahakista 1","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",32.91201983,"https://doi.org/10.1007/s12237-012-9579-7"
"2","Cott et al 2013","GC Ahakista 2 Lower shore","Ahakista","Ahakista 2","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",43.22629969,"https://doi.org/10.1007/s12237-012-9579-7"
"3","Cott et al 2013","GC Ahakista 3 Lower shore","Ahakista","Ahakista 3","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",29.78303748,"https://doi.org/10.1007/s12237-012-9579-7"
"4","Cott et al 2013","GC Ahakista 4 Mid shore","Ahakista","Ahakista 4","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",44.10290237,"https://doi.org/10.1007/s12237-012-9579-7"
"5","Cott et al 2013","GC Ahakista 5 Mid shore","Ahakista","Ahakista 5","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",47.78078484,"https://doi.org/10.1007/s12237-012-9579-7"
"6","Cott et al 2013","GC Ahakista 6 Mid shore","Ahakista","Ahakista 6","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",50.16296296,"https://doi.org/10.1007/s12237-012-9579-7"
"7","Cott et al 2013","GC Ahakista 7 Upper shore","Ahakista","Ahakista 7","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",54.79674797,"https://doi.org/10.1007/s12237-012-9579-7"
"8","Cott et al 2013","GC Ahakista 8 Upper shore","Ahakista","Ahakista 8","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",41.85483871,"https://doi.org/10.1007/s12237-012-9579-7"
"9","Cott et al 2013","GC Ahakista 9 Upper shore","Ahakista","Ahakista 9","Saltmarsh",51.59,-9.61,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",40.20594966,"https://doi.org/10.1007/s12237-012-9579-7"
"10","Cott et al 2013","GC Banna 1 Lower shore","Banna","Banna 1","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",1.682522211,"https://doi.org/10.1007/s12237-012-9579-7"
"11","Cott et al 2013","GC Banna 2 Lower shore","Banna","Banna 2","Saltmarsh",52.35,-9.83,"direct from dataset",1,"Ireland",2009,0,0.015,"LOI",1.813356922,"https://doi.org/10.1007/s12237-012-9579-7"
