"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","Conv_factor","DOI"
"1","Burke et al 2022","SAB Baldoyle Estuary 1","Baldoyle Estuary","Baldoyle Estuary 1","Saltmarsh",53.41474,-6.12899,"estimated from GE","1","Ireland",2020,0,0.05,"EA",13.27,28.2,0.21,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"2","Burke et al 2022","SAB Baldoyle Estuary 1","Baldoyle Estuary","Baldoyle Estuary 1","Saltmarsh",53.41474,-6.12899,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",10.42,22.8,0.21,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"3","Burke et al 2022","SAB Baldoyle Estuary 1","Baldoyle Estuary","Baldoyle Estuary 1","Saltmarsh",53.41474,-6.12899,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",1.06,2.6,1.07,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"4","Burke et al 2022","SAB Baldoyle Estuary 1","Baldoyle Estuary","Baldoyle Estuary 1","Saltmarsh",53.41474,-6.12899,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",0.81,2,1.06,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"5","Burke et al 2022","SAB Baldoyle Estuary 1","Baldoyle Estuary","Baldoyle Estuary 1","Saltmarsh",53.41474,-6.12899,"estimated from GE","1","Ireland",2020,0.53,0.58,"EA",0.32,0.8,1.27,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"6","Burke et al 2022","SAB Baldoyle Estuary 2","Baldoyle Estuary","Baldoyle Estuary 2","Saltmarsh",53.41535,-6.12868,"estimated from GE","1","Ireland",2020,0,0.05,"EA",5.07,11.8,0.32,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"7","Burke et al 2022","SAB Baldoyle Estuary 2","Baldoyle Estuary","Baldoyle Estuary 2","Saltmarsh",53.41535,-6.12868,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",5.72,13.2,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"8","Burke et al 2022","SAB Baldoyle Estuary 2","Baldoyle Estuary","Baldoyle Estuary 2","Saltmarsh",53.41535,-6.12868,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",5.72,13.2,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"9","Burke et al 2022","SAB Baldoyle Estuary 2","Baldoyle Estuary","Baldoyle Estuary 2","Saltmarsh",53.41535,-6.12868,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",5.44,12.6,0.25,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"10","Burke et al 2022","SAB Baldoyle Estuary 2","Baldoyle Estuary","Baldoyle Estuary 2","Saltmarsh",53.41535,-6.12868,"estimated from GE","1","Ireland",2020,0.5,0.54,"EA",4.34,10.2,0.35,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"11","Burke et al 2022","SAB Baldoyle Estuary 3","Baldoyle Estuary","Baldoyle Estuary 3","Saltmarsh",53.41561,-6.12858,"estimated from GE","1","Ireland",2020,0,0.05,"EA",22.69,44.4,0.22,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"12","Burke et al 2022","SAB Baldoyle Estuary 3","Baldoyle Estuary","Baldoyle Estuary 3","Saltmarsh",53.41561,-6.12858,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",14.58,30.6,0.34,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"13","Burke et al 2022","SAB Baldoyle Estuary 3","Baldoyle Estuary","Baldoyle Estuary 3","Saltmarsh",53.41561,-6.12858,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",1.64,4,1.21,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"14","Burke et al 2022","SAB Baldoyle Estuary 3","Baldoyle Estuary","Baldoyle Estuary 3","Saltmarsh",53.41561,-6.12858,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",1.64,4,0.92,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"15","Burke et al 2022","SAB Baldoyle Estuary 3","Baldoyle Estuary","Baldoyle Estuary 3","Saltmarsh",53.41561,-6.12858,"estimated from GE","1","Ireland",2020,0.535,0.585,"EA",0.65,1.6,1.05,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"16","Burke et al 2022","SAB Baldoyle Estuary 4","Baldoyle Estuary","Baldoyle Estuary 4","Saltmarsh",53.41601,-6.12928,"estimated from GE","1","Ireland",2020,0,0.05,"EA",3.8,9,0.32,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"17","Burke et al 2022","SAB Baldoyle Estuary 4","Baldoyle Estuary","Baldoyle Estuary 4","Saltmarsh",53.41601,-6.12928,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",5.44,12.6,0.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"18","Burke et al 2022","SAB Baldoyle Estuary 4","Baldoyle Estuary","Baldoyle Estuary 4","Saltmarsh",53.41601,-6.12928,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",3.45,8.2,0.42,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"19","Burke et al 2022","SAB Baldoyle Estuary 4","Baldoyle Estuary","Baldoyle Estuary 4","Saltmarsh",53.41601,-6.12928,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",4.16,9.8,0.46,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"20","Burke et al 2022","SAB Baldoyle Estuary 4","Baldoyle Estuary","Baldoyle Estuary 4","Saltmarsh",53.41601,-6.12928,"estimated from GE","1","Ireland",2020,0.655,0.705,"EA",0.48,1.2,1.29,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"21","Burke et al 2022","SAB Baldoyle Estuary 5","Baldoyle Estuary","Baldoyle Estuary 5","Saltmarsh",53.4165,-6.12925,"estimated from GE","1","Ireland",2020,0,0.05,"EA",9.5,21,0.37,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"22","Burke et al 2022","SAB Baldoyle Estuary 5","Baldoyle Estuary","Baldoyle Estuary 5","Saltmarsh",53.4165,-6.12925,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",7.81,17.6,0.39,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"23","Burke et al 2022","SAB Baldoyle Estuary 5","Baldoyle Estuary","Baldoyle Estuary 5","Saltmarsh",53.4165,-6.12925,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",1.14,2.8,1.06,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"24","Burke et al 2022","SAB Baldoyle Estuary 5","Baldoyle Estuary","Baldoyle Estuary 5","Saltmarsh",53.4165,-6.12925,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",1.22,3,1.18,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"25","Burke et al 2022","SAB Baldoyle Estuary 5","Baldoyle Estuary","Baldoyle Estuary 5","Saltmarsh",53.4165,-6.12925,"estimated from GE","1","Ireland",2020,0.53,0.58,"EA",2.06,5,1.02,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"26","Burke et al 2022","SAB Baldoyle Estuary 6","Baldoyle Estuary","Baldoyle Estuary 6","Saltmarsh",53.41713,-6.12963,"estimated from GE","1","Ireland",2020,0,0.05,"EA",4.34,10.2,0.37,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"27","Burke et al 2022","SAB Baldoyle Estuary 6","Baldoyle Estuary","Baldoyle Estuary 6","Saltmarsh",53.41713,-6.12963,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",4.79,11.2,0.34,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"28","Burke et al 2022","SAB Baldoyle Estuary 6","Baldoyle Estuary","Baldoyle Estuary 6","Saltmarsh",53.41713,-6.12963,"estimated from GE","1","Ireland",2020,0.2,0.25,"EA",3.98,9.4,0.41,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"29","Burke et al 2022","SAB Baldoyle Estuary 6","Baldoyle Estuary","Baldoyle Estuary 6","Saltmarsh",53.41713,-6.12963,"estimated from GE","1","Ireland",2020,0.375,0.425,"EA",3.18,7.6,0.58,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"30","Burke et al 2022","SAB Baldoyle Estuary 6","Baldoyle Estuary","Baldoyle Estuary 6","Saltmarsh",53.41713,-6.12963,"estimated from GE","1","Ireland",2020,0.725,0.775,"EA",0.65,1.6,1.26,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"31","Burke et al 2022","SAB Baldoyle Estuary 7","Baldoyle Estuary","Baldoyle Estuary 7","Saltmarsh",53.41788,-6.1297,"estimated from GE","1","Ireland",2020,0,0.05,"EA",9.3,20.6,0.16,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
"32","Burke et al 2022","SAB Baldoyle Estuary 7","Baldoyle Estuary","Baldoyle Estuary 7","Saltmarsh",53.41788,-6.1297,"estimated from GE","1","Ireland",2020,0.075,0.125,"EA",6.94,15.8,0.25,"(0.4*%LOI)+0.0025*(%LOI^2)","https://doi.org/10.3389/fmars.2022.976457"
