"","Source","Site_name","Site","Core","Plot","Replicate","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","OC_perc","BD_reported_g_cm3","DOI"
"1","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0,0.02,"LOI","0.4*x + 0.0025*x2",5.13,0.305,"https://doi.org/10.17632/2dg3spxsbh.2"
"2","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.02,0.04,"LOI","0.4*x + 0.0025*x2",5.13,0.441,"https://doi.org/10.17632/2dg3spxsbh.2"
"3","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.04,0.06,"LOI","0.4*x + 0.0025*x2",6.04,0.468,"https://doi.org/10.17632/2dg3spxsbh.2"
"4","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.06,0.08,"LOI","0.4*x + 0.0025*x2",4.48,0.486,"https://doi.org/10.17632/2dg3spxsbh.2"
"5","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.08,0.1,"LOI","0.4*x + 0.0025*x2",4.15,0.473,"https://doi.org/10.17632/2dg3spxsbh.2"
"6","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.1,0.12,"LOI","0.4*x + 0.0025*x2",4.94,0.517,"https://doi.org/10.17632/2dg3spxsbh.2"
"7","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.12,0.14,"LOI","0.4*x + 0.0025*x2",4.57,0.7,"https://doi.org/10.17632/2dg3spxsbh.2"
"8","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.14,0.16,"LOI","0.4*x + 0.0025*x2",4.41,0.632,"https://doi.org/10.17632/2dg3spxsbh.2"
"9","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.16,0.18,"LOI","0.4*x + 0.0025*x2",4.14,0.799,"https://doi.org/10.17632/2dg3spxsbh.2"
"10","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.18,0.2,"LOI","0.4*x + 0.0025*x2",4.06,0.777,"https://doi.org/10.17632/2dg3spxsbh.2"
"11","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.2,0.22,"LOI","0.4*x + 0.0025*x2",3.26,0.716,"https://doi.org/10.17632/2dg3spxsbh.2"
"12","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.22,0.24,"LOI","0.4*x + 0.0025*x2",3.71,0.647,"https://doi.org/10.17632/2dg3spxsbh.2"
"13","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.24,0.26,"LOI","0.4*x + 0.0025*x2",3.53,0.782,"https://doi.org/10.17632/2dg3spxsbh.2"
"14","Gu et al 2020","JG LP1-1","La Pocatiere","LP1-1","LP1","Oct","Salt marsh",47.3758446187666,-70.0555342163305,"estimated from GE","2","Canada","2018",0.26,0.28,"LOI","0.4*x + 0.0025*x2",3.4,0.759,"https://doi.org/10.17632/2dg3spxsbh.2"
