"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","TC_mg_g","OC_mg_g","IC_mg_g","TN_mg_g","DOI"
"1","Ewers Lewis et al 2020","CEL AIR 3 Rep 3","Angahook-Lorne State Park Reserve","AIR 3 Rep 3","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",19.48,0.46,186.11,194.85,NA,11.68,"https://doi.org/10.7910/DVN/6PFBO0"
"2","Ewers Lewis et al 2020","CEL AIR 3 Rep 3","Angahook-Lorne State Park Reserve","AIR 3 Rep 3","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.21,1.2,30,32.1,NA,1.73,"https://doi.org/10.7910/DVN/6PFBO0"
"3","Ewers Lewis et al 2020","CEL AIR 3 Rep 3","Angahook-Lorne State Park Reserve","AIR 3 Rep 3","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",1.63,1.52,14.45,16.34,NA,0.99,"https://doi.org/10.7910/DVN/6PFBO0"
"4","Ewers Lewis et al 2020","CEL AIR 2 Rep 2","Angahook-Lorne State Park Reserve","AIR 2 Rep 2","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",40.14,0.16,383.94,401.42,NA,19.68,"https://doi.org/10.7910/DVN/6PFBO0"
"5","Ewers Lewis et al 2020","CEL AIR 2 Rep 2","Angahook-Lorne State Park Reserve","AIR 2 Rep 2","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",4.36,0.85,44.4,43.58,NA,3.41,"https://doi.org/10.7910/DVN/6PFBO0"
"6","Ewers Lewis et al 2020","CEL AIR 2 Rep 2","Angahook-Lorne State Park Reserve","AIR 2 Rep 2","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.98,1.81,9.14,9.84,NA,0.65,"https://doi.org/10.7910/DVN/6PFBO0"
"7","Ewers Lewis et al 2020","CEL AIR 1 Rep 1","Angahook-Lorne State Park Reserve","AIR 1 Rep 1","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",26.24,0.23,254.23,262.39,NA,15.63,"https://doi.org/10.7910/DVN/6PFBO0"
"8","Ewers Lewis et al 2020","CEL AIR 1 Rep 1","Angahook-Lorne State Park Reserve","AIR 1 Rep 1","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",1.11,1.5,9.97,11.05,NA,0.99,"https://doi.org/10.7910/DVN/6PFBO0"
"9","Ewers Lewis et al 2020","CEL AIR 1 Rep 1","Angahook-Lorne State Park Reserve","AIR 1 Rep 1","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.36,1.8,3.89,3.61,NA,0.21,"https://doi.org/10.7910/DVN/6PFBO0"
"10","Ewers Lewis et al 2020","CEL ALT 2 Rep 2","Point Cook Coastal Park","ALT 2 Rep 2","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",15.69,0.31,162.37,156.89,NA,11.21,"https://doi.org/10.7910/DVN/6PFBO0"
"11","Ewers Lewis et al 2020","CEL ALT 2 Rep 2","Point Cook Coastal Park","ALT 2 Rep 2","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.86,1.2,39.48,28.63,10.93,2.38,"https://doi.org/10.7910/DVN/6PFBO0"
"12","Ewers Lewis et al 2020","CEL ALT 2 Rep 2","Point Cook Coastal Park","ALT 2 Rep 2","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.47,1.2,56.27,4.72,55.99,0.84,"https://doi.org/10.7910/DVN/6PFBO0"
"13","Ewers Lewis et al 2020","CEL ALT 3 Rep 3","Point Cook Coastal Park","ALT 3 Rep 3","Tidal marsh",-37.896517,144.7841,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",9.96,0.39,112.95,99.65,NA,9.16,"https://doi.org/10.7910/DVN/6PFBO0"
"14","Ewers Lewis et al 2020","CEL ALT 3 Rep 3","Point Cook Coastal Park","ALT 3 Rep 3","Tidal marsh",-37.896517,144.7841,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.89,1.03,41.44,38.95,NA,3.85,"https://doi.org/10.7910/DVN/6PFBO0"
