"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Emirate","Country","Year_collected","U_depth_m","L_depth_m","Method","IC_perc","OC_perc","SOM_perc","BD_reported_g_cm3","N_perc","DOI"
"1","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","8.68","1.76","5.976",1.141,"0.090","https://doi.org/10.15146/R3K59Z"
"2","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","9.26","1.06","5.181",1.361,"0.083","https://doi.org/10.15146/R3K59Z"
"3","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","9.11","0.99","5.280",1.349,"0.069","https://doi.org/10.15146/R3K59Z"
"4","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,1.1,"EA","7.76","1.09","4.631",1.115,"0.056","https://doi.org/10.15146/R3K59Z"
"5","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","8.37","1.77","7.722",1.109,"0.076","https://doi.org/10.15146/R3K59Z"
"6","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.81","2.19","6.767",1.176,"0.084","https://doi.org/10.15146/R3K59Z"
"7","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.3,0.5,"EA","8.97","1.86","5.074",1.332,"0.067","https://doi.org/10.15146/R3K59Z"
"8","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.5,0.85,"EA","8.83","1.84","4.141",1.387,"0.044","https://doi.org/10.15146/R3K59Z"
"9","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0,0.15,"EA","7.53","2.81","8.867",1.292,"0.079","https://doi.org/10.15146/R3K59Z"
"10","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",2013,0.15,0.3,"EA","8.70","1.62","5.146",1.361,"0.069","https://doi.org/10.15146/R3K59Z"
