study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,cs137_activity,cs137_unit,excess_pb210_activity,pb210_unit,age
Saunders_2013,SRS3,SRS3_C0010,single set of methods,0,2,0.052,0.7057,picoCuriesPerGram,36.9558,disintegrationsPerMinutePerGram,2003.7
Saunders_2013,SRS3,SRS3_C0010,single set of methods,2,4,0.076,0.9334,picoCuriesPerGram,37.2067,disintegrationsPerMinutePerGram,1997.1
Saunders_2013,SRS3,SRS3_C0010,single set of methods,4,6,0.074,1.1803,picoCuriesPerGram,34.836,disintegrationsPerMinutePerGram,1988.1
Saunders_2013,SRS3,SRS3_C0010,single set of methods,6,8,0.098,1.0748,picoCuriesPerGram,34.0673,disintegrationsPerMinutePerGram,1971.7
Saunders_2013,SRS3,SRS3_C0010,single set of methods,8,10,0.094,1.0623,picoCuriesPerGram,19.8724,disintegrationsPerMinutePerGram,1948.3
Saunders_2013,SRS3,SRS3_C0010,single set of methods,10,12,0.096,0.83,picoCuriesPerGram,10.0525,disintegrationsPerMinutePerGram,1921.2
Saunders_2013,SRS3,SRS3_C0010,single set of methods,12,14,0.103,"NA",picoCuriesPerGram,3.7183,disintegrationsPerMinutePerGram,1892.4
Saunders_2013,SRS3,SRS3_C0010,single set of methods,14,16,0.119,0.3997,picoCuriesPerGram,2.286,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,16,18,0.114,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,18,20,0.104,0.2163,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,20,22,0.129,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,22,24,0.101,0.258,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,24,26,0.102,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,26,28,0.105,0.1029,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,28,30,0.111,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,30,32,0.125,0.0248,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,32,34,0.111,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,34,36,0.114,0.0761,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,36,38,0.104,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,38,40,0.117,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,40,42,0.119,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,42,44,0.12,0.0162,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,44,46,0.13,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,46,48,0.115,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,48,50,0.104,"NA",picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
Saunders_2013,SRS3,SRS3_C0010,single set of methods,50,52,0.109,0.0174,picoCuriesPerGram,0,disintegrationsPerMinutePerGram,"NA"
