study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,total_pb210_activity,pb210_unit,sample_wt,C:N,fraction_nitrogen,fraction_phosphorus
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,0,2,DUP,1.7062008362579726,5.5e-4,0.001684687646782527,0.006730389854391734,picocuriesPerGram,-4.515385501507158,0.8641152601638744,disintegrationsPerMinutePerGram,6.315,0.004617424249915779,2.5e-4,1.2582708645677163e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,2,4,ORIG,0.796968542305848,0.0054,0.018945029239766084,0.008556491228070178,picocuriesPerGram,NA,1.5602623456790121,NA,6.337,0.008650620826866044,4.7e-4,0.00019247281795511223
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,4,6,ORIG,0.4890946845817171,0.08948,0.2615261958997723,0.02405432801822324,picocuriesPerGram,6.249042645061442,11.628543406732474,disintegrationsPerMinutePerGram,8.406,0.06868294979023545,0.0049499999999999995,4.290544183724414e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,6,8,ORIG,0.7888799426542783,0.02245,0.0938026981450253,0.015301096121416528,picocuriesPerGram,NA,5.4981672756230084,NA,8.834,0.018880425092891985,0.0014299999999999998,2.4770927318295747e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,8,10,ORIG,0.898851582461079,0.01286,0.0454049043062201,0.009879425837320575,picocuriesPerGram,-2.332073362681133,3.0474273989898992,disintegrationsPerMinutePerGram,7.402,0.014811938443623378,9.4e-4,2.279361596009975e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,10,12,ORIG,0.8267721608485646,0.028450000000000003,0.2521268990169795,0.019589544235924936,picocuriesPerGram,NA,6.464334475225897,NA,8.165,0.031141062790601626,0.00218,3.015275275275275e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,12,14,ORIG,0.9287150687695465,0.01516,0.13555308504724847,0.011878210116731519,picocuriesPerGram,-2.177776038059149,3.2017247236118833,disintegrationsPerMinutePerGram,7.051,0.020842650979523394,0.00126,2.44666e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,14,16,ORIG,1.29238952198303,0.00627,0.024284660766961653,0.00764857423795477,picocuriesPerGram,-4.134072350221235,1.2454284114497978,disintegrationsPerMinutePerGram,7.81,0.007616444256333549,5.099999999999999e-4,1.4829156265601593e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,16,18,ORIG,0.9860793299682623,0.032400000000000005,0.1892910447761194,0.014235572139303482,picocuriesPerGram,-1.4141106980999987,3.9653900635710335,disintegrationsPerMinutePerGram,7.21,0.04011894849530153,0.00248,2.093985037406484e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,18,20,ORIG,0.685899040346417,0.05683,0.6294636871508381,0.03019039106145252,picocuriesPerGram,2.0139582699863237,7.393459031657356,disintegrationsPerMinutePerGram,6.338,0.08649255945069441,0.004699999999999999,3.6432934131736525e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,20,22,ORIG,0.4495300825358246,0.05306,0.6882496413199427,0.03817934002869441,picocuriesPerGram,2.677061090712197,8.05656185238323,disintegrationsPerMinutePerGram,7.25,0.062420442734502854,0.00388,4.032371442835746e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,20,22,DUP,0.4495300825358246,0.05876000000000001,NA,NA,NA,NA,NA,NA,6.636,0.07645678029008375,0.00435,4.024240601503759e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,22,24,ORIG,0.4379189059897345,0.06609,0.3555291005291006,0.028301058201058205,picocuriesPerGram,NA,8.204989711934157,disintegrationsPerMinutePerGram,7.79,0.06857426256895462,0.00458,3.7903344982526214e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,24,26,ORIG,0.5475918523551704,0.011240000000000002,0.11412524850894631,0.020197514910536778,picocuriesPerGram,NA,6.836191186216036,disintegrationsPerMinutePerGram,8.607,0.011789640850586635,8.699999999999999e-4,1.6281377933100353e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,26,28,ORIG,0.44158415999374484,0.0506,0.0663372681281619,0.01689949409780776,picocuriesPerGram,NA,6.765100946224471,disintegrationsPerMinutePerGram,7.116,0.05638396708008456,0.00344,3.4480399002493754e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,28,30,ORIG,0.6140824587649006,0.04096,0.13826941986234023,0.017887512291052118,picocuriesPerGram,NA,2.746572162132634,disintegrationsPerMinutePerGram,7.108,0.04807876759987573,0.00293,3.2271807711567354e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,30,32,ORIG,0.42110715616994987,0.023479999999999997,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram,6.925,0.03149596756012588,0.00187,3.2465436408977554e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,32,34,ORIG,0.8707707547807947,0.03392,0,0,picocuriesPerGram,NA,5.55870066682174,disintegrationsPerMinutePerGram,6.898,0.0463298077928198,0.0027400000000000002,4.413766233766233e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,34,36,ORIG,0.6548790083910727,0.03672,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram,6.502,0.048792723996280145,0.00272,5.358224438902742e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,36,38,ORIG,0.6034356249144999,0.036019999999999996,NA,NA,NA,NA,NA,NA,8.786,0.03650687178697925,0.0027500000000000003,6.257291354322838e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,38,40,ORIG,0.6498669958161963,0.04117,0,0,picocuriesPerGram,NA,5.277567003904863,disintegrationsPerMinutePerGram,7.334,0.04580202798912913,0.0028799999999999997,5.280099950024987e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,40,42,ORIG,0.5383991973817983,0.047110000000000006,NA,NA,NA,NA,NA,NA,7.141,0.056839904103626465,0.0034799999999999996,5.304204204204204e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,42,44,ORIG,0.49782043078107574,0.06323000000000001,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram,8.559,0.06036897826022031,0.00443,4.3454599999999996e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,44,46,ORIG,0.4640003682132777,0.07055,NA,NA,NA,NA,NA,NA,7.846,0.07224721178268682,0.00486,3.533926073926074e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,46,48,ORIG,0.43505156457041505,0.07193,0,0,picocuriesPerGram,NA,4.773489708634054,disintegrationsPerMinutePerGram,7.714,0.06985467343456979,0.00462,3.290124812780829e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,48,50,ORIG,0.36731949945653,0.07142,NA,NA,NA,NA,NA,NA,6.303,0.0821615811985966,0.00444,3.40647676161919e-4
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,50,52,ORIG,0.3916175991477324,0.06709999999999999,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram,6.578,0.0730527337485307,0.0041199999999999995,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,50,52,DUP,0.3916175991477324,0.07275999999999999,NA,NA,NA,NA,NA,NA,8.031,0.06317609189453316,0.00435,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,52,54,ORIG,0.39197123625569635,0.07136,NA,NA,NA,NA,NA,NA,8.975,0.054841726602019206,0.00422,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,54,56,ORIG,0.382454465285873,0.06897,0,NA,picocuriesPerGram,NA,0,disintegrationsPerMinutePerGram,8.218,0.058190333398245024,0.0040999999999999995,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,56,58,ORIG,0.4516299890850781,0.05567999999999999,NA,NA,NA,NA,NA,NA,8.53,0.05360066298795552,0.00392,NA
Stahl_et_al_2024,GCE11,GCE11_TFL,single set of methods,58,60,ORIG,0.41720171294310443,0.058120000000000005,0,0,picocuriesPerGram,NA,0.3585774611928105,disintegrationsPerMinutePerGram,7.879,0.05921367511251306,0.004,NA
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,0,2,ORIG,0.24097433575105398,0.10331891903914592,0.388962962962963,0.025155449735449736,picocuriesPerGram,3.172625452877747,8.612691064079954,disintegrationsPerMinutePerGram,6.744,0.10718537419494215,0.006197548932384341,0.0011467404904904905
Stahl_et_al_2024,GCE11,GCE11_TFP,single set of methods,2,4,ORIG,0.27585045510109507,0.10644,0.3720491803278688,NA,picocuriesPerGram,3.3234248259562618,8.763490437158469,disintegrationsPerMinutePerGram,6.323,0.1044062206056079,0.005659999999999999,0.0012289343687374751
