Core ID,Lat_D,Lat_M,Lat_S,Latitude,Long_D,Long_M,Long_S,Longitude,Date CollectedSummer -,Marsh Zonation,Core Length,Depth of Refusal,Soil Type at Bottom of Core
T3 - 2,49,2,50.1,49.04725,123,2,45.2,-123.0458889,2018,HM,25,75,Silt
T3 - A,49,2,49.1,49.04697222,123,2,48.8,-123.0468889,2018,HM,27,52,Silt/Sand
C2,49,2,54.4,49.04844444,123,2,46.1,-123.0461389,2018,HM,19,n/a,Woody Debris
C3,49,2,53.2,49.04811111,123,2,39.4,-123.0442778,2018,HM,20,25,Silt/Sand
BB1,49,2,55.6,49.04877778,123,2,44.6,-123.0457222,2017,HM,21,21,Sand
BB1-4,49,2,55.7,49.04880556,123,2,45.5,-123.0459722,2014,HM,18,n/a,Unknown
BB1-3,49,2,50.7,49.04741667,123,2,43.9,-123.0455278,2014,HM,24,n/a,Unknown
BB2-5,49,3,0.2,49.05005556,123,2,15.3,-123.0375833,2014,HM,24,n/a,Unknown
T2-EA,49,3,1.1,49.05030556,123,2,4.9,-123.0346944,2018,HM,27,50,Sand
W-A,49,2,36.2,49.04338889,123,2,55.3,-123.0486944,2018,HM,45*,45 (pit),Sand
C1,49,2,54.4,49.04844444,123,2,44.5,-123.0456944,2018,S,21,n/a,Silt
SP2,49,2,51.1,49.04752778,123,2,37,-123.0436111,2018,S,16,23,Sand
T3 - 1,49,2,52.8,49.048,123,2,48.7,-123.0468611,2018,HM,25,35,Sand
BB1 - 2,49,2,49.6,49.04711111,123,2,42.9,-123.04525,2014,LM,29,n/a,Unknown
BB2,49,2,47.6,49.04655556,123,2,40,-123.0444444,2017,LM,23,23,Sand
BB1 - 1,49,2,44,49.04555556,123,2,40.8,-123.0446667,2014,LM,17,n/a,Unknown
BB2 - 4,49,2,59.1,49.04975,123,2,13.4,-123.0370556,2014,LM,19,n/a,Unknown
BB2 - 3,49,2,57.4,49.04927778,123,2,8.3,-123.0356389,2014,LM,13,n/a,Unknown
BB2 - 2,49,2,56.9,49.04913889,123,2,7.6,-123.0354444,2014,LM,20,n/a,Unknown
T2 - 6,49,3,0.1,49.05002778,123,2,12.6,-123.0368333,2018,LM,42,60,Sand
LM1,49,2,47.7,49.04658333,123,2,30.6,-123.0418333,2018,LM,29,40,Sand
LM2,49,1,48,49.03,123,2,36.6,-123.0435,2018,LM,29,42,Sand
