study_id,site_id,core_id,latitude,longitude,position_method,position_notes,vegetation_class,vegetation_notes,habitat,inundation_class,core_length_flag
Ward_et_al_2021,Tomales Bay,Tomales Bay 1,38.11,-122.86,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 2,38.11,-122.86,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 3,38.11,-122.86,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 4,38.11,-122.86,handheld,NA,NA,unvegetated sediments near seagrass meadows,unvegetated,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 5,38.11,-122.86,handheld,NA,NA,unvegetated sediments near seagrass meadows,unvegetated,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 6,38.11,-122.86,handheld,NA,NA,unvegetated sediments near seagrass meadows,unvegetated,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 7,38.16,-122.9,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 9,38.16,-122.9,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 11,38.16,-122.9,handheld,NA,NA,unvegetated sediments near seagrass meadows,unvegetated,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 13,38.16,-122.9,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 15,38.16,-122.9,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 17,38.16,-122.9,handheld,NA,NA,unvegetated sediments near seagrass meadows,unvegetated,low,core depth limited by length of corer
Ward_et_al_2021,Tomales Bay,Tomales Bay 18,38.16,-122.9,handheld,NA,NA,unvegetated sediments near seagrass meadows,unvegetated,low,core depth limited by length of corer
Ward_et_al_2021,Bodega Bay,Bodega Bay 19,38.32,-123.05,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Bodega Bay,Bodega Bay 20,38.32,-123.05,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
Ward_et_al_2021,Bodega Bay,Bodega Bay 21,38.32,-123.05,handheld,"treat as site-level; cores likely taken by SCUBA, with coordinates taken from boat",seagrass,NA,seagrass,low,core depth limited by length of corer
