"","X","study_id","site_id","core_id","year","latitude","longitude","position_method","elevation","elevation_datum","elevation_method","habitat","core_length_flag"
"1",1,"Langston_et_al_2022","Goodwin Island","NT1_1",2016,37.2155950976,-76.407614952,"RTK",0.414,"NAVD88","RTK","marsh","not specified"
"2",2,"Langston_et_al_2022","Goodwin Island","NT1_2",2016,37.215658126,-76.4075349518,"RTK",0.411,"NAVD88","RTK","marsh","not specified"
"3",3,"Langston_et_al_2022","Goodwin Island","NT1_3",2016,37.215784252,-76.4074785206,"RTK",0.409,"NAVD88","RTK","marsh","not specified"
"4",4,"Langston_et_al_2022","Goodwin Island","NT1_4",2016,37.2159983089,-76.4074224342,"RTK",0.479,"NAVD88","RTK","marsh","not specified"
"5",5,"Langston_et_al_2022","Goodwin Island","NT1_5",2016,37.2162983339,-76.4073400372,"RTK",0.57,"NAVD88","RTK","marsh","not specified"
"6",6,"Langston_et_al_2022","Goodwin Island","NT1_J",2016,37.2155239518,-76.4075037656,"RTK",0.342,"NAVD88","RTK","marsh","not specified"
"7",7,"Langston_et_al_2022","Goodwin Island","NT3_1",2016,37.2166790041666,-76.4091955214777,"RTK",0.156999999999996,"NAVD88","RTK","marsh","not specified"
"8",8,"Langston_et_al_2022","Goodwin Island","NT3_2",2016,37.2169032588666,-76.4090566315777,"RTK",0.246999999999993,"NAVD88","RTK","marsh","not specified"
"9",9,"Langston_et_al_2022","Goodwin Island","NT3_3",2016,37.2169830450666,-76.4088330621777,"RTK",0.378999999999991,"NAVD88","RTK","marsh","not specified"
"10",10,"Langston_et_al_2022","Goodwin Island","NT3_4",2016,37.2170780892666,-76.4086748262777,"RTK",0.492999999999995,"NAVD88","RTK","marsh","not specified"
"11",11,"Langston_et_al_2022","Goodwin Island","NT3_5",2016,37.2171914742666,-76.4084912710777,"RTK",0.573999999999991,"NAVD88","RTK","marsh","not specified"
"12",12,"Langston_et_al_2022","Goodwin Island","NT3_J",2016,37.2165795646666,-76.4092361103777,"RTK",0.143999999999991,"NAVD88","RTK","marsh","not specified"
"13",13,"Langston_et_al_2022","Goodwin Island","NT4_1",2016,37.2198080578,-76.4044006925,"RTK",0.286,"NAVD88","RTK","marsh","not specified"
"14",14,"Langston_et_al_2022","Goodwin Island","NT4_2",2016,37.2193938556,-76.4050580436,"RTK",0.448,"NAVD88","RTK","marsh","not specified"
"15",15,"Langston_et_al_2022","Goodwin Island","NT4_3",2016,37.2194587264,-76.4052572414,"RTK",0.491,"NAVD88","RTK","marsh","not specified"
"16",16,"Langston_et_al_2022","Goodwin Island","NT4_4",2016,37.2193803639,-76.4054143773,"RTK",0.449,"NAVD88","RTK","marsh","not specified"
"17",17,"Langston_et_al_2022","Goodwin Island","NT4_5",2016,37.218885103,-76.4056695626,"RTK",0.535,"NAVD88","RTK","marsh","not specified"
"18",18,"Langston_et_al_2022","Goodwin Island","NT4_6",2016,37.2193108198,-76.405752335,"RTK",0.521,"NAVD88","RTK","marsh","not specified"
"19",19,"Langston_et_al_2022","Goodwin Island","NT4_7",2016,37.21972206,-76.4043469623,"RTK",0.245,"NAVD88","RTK","marsh","not specified"
"20",20,"Langston_et_al_2022","Goodwin Island","OT3_1",2016,37.2190952810666,-76.4133790688777,"RTK",0.17799999999999,"NAVD88","RTK","marsh","not specified"
"21",21,"Langston_et_al_2022","Goodwin Island","OT3_2",2016,37.2191675150666,-76.4133276925777,"RTK",0.242999999999995,"NAVD88","RTK","marsh","not specified"
"22",22,"Langston_et_al_2022","Goodwin Island","OT3_3",2016,37.2194732590666,-76.4130686278777,"RTK",0.370999999999995,"NAVD88","RTK","marsh","not specified"
"23",23,"Langston_et_al_2022","Goodwin Island","OT3_4",2016,37.2195768147666,-76.4129955481777,"RTK",0.487999999999992,"NAVD88","RTK","marsh","not specified"
"24",24,"Langston_et_al_2022","Goodwin Island","OT3_5",2016,37.2196865297666,-76.4129367003777,"RTK",0.638999999999996,"NAVD88","RTK","marsh","not specified"
