study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,c14_material,c14_age,c14_age_se,age_min,age_max,delta_c13,sample_id,marker_date,marker_date_se,marker_notes,marker_type,method_id,site_id
Gerlach_et_al_2017,LI_15_5D,0,1,0.115,0.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,1,2,0.141,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,2,3,0.147,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,3,4,0.128,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,4,5,0.141,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,5,6,0.141,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,6,7,0.162,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,7,8,0.128,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,8,9,0.154,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,9,10,0.127,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,10,11,0.139,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,11,12,0.15,0.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,12,13,0.17,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
Gerlach_et_al_2017,LI_15_5D,13,14,0.13,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single set of methods,Long_Island
