study_id,site_id,core_id,latitude,longitude,position_notes,salinity_class,vegetation_class,core_length_flag,year
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,37.5225,-122.215167,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,37.521417,-122.209417,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Bair_Island,Bair_Island_3,37.517194,-122.215722,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Bair_Island,Bair_Island_4,37.511944,-122.219167,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_1,37.51975,-122.232694,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_2,37.519917,-122.225083,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_1,37.467778,-121.945694,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_2,37.454556,-121.946889,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_3,37.460389,-121.953528,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_4,37.459528,-121.953694,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_1,37.753667,-122.212278,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_2,37.753639,-122.213306,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Greco_Island,Greco_Island_1,37.501861,-122.171778,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Greco_Island,Greco_Island_2,37.50075,-122.171833,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_1,37.469833,-121.949917,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_2,37.465556,-121.933333,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Mud_Slough,Mud_Slough_3,37.4795,-121.952,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Plummer_Slough,Plummer_Slough_1,37.506306,-122.088111,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Ravenswood_Slough,Ravenswood_Slough_1,37.486889,-122.148556,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Ravenswood_Slough,Ravenswood_Slough_2,37.486917,-122.146194,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,South_Belmont,South_Belmont_Slough_1,37.551389,-122.240278,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,South_Belmont,South_Belmont_Slough_2,37.551111,-122.236111,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Triangle_Marsh,Triangle_Marsh_1,37.455389,-121.975556,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
Watson_and_Byrne_2013,Triangle_Marsh,Triangle_Marsh_2,37.457972,-121.974889,latitude and longitude from handheld GPS or better,saline,emergent,core depth represents deposit depth,2005
