study_id,bibliography_id,publication_type,bibtype,title,author,school,year,doi,url,month,publisher,volume,number,pages,journal,keywords,copyright,editor,booktitle,institution,language
StLaurent_et_al_2020,StLaurent_et_al_2020_data,primary dataset,Misc,Dataset: Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and {Calyn M. Crawford} and {Drexel Siok},NA,2020,10.25573/SERC.13315472,https://smithsonian.figshare.com/articles/dataset/Dataset_Assessing_coastal_carbon_variability_in_two_Delaware_tidal_marshes/13315472,dec,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Creative Commons Attribution 4.0 International,NA,NA,NA,NA
StLaurent_et_al_2020,StLaurent_et_al_2020_article,associated source,Article,Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and Calyn M. Crawford and Drexel Siok,NA,2020,10.1007/s11852-020-00783-3,https://doi.org/10.1007/s11852-020-00783-3,oct,Springer Science and Business Media {LLC},24,6,NA,Journal of Coastal Conservation,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_article,synthesis source,Article,Carbon Sequestration in a Pacific Northwest Eelgrass (Zostera marina) Meadow,KL Poppe and JM Rybczyk,NA,2018,10.3955/046.092.0202,NA,NA,NA,92,2,NA,Northwest Science,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018_mastersthesis,synthesis source,MastersThesis,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,KL Poppe,Western Washington University,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2018,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,2019,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019_techreport,synthesis source,TechReport,A Blue Carbon Assessment for the Stillaguamish River Estuary: Quantifying the Climate Benefits of Tidal Marsh Restoration,KL Poppe and JM Rybczyk,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA
Poppe_and_Rybczyk_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,2019,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Poppe_et_al_2019,Poppe_et_al_2019_techreport,synthesis source,TechReport,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA
Poppe_et_al_2019,Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,2019,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Peck_et_al_2020,Peck_et_al_2020_data,primary dataset,Misc,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, U.S.A.",Erin Peck and Robert Wheatcroft and Laura Brophy,NA,2020,10.25573/SERC.11317820.V2,https://smithsonian.figshare.com/articles/Dataset_Controls_on_sediment_accretion_and_blue_carbon_burial_in_tidal_saline_wetlands_Insights_from_the_Oregon_coast_U_S_A_/11317820/2,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Peck_et_al_2020,Peck_et_al_2020_article,associated source,Article,"Controls on Sediment Accretion and Blue Carbon Burial in Tidal Saline Wetlands: Insights From the Oregon Coast, {USA}",Erin K. Peck and Robert A. Wheatcroft and Laura S. Brophy,NA,2020,10.1029/2019jg005464,https://doi.org/10.1029/2019jg005464,feb,American Geophysical Union ({AGU}),125,2,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020,McTigue_et_al_2019_article,associated source,Article,Sea-level rise explains changing carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Tony Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,2019,NA,NA,NA,Wiley Online Library,NA,NA,NA,Journal of Geophysical Research: Biogeosciences,NA,NA,NA,NA,NA,NA
McTigue_et_al_2020,McTigue_et_al_2020_data,primary dataset,Misc,Dataset: Carbon accumulation rates in a salt marsh over the past two millennia,Nathan McTigue and Jenny Davis and Antonio Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,NA,2020,10.25573/serc.11421063,NA,NA,The Smithsonian Institution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill_and_Anisfeld_2015,Holmquist_et_al_2018_synthesis,synthesis dataset,Misc,Accuracy and Precision of Tidal Wetland Soil Carbon Mapping in the Conterminous United States: Public Soil Carbon Data Release,James R. Holmquist and Lisamarie Windham-Myers and Norman Bliss and Stephen Crooks and James T. Morris and J. Patrick Megonigal and Tiffany Troxler and Donald Weller and John Callaway and Judith Drexler and Matthew C. Ferner and Meagan E. Gonneea and Kevin D. Kroeger and Lisa Schile-Beers and Isa Woo and Kevin Buffington and Brandon M. Boyd and Joshua Breithaupt and Lauren N. Brown and Nicole Dix and Lyndie Hice and Benjamin P. Horton and Glen M. MacDonald and Ryan P. Moyer and William Reay and Timothy Shaw and Erik Smith and Joseph M. Smoak and Christopher Sommerfield and Karen Thorne and David Velinsky and Elizabeth Watson and Kristen {Wilson Grimes} and Mark Woodrey,NA,2018,10.25572/ccrcn/10088/35684,https://repository.si.edu/handle/10088/35684,NA,Smithsonian Research Online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
