"study_id","site_id","core_id","vegetation_class","habitat","core_length_flag","latitude","longitude","position_notes","year","month","day","position_method"
"MX_edaf_puntos","141","M1680","forested","mangrove","not specified",15.67694,-96.577,NA,1986,4,8,NA
"MX_edaf_puntos","2085","M1681","forested","mangrove","not specified",15.2025,-92.8113,NA,1990,4,8,NA
"MX_edaf_puntos","4005","M1682","forested","mangrove","not specified",14.91498,-92.6155,NA,1984,4,8,NA
"MX_edaf_puntos","30080","M1683","forested","mangrove","not specified",16.57923,-98.8213,NA,2003,4,8,NA
"MX_edaf_puntos","30083","M1684","forested","mangrove","not specified",16.64466,-99.2596,NA,2003,4,8,NA
"MX_edaf_puntos","36202","M1685","forested","mangrove","not specified",19.95371,-90.3721,NA,2003,4,8,NA
"MX_edaf_puntos","36215","M1686","forested","mangrove","not specified",19.04569,-91.0942,NA,2003,4,8,NA
"MX_edaf_puntos","38109","M1687","forested","mangrove","not specified",18.63789,-92.4778,NA,2004,4,8,NA
"MX_edaf_puntos","105008","M1688","forested","mangrove","not specified",20.21604,-90.4268,NA,2003,4,8,NA
"MX_edaf_puntos","114218","M1689","forested","mangrove","not specified",27.98859,-114.086,NA,2005,4,8,NA
"MX_perfilv12","102001_F1412","M1690","forested","mangrove","not specified",20.97885,-97.3209,NA,NA,NA,NA,NA
"MX_perfilv12","102005_F1412","M1691","forested","mangrove","not specified",20.9552,-97.3164,NA,NA,NA,NA,NA
"MX_perfilv12","104002_F150912","M1692","forested","mangrove","not specified",21.12814,-90.0011,NA,NA,NA,NA,NA
"MX_perfilv12","104004_F150912","M1693","forested","mangrove","not specified",21.11528,-90.0134,NA,NA,NA,NA,NA
"MX_perfilv12","104053_F150912","M1694","forested","mangrove","not specified",20.19988,-90.4033,NA,NA,NA,NA,NA
"MX_perfilv12","110054_F1607","M1695","forested","mangrove","not specified",21.13535,-89.9616,NA,NA,NA,NA,NA
"MX_perfilv12","2085_D1502","M1696","forested","mangrove","not specified",15.20135,-92.8111,NA,NA,NA,NA,NA
"MX_perfilv12","4005_D1505","M1697","forested","mangrove","not specified",14.91384,-92.6152,NA,NA,NA,NA,NA
"MX_perfilv12","41_D1403","M1698","forested","mangrove","not specified",15.67575,-96.5767,NA,NA,NA,NA,NA
"MX_perfilv12","56013_E160205","M1699","forested","mangrove","not specified",19.10571,-87.5571,NA,NA,NA,NA,NA
"MX_perfilv12","56027_E160205","M1700","forested","mangrove","not specified",18.26999,-87.8373,NA,NA,NA,NA,NA
"MX_perfilv12","6014_E1302","M1701","forested","mangrove","not specified",19.90796,-105.388,NA,NA,NA,NA,NA
"MX_perfilv12","78013_F1308","M1702","forested","mangrove","not specified",21.89038,-105.469,NA,NA,NA,NA,NA
"MX_perfilv12","86008_F140306","M1703","forested","mangrove","not specified",23.79933,-97.7719,NA,NA,NA,NA,NA
"MX_perfilv12","86016_F140306","M1704","forested","mangrove","not specified",23.57338,-97.7683,NA,NA,NA,NA,NA
"MX_perfilv12","86046_F140306","M1705","forested","mangrove","not specified",22.0741,-97.8409,NA,NA,NA,NA,NA
"AfSPDB","AO_1454_P213c/60","M1706","forested","mangrove","not specified",-6.14567,12.37461,NA,1960,4,8,NA
"AU_NatSoil","AU_399_BAC_T481","M1707","forested","mangrove","not specified",-17,145.77,NA,1987,4,8,NA
"AU_NatSoil","AU_399_REG_T276","M1708","forested","mangrove","not specified",-17.66,146.1,NA,1979,4,8,NA
"AU_NatSoil","AU_399_REG_T360","M1709","forested","mangrove","not specified",-18.37,146.11,NA,1983,4,8,NA
"NCSS","C1512W04","M1710","forested","mangrove","not specified",25.88,-81.37,NA,2011,4,8,NA
"AfSPDB","CD_SOTER_MA26","M1711","forested","mangrove","not specified",-5.97,12.37,NA,1988,4,8,NA
"WISE","CD0130","M1712","forested","mangrove","not specified",-5.96972,12.36972,NA,NA,NA,NA,NA
"WISE","CU0040","M1713","forested","mangrove","not specified",20.03333,-75.1667,NA,1991,4,8,NA
"WISE","GF0001","M1714","forested","mangrove","not specified",4.8,-52.2,NA,1960,4,8,NA
"AfSPDB","GW_6050_X/207","M1715","forested","mangrove","not specified",11.035,-15.0222,NA,1983,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-13-10","M1716","forested","mangrove","not specified",-18.0453,36.86095,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-13-2","M1717","forested","mangrove","not specified",-18.0484,36.85908,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-13-7","M1718","forested","mangrove","not specified",-18.0532,36.8631,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-13-8","M1719","forested","mangrove","not specified",-18.0456,36.86033,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-14-2","M1720","forested","mangrove","not specified",-18.0246,36.86041,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-14-9","M1721","forested","mangrove","not specified",-18.0245,36.85885,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-5-4","M1722","forested","mangrove","not specified",-18.0494,36.82481,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-5-5","M1723","forested","mangrove","not specified",-18.0467,36.82455,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-5-8","M1724","forested","mangrove","not specified",-18.0482,36.82079,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-11","M1725","forested","mangrove","not specified",-18.0437,36.83612,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-12","M1726","forested","mangrove","not specified",-18.0478,36.84018,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-13","M1727","forested","mangrove","not specified",-18.0438,36.836,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-14","M1728","forested","mangrove","not specified",-18.0467,36.84099,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-2","M1729","forested","mangrove","not specified",-18.0472,36.8401,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-5","M1730","forested","mangrove","not specified",-18.0452,36.83748,NA,2009,4,8,NA
"AfSIS_Sentinel_Sites","Ihassunge-9-8","M1731","forested","mangrove","not specified",-18.0468,36.83199,NA,2009,4,8,NA
"NCSS","Q3 #1","M1732","forested","mangrove","not specified",17.95,-66.25,NA,2014,4,8,NA
"RadamBrasil","RADAM_VOL_24_36","M1733","forested","mangrove","not specified",-15.55,-38.9833,NA,1981,4,8,NA
"RadamBrasil","RADAM_VOL_3_14","M1734","forested","mangrove","not specified",-2.85,-44.3333,NA,1973,4,8,NA
"NCSS","S1977-FL071-S36_005","M1735","forested","mangrove","not specified",26.48,-81.96,NA,2011,4,8,NA
