"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon"
"MX_edaf_puntos","141","M1680","single set of methods",0,20,0.9116095353564816,NA,0.02
"MX_edaf_puntos","141","M1680","single set of methods",20,43,1.2638676974185887,NA,0.006
"MX_edaf_puntos","141","M1680","single set of methods",43,91,1.2222048077085237,NA,0.006999999999999999
"MX_edaf_puntos","141","M1680","single set of methods",91,106,1.544390719394379,NA,0.001
"MX_edaf_puntos","2085","M1681","single set of methods",0,4,0.9755764611319834,NA,0.016
"MX_edaf_puntos","2085","M1681","single set of methods",4,33,1.184243840982881,NA,0.008
"MX_edaf_puntos","4005","M1682","single set of methods",0,17,0.6468201233519105,NA,0.057999999999999996
"MX_edaf_puntos","30080","M1683","single set of methods",0,25,0.9578100457743548,NA,0.017
"MX_edaf_puntos","30080","M1683","single set of methods",25,55.00000000000001,1.2222048077085237,NA,0.006999999999999999
"MX_edaf_puntos","30080","M1683","single set of methods",55.00000000000001,80,1.2222048077085237,NA,0.006999999999999999
"MX_edaf_puntos","30080","M1683","single set of methods",80,98,1.3600439077591204,NA,0.004
"MX_edaf_puntos","30080","M1683","single set of methods",98,112.99999999999999,1.4767879109825168,NA,0.002
"MX_edaf_puntos","30083","M1684","single set of methods",0,30,1.037970058456357,NA,0.013000000000000001
"MX_edaf_puntos","30083","M1684","single set of methods",30,55.00000000000001,1.1496049338121122,NA,0.009000000000000001
"MX_edaf_puntos","30083","M1684","single set of methods",55.00000000000001,80,1.309656393994809,NA,0.005
"MX_edaf_puntos","30083","M1684","single set of methods",80,100,1.2222048077085237,NA,0.006999999999999999
"MX_edaf_puntos","30083","M1684","single set of methods",100,125,1.0889669706505094,NA,0.011000000000000001
"MX_edaf_puntos","36202","M1685","single set of methods",0,22,0.65133061724231045,NA,0.057
"MX_edaf_puntos","36202","M1685","single set of methods",22,38,1.015489232763044,NA,0.013999999999999999
"MX_edaf_puntos","36202","M1685","single set of methods",38,75,1.4155580737486713,NA,0.003
"MX_edaf_puntos","36215","M1686","single set of methods",12,22,0.6944530167766508,NA,0.048
"MX_edaf_puntos","36215","M1686","single set of methods",22,40,1.015489232763044,NA,0.013999999999999999
"MX_edaf_puntos","38109","M1687","single set of methods",0,13,1.0889669706505094,NA,0.011000000000000001
"MX_edaf_puntos","38109","M1687","single set of methods",13,28.000000000000004,1.1496049338121122,NA,0.009000000000000001
"MX_edaf_puntos","105008","M1688","single set of methods",11,19,0.9578100457743548,NA,0.017
"MX_edaf_puntos","105008","M1688","single set of methods",19,27,1.184243840982881,NA,0.008
"MX_edaf_puntos","105008","M1688","single set of methods",27,43,1.2638676974185887,NA,0.006
"MX_edaf_puntos","105008","M1688","single set of methods",43,69,1.309656393994809,NA,0.005
"MX_edaf_puntos","105008","M1688","single set of methods",69,74,1.4155580737486713,NA,0.003
"MX_edaf_puntos","114218","M1689","single set of methods",0,8,0.823522447299401,NA,0.027999999999999997
"MX_edaf_puntos","114218","M1689","single set of methods",8,20,0.9755764611319834,NA,0.016
"MX_edaf_puntos","114218","M1689","single set of methods",20,38,1.037970058456357,NA,0.013000000000000001
"MX_edaf_puntos","114218","M1689","single set of methods",38,54,1.037970058456357,NA,0.013000000000000001
