"[Abbreviations: ID, identification; WGS84, World Geodetic System 1984; NAD83, North American Datum of 1983; m, meter; NAVD88, North American Vertical Datum of 1988; NA, not applicable; NR, not recorded;  cm, centimeter; °C, degree Celsius; mmHg, millimeter of mercury; %, percent; mg/L, milligrams per liter; mS/cm, millisiemens per centimeter; mV, millivolt; --, no data]",,,,,,,,,,,,,,,,,,,,,,,
Site Location,,,,,,,,,,,Core Length,,,,,Water Quality Parameters,,,,,,,
Site ID,"Date 
Collected",Site Description,Type of Samples Collected,Latitude (WGS84),Longitude (WGS84),Latitude (NAD83),Longitude (NAD83),"Orthometric Height
(m NAVD88, Geoid 12A)",Water Depth (m),,"Push Core
Recovered Length
(cm)","Push Core
Compaction During Coring
(cm)","Shovel Core
Recovered Length
(cm)",Total Auger Core Length (cm),,Temperature (°C),Barometric Pressure (mmHg),Dissolved Oxygen (%),"Dissolved Oxygen
(mg/L)",Specific Conductance (mS/cm),Salinity,pH,Oxidation-Reduction Potential (mV)
14CCT01-GB30,09/17/2014,Marsh,S,30.38283,-88.43216,30.38284,-88.43216,0.252,NA,,--,--,--,--,,29.5,760.7,2.2,0.15,36.44,72.91,6.22,57.24
14CCT01-GB32,09/17/2014,Estuarine,"B, G",30.35775,-88.41827,--,--,--,1.1,,--,--,--,--,,30.2,761.6,74.2,4.82,42.18,26.94,7.56,51.9
14CCT01-GB33,09/17/2014,Marsh,S,30.35016,-88.39619,30.35016,-88.39619,0.56,NA,,--,--,--,--,,NA,NA,NA,NA,NA,NA,NA,NA
14CCT01-GB35,09/17/2014,Estuarine,"B, G",30.35303,-88.41431,--,--,--,NR,,--,--,--,--,,30.2,761.5,91.6,5.45,42.21,26.95,7.82,34.9
14CCT01-GB36,09/16/2014,Marsh,"D, M, R, S",30.37953,-88.41277,30.37953,-88.41278,0.255,NA,,55,1.5,40,100,,28,765,4.5,0.3,41.17,26.26,6.14,48.6
14CCT01-GB37 & -GB67,09/17/2014,Estuarine,"B, G",30.34833,-88.41104,--,--,--,0.7,,--,--,--,--,,29.1,762.6,63.9,4.16,41.69,26.62,7.76,52.8
14CCT01-GB38,09/17/2014,Salt Pan,S,30.36934,-88.41933,30.36936,-88.4193,0.386,NA,,--,--,--,--,,NA,NA,NA,NA,NA,45,NA,NA
14CCT01-GB39,09/17/2014,Marsh,"D, M, R, S",30.35484,-88.40569,30.35483,-88.40569,0.255,NA,,64,4,40,100,,29.4,762.1,7.7,0.49,41.91,26.76,6.6,-209.8
14CCT01-GB40,09/15/2014,Estuarine,"B, G",30.39826,-88.40607,--,--,--,0.7,,--,--,--,--,,30.9,764.7,66.9,4.21,44.04,28.23,7.14,55
14CCT01-GB41,09/17/2014,Estuarine,"B, G",30.343,-88.40596,--,--,--,0.9,,--,--,--,--,,29.2,762.8,77,4.96,41.93,26.79,7.91,55.3
