"study_id","site_id","site_description","salinity_class","salinity_method","vegetation_class","vegetation_method"
"Nahlik_and_Fennessy_2016","NWCA11-2426","Lower Ashepoo River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1266","Indian River Lagoon; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2418","Beaufort River-Atlantic Intracoastal Waterway; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2407","North Edisto River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2434","Beaufort River-Atlantic Intracoastal Waterway; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2435","North Edisto River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-R067","Lower Yellow River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1002","Fish River-Frontal Mobile Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2410","Coosaw River-Port Royal Sound; South Atlantic Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1105","San Francisco Bay; California","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2639","Currituck Sound; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2637","Mobjack Bay-Lower Chesapeake Bay; Mid Atlantic","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2536","Dickinson Bayou; Texas Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2420","Bulls Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2066","Oyster Creek-Jarrett Bay; South Atlantic Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2025","Neuse River; South Atlantic Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2404","Bulls Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2412","Little River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2666","Currituck Sound; South Atlantic Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2653","Currituck Sound; South Atlantic Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2647","Lower York River; Mid Atlantic","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2634","Mobjack Bay-Lower Chesapeake Bay; Mid Atlantic","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2651","Mobjack Bay-Lower Chesapeake Bay; Mid Atlantic","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2652","Machipongo River-Hog Island Bay; Mid Atlantic","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2427","Great Pee Dee River-Winyah Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1021","Fish River-Frontal Mobile Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1017","Fish River-Frontal Mobile Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1823","Roque Bluffs Frontal Drainages; New England","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1836","Schoodic Point-Petit-Manan Point Frontal Drainages; New England","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1010","Fish River-Frontal Mobile Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1203","Rehoboth Bay; Mid Atlantic","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2599","Matagorda Bay; Texas Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2600","Halls Bayou; Texas Gulf","estuarine","field observation","forested to shrub","field observation"
