"study_id","site_id","core_id","sample_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Nahlik_and_Fennessy_2016","NWCA11-2426","NWCA11-2426-2611","NWCA11-2426-1-11-SC-029-001-1",0,28,0.6,0.0345,NA
"Nahlik_and_Fennessy_2016","NWCA11-2426","NWCA11-2426-2611","NWCA11-2426-1-11-SC-029-001-2",28,125,1.27,0.0052,NA
"Nahlik_and_Fennessy_2016","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-1",0,6,1.11,0.0085,"Layer 1 and 2 collected together."
"Nahlik_and_Fennessy_2016","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-3",6,39,1.1,0.0021,NA
"Nahlik_and_Fennessy_2016","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-4",39,80,1.15,0.0072,NA
"Nahlik_and_Fennessy_2016","NWCA11-1266","NWCA11-1266-2668","NWCA11-1266-1-11-FL-009-001-5",80,100,1.5,0.0018,NA
"Nahlik_and_Fennessy_2016","NWCA11-2418","NWCA11-2418-2750","NWCA11-2418-1-11-SC-013-002-1",0,50,0.68,0.0184,NA
"Nahlik_and_Fennessy_2016","NWCA11-2407","NWCA11-2407-2769","NWCA11-2407-1-11-SC-019-001-1",0,60,0.42,0.0211,NA
"Nahlik_and_Fennessy_2016","NWCA11-2434","NWCA11-2434-2791","NWCA11-2434-1-11-SC-013-003-1",0,12,0.99,0.0017,NA
"Nahlik_and_Fennessy_2016","NWCA11-2434","NWCA11-2434-2791","NWCA11-2434-1-11-SC-013-003-2",12,28,1.48,0.0054,NA
"Nahlik_and_Fennessy_2016","NWCA11-2434","NWCA11-2434-2791","NWCA11-2434-1-11-SC-013-003-3",28,73,1.48,0.0012,NA
"Nahlik_and_Fennessy_2016","NWCA11-2435","NWCA11-2435-2792","NWCA11-2435-1-11-SC-019-007-1",0,24,1.39,0.0058,NA
"Nahlik_and_Fennessy_2016","NWCA11-2435","NWCA11-2435-2792","NWCA11-2435-1-11-SC-019-007-2",24,70,1.46,0.0038,NA
"Nahlik_and_Fennessy_2016","NWCA11-R067","NWCA11-R067-2811","NWCA11-R067-1-11-FL-091-001-1",0,19,0.13,0.1331,"Horizon 1 - heavy root mat.  Horizon 2 less fibrous than a & b. Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-R067","NWCA11-R067-2811","NWCA11-R067-1-11-FL-091-001-2",19,73,0.41,0.0911,"Horizon 1 - heavy root mat.  Horizon 2 less fibrous than a & b. Dry bulk density inconsistent with layer position"
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-1",0,9,0.2,0.2388,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-2",9,23,0.74,0.0549,NA
"Nahlik_and_Fennessy_2016","NWCA11-1002","NWCA11-1002-2812","NWCA11-1002-1-11-AL-003-001-3",23,42,1.74,0.0024,NA
