"study_id","site_id","site_description","salinity_class","salinity_method","vegetation_class","vegetation_method"
"Nahlik_and_Fennessy_2016","NWCA11-1240","River Styx; South Atlantic Gulf","palustrine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2426","Lower Ashepoo River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1266","Indian River Lagoon; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1304","Rice Creek-St. Johns River; South Atlantic Gulf","palustrine","field observation","forested","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1299","Lake Winder-St. Johns River; South Atlantic Gulf","palustrine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2418","Beaufort River-Atlantic Intracoastal Waterway; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2432","Tobys Creek-Great Pee Dee River; South Atlantic Gulf","palustrine","field observation","forested","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2407","North Edisto River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1006","Fish River-Frontal Mobile Bay; South Atlantic Gulf","palustrine","field observation","scrub shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2434","Beaufort River-Atlantic Intracoastal Waterway; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2435","North Edisto River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-R067","Lower Yellow River; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1002","Fish River-Frontal Mobile Bay; South Atlantic Gulf","estuarine","field observation","emergent","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1014","Wolf Bay Frontal; South Atlantic Gulf","palustrine","field observation","forested","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1011","Rains Creek-Tensaw River; South Atlantic Gulf","palustrine","field observation","forested","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-2410","Coosaw River-Port Royal Sound; South Atlantic Gulf","estuarine","field observation","forested to shrub","field observation"
"Nahlik_and_Fennessy_2016","NWCA11-1105","San Francisco Bay; California","estuarine","field observation","emergent","field observation"
