study_id,site_id,core_id,year,month,day,latitude,longitude,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Radabaugh_et_al_2021,Clam_Bayou,CBControl01,2018,1,12,27.74368,-82.68744,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBControl02,2018,1,12,27.74368,-82.68744,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBControl05,2018,1,12,27.74368,-82.68744,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBControl10,2018,1,12,27.74357,-82.68736,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBControl15,2018,1,12,27.74357,-82.68736,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBStressed01,2018,1,12,27.74277,-82.687970000000007,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBStressed02,2018,1,12,27.74277,-82.687970000000007,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBStressed05,2018,1,12,27.74277,-82.687970000000007,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBStressed10,2018,1,12,27.74283,-82.68808,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Clam_Bayou,CBStressed15,2018,1,12,27.74283,-82.68808,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Double_Branch_Bay_Control,DBBControl01,2018,2,9,28.00177,-82.6239,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Double_Branch_Bay_Control,DBBControl02,2018,2,9,28.00177,-82.6239,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Double_Branch_Bay_Control,DBBControl05,2018,2,9,28.00177,-82.6239,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Double_Branch_Bay_Control,DBBControl10,2018,2,9,28.00177,-82.6239,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Double_Branch_Bay_Control,DBBControl15,2018,2,9,28.00177,-82.6239,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2021,Double_Branch_Bay_Stressed,DBBStressed01,2018,2,9,28.00034,-82.62428,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
