study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,total_pb210_activity,total_pb210_activity_se,excess_pb210_activity,pb210_unit,age,age_se
Noe_et_al_2016,Butler_Island,W1,single set of methods,0,1,NA,0.183,NA,NA,NA,NA,0,0.2
Noe_et_al_2016,Butler_Island,W1,single set of methods,1,2,0.12,0.159,6.28,0.17,4.31,disintegrations_per_minute_per_gram,2,0.1
Noe_et_al_2016,Butler_Island,W1,single set of methods,2,3,0.13,0.166,6.45,0.19,4.47,disintegrations_per_minute_per_gram,3.9,0.2
Noe_et_al_2016,Butler_Island,W1,single set of methods,3,4,0.13,0.172,6.21,0.17,4.24,disintegrations_per_minute_per_gram,6.4,0.2
Noe_et_al_2016,Butler_Island,W1,single set of methods,4,5,0.13,0.179,6.21,0.17,4.23,disintegrations_per_minute_per_gram,8.8,0.2
Noe_et_al_2016,Butler_Island,W1,single set of methods,5,6,0.15,0.17600000000000002,7.72,0.26,5.74,disintegrations_per_minute_per_gram,11.5,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,6,7,0.19,0.184,6.33,0.17,4.35,disintegrations_per_minute_per_gram,16.3,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,7,8,0.16,0.162,6.17,0.17,4.19,disintegrations_per_minute_per_gram,21.4,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,8,9,0.14,0.184,6.21,0.17,4.23,disintegrations_per_minute_per_gram,26.6,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,9,10,0.15,0.165,5.35,0.1,3.37,disintegrations_per_minute_per_gram,31.8,0.3
Noe_et_al_2016,Butler_Island,W1,single set of methods,10,11,0.15,0.184,5.16,0.11,3.18,disintegrations_per_minute_per_gram,36.8,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,11,12,0.18,0.233,5.25,0.1,3.27,disintegrations_per_minute_per_gram,42.8,0.5
Noe_et_al_2016,Butler_Island,W1,single set of methods,12,13,0.12,0.184,4.4,0.09,2.42,disintegrations_per_minute_per_gram,51.9,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,13,14,0.11,0.213,3.96,0.08,1.98,disintegrations_per_minute_per_gram,57.7,0.4
Noe_et_al_2016,Butler_Island,W1,single set of methods,14,15,0.13,0.266,3.83,0.08,1.85,disintegrations_per_minute_per_gram,62.7,0.6
Noe_et_al_2016,Butler_Island,W1,single set of methods,15,16,NA,NA,NA,NA,NA,NA,69.5,0.7
Noe_et_al_2016,Butler_Island,W1,single set of methods,16,17,0.13,0.254,4,0.09,2.02,disintegrations_per_minute_per_gram,78.5,1
Noe_et_al_2016,Butler_Island,W1,single set of methods,17,18,0.22,0.23,3.38,0.07,1.4,disintegrations_per_minute_per_gram,91.9,2
Noe_et_al_2016,Butler_Island,W1,single set of methods,18,19,0.31,0.08,2.67,0.06,0.69,disintegrations_per_minute_per_gram,120.5,5.9
Noe_et_al_2016,Butler_Island,W1,single set of methods,19,20,0.52,0.073,1.98,0.05,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Richmond_Island,W2,single set of methods,0,1,0.13,0.16899999999999998,7.12,0.19,5.27,disintegrations_per_minute_per_gram,0,0.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,1,2,0.13,0.207,5.76,0.11,3.91,disintegrations_per_minute_per_gram,4.9,0.2
Noe_et_al_2016,Richmond_Island,W2,single set of methods,2,3,0.12,0.24100000000000002,5.89,0.12,4.04,disintegrations_per_minute_per_gram,9,0.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,3,4,0.16,0.285,5.39,0.1,3.54,disintegrations_per_minute_per_gram,13.6,0.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,4,5,0.12,0.218,6.04,0.12,4.19,disintegrations_per_minute_per_gram,19.9,0.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,5,6,0.12,0.275,5.27,0.12,3.42,disintegrations_per_minute_per_gram,26.5,0.4
Noe_et_al_2016,Richmond_Island,W2,single set of methods,6,7,0.08,0.268,4.39,0.1,2.54,disintegrations_per_minute_per_gram,33.4,0.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,7,8,0.1,0.26,4.05,0.08,2.2,disintegrations_per_minute_per_gram,37.5,0.4
Noe_et_al_2016,Richmond_Island,W2,single set of methods,8,9,0.09,0.3,4.2,0.09,2.35,disintegrations_per_minute_per_gram,42.8,0.4
Noe_et_al_2016,Richmond_Island,W2,single set of methods,9,10,0.14,0.348,3.33,0.07,1.48,disintegrations_per_minute_per_gram,48.8,0.6
Noe_et_al_2016,Richmond_Island,W2,single set of methods,10,11,0.11,0.314,2.37,0.07,0.51,disintegrations_per_minute_per_gram,55.7,0.5
Noe_et_al_2016,Richmond_Island,W2,single set of methods,11,12,0.07,0.33399999999999996,3.26,0.08,1.41,disintegrations_per_minute_per_gram,57.8,0.4
Noe_et_al_2016,Richmond_Island,W2,single set of methods,12,13,0.12,0.315,3.55,0.08,1.69,disintegrations_per_minute_per_gram,61.9,0.8
Noe_et_al_2016,Richmond_Island,W2,single set of methods,13,14,0.14,0.31,3.62,0.08,1.77,disintegrations_per_minute_per_gram,73,1.5
Noe_et_al_2016,Richmond_Island,W2,single set of methods,14,15,0.1,0.33399999999999996,3.36,0.09,1.51,disintegrations_per_minute_per_gram,95.6,2.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,15,16,0.18,0.23600000000000002,2.36,0.06,0.5,disintegrations_per_minute_per_gram,127.5,7.3
Noe_et_al_2016,Richmond_Island,W2,single set of methods,16,17,0.21,0.09300000000000001,1.9,0.04,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Richmond_Island,W2,single set of methods,17,18,0.25,0.10300000000000001,1.89,0.05,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Richmond_Island,W2,single set of methods,18,19,0.24,0.078,1.83,0.04,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Richmond_Island,W2,single set of methods,19,20,0.22,0.114,1.79,0.04,NA,disintegrations_per_minute_per_gram,NA,NA
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,0,2,0.07,0.262,6.6,0.13,5.13,disintegrations_per_minute_per_gram,0,0.3
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,2,4,0.15,0.332,4.54,0.09,3.07,disintegrations_per_minute_per_gram,6.8,0.6
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,4,6,0.1,0.322,3.53,0.07,2.05,disintegrations_per_minute_per_gram,18.1,0.5
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,6,8,0.12,0.311,3.55,0.07,2.08,disintegrations_per_minute_per_gram,25.3,0.7
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,8,10,0.1,0.312,3.45,0.07,1.98,disintegrations_per_minute_per_gram,36.6,0.8
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,10,12,0.12,0.32,3.1,0.07,1.63,disintegrations_per_minute_per_gram,49.9,1.3
Noe_et_al_2016,Turkey_Creek,W3,single set of methods,12,14,0.1,0.266,2.41,0.06,0.94,disintegrations_per_minute_per_gram,70.3,1.7
