"ID","region","subregion","biome","date","plot_name","tree_number","genus","species","dbh","height","live","tree_notes","use_for_allometry","plot_type","plot_shape","baf","plot_area","lat1","lon1","lat2","lon2","lat3","lon3","lat4","lon4","collected_by","digitized_by"
"Brazil_South_1_tree_1","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","1","Rhizophora","mangle",23,8.8,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_2","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","2","Avicennia","germinans",13.7,5.2,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_3","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","3","Avicennia","germinans",28,6.6,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_4","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","4","Avicennia","germinans",40,10.6,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_5","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","5","Avicennia","germinans",10.4,3.1,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_6","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","6","Avicennia","germinans",11,3.2,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_7","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","7","Avicennia","germinans",27.6,5.6,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_8","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","8","Rhizophora","mangle",43.8,11.4,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_9","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","9","Rhizophora","mangle",34.2,10.5,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
"Brazil_South_1_tree_10","south_america","Brazil_South","mangrove","2012-11-28","Brazil_South_1","10","Rhizophora","mangle",38.6,9.6,1,"",1,"f","circle",-9999,1963.5,-23.90587,-46.19775,-9999,-9999,-9999,-9999,-9999,-9999,"m simard","jm corcoran"
