study_id,site_id,core_id,project,site_description,impact_class,estuary,PNWBCWG_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_measurement,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,habitat,inundation_class,inundation_method,inundation_notes,pb210_cic_accretion_rate,pb210_cic_accretion_rate_se,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2
Poppe_et_al_2024,SEC-HM,SEC-HM-C1,ESLR,Secret River high marsh,natural,COL,1539,2021,1,21,Gouge auger,46.30508,-123.6925,1,RTK,RTK,1.987,NAVD88,RTK,RTK at A1,fresh,groundwater well,discrete,"Mean 5 spot meas, Oct 2020-May 2022",emergent,field observation,NA,marsh,high,field observation,NA,0.5,NA,Used depth 0 - 26.211 cm for CIC model; Averaged total 210Pb across 26.211 - 50.405 cm to represent supported 210Pb,26.211,0.79
Poppe_et_al_2024,KAN-RM,KAN-RM-C1,ESLR,Kandoll Farm restored marsh,restored,COL,1542,2021,2,28,Gouge auger,46.32616,-123.65378,1,RTK,RTK,2.156,NAVD88,RTK,RTK at A3,fresh,groundwater well,discrete,"Mean 7 spot meas, Oct 2020-Jan 2022",emergent,field observation,NA,marsh,high,field observation,NA,0.9,11.530000000000001,Used depth 0 - 10 cm for post-restoration layer in CIC model,10,0.17
Poppe_et_al_2024,KAN-RM,KAN-RM-C2,ESLR,Kandoll Farm restored marsh,restored,COL,1543,2021,2,28,Gouge auger,46.325920000000004,-123.65393,1,RTK,RTK,2.215,NAVD88,RTK,RTK at A5,fresh,groundwater well,discrete,"Mean 7 spot meas, Oct 2020-Jan 2022",emergent,field observation,NA,marsh,high,field observation,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1,ESLR,Mouth Lewis & Clark River marsh,natural,COL,1544,2021,1,20,Gouge auger,46.15752,-123.86123,1,RTK,RTK,2.229,NAVD88,RTK,RTK at A1,oligohaline,groundwater well,continuous,"Mean, Oct 2020-May 2022",emergent,field observation,NA,marsh,high,field observation,NA,0.79,0.8999999999999999,Used depth 0 - 26 cm for CIC model,26,0.94
Poppe_et_al_2024,MLC-HM,MLC-HM-C2b,ESLR,Mouth Lewis & Clark River marsh,natural,COL,1545,2021,7,4,Gouge auger,46.15782,-123.86194,10,handheld,Cell phone,2.374,NAVD88,RTK,RTK at A4,oligohaline,groundwater well,continuous,"Mean, Oct 2020-May 2022",emergent,field observation,NA,marsh,high,field observation,NA,0.61,NA,Used depth 2 - 32 cm to exclude surface mixed layer for CIC model; Averaged total 210Pb across 32 - 50 cm to represent supported 210Pb,32,0.75
Poppe_et_al_2024,SES-TS,SES-TS-C1b,ESLR,Seal Slough swamp,natural,COL,1546,2021,7,3,Gouge auger,46.32663,-123.65991,10,handheld,Cell phone,NA,NA,NA,NA,fresh,groundwater well,discrete,"Mean 9 spot meas, Oct 2020-May 2022",forested,field observation,NA,swamp,high,field observation,NA,0.47,NA,Used depth 2.085 - 27.102 cm to exclude surface mixed layer for CIC model; Averaged total 210Pb across 27.102 - 45.866 cm to represent supported 210Pb,27.102,0.89
Poppe_et_al_2024,WIN-TS,"WIN-TS-C1a,b",ESLR,Winchester swamp,natural,COO,1547,2021,5,17,Gouge auger,43.2695,-124.321,100,other moderate resolution,Google Maps for general site location,2.525,NAVD88,other high resolution,Leveling at A1,oligohaline,groundwater well,continuous,Mean. Oct 2020-Mar 2022,forested,field observation,NA,swamp,high,field observation,NA,0.14,NA,Used depth 6.056 - 22.205 cm to exclude surface mixed layer for CIC model; Averaged total 210Pb across 24.223 - 50.465 cm to represent supported 210Pb,22.205,0.98
Poppe_et_al_2024,FSM-HM,FSM-HM-C1,ESLR,Fredrickson South marsh,natural,COO,1548,2021,5,19,Gouge auger,43.27225,-124.31899,1,RTK,RTK,2.354,NAVD88,RTK,RTK at A2,mesohaline,groundwater well,continuous,"Mean, Oct 2020-Mar 2022",emergent,field observation,NA,marsh,high,field observation,NA,0.16,0.36,Used depth 2 - 16 cm to exclude surface mixed layer for CIC model,16,0.84
Poppe_et_al_2024,FRE-RM,FRE-RM-C1,ESLR,Fredrickson restored marsh,natural,COO,1549,2022,2,7,Gouge auger,43.27479,-124.32014,1,RTK,RTK,2.247,NAVD88,RTK,RTK at A3,mesohaline,groundwater well,continuous,"Mean, Oct 2020-Mar 2022",emergent,field observation,NA,marsh,high,field observation,NA,1.06,0.94,Used depth 0 - 22 cm for CIC model,22,0.97
Poppe_et_al_2024,FRE-RM,FRE-RM-C2,ESLR,Fredrickson restored marsh,restored,COO,1550,2022,2,7,Gouge auger,43.27469,-124.32,1,RTK,RTK,2.251,NAVD88,RTK,RTK at A2,mesohaline,groundwater well,continuous,"Mean, Oct 2020-Mar 2022",emergent,field observation,NA,marsh,high,field observation,NA,0.37,0.5800000000000001,Used depth 2.02 - 18.17 cm to exclude surface mixed layer for CIC model,18.17,0.87
