study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,habitat,inundation_class,inundation_method,inundation_notes,pb210_cic_accretion_rate,pb210_cic_accretion_rate_se,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2
Poppe_et_al_2024,SEC-HM,SEC-HM-C1-1539,2021,1,21,Secret River high marsh,46.30508,-123.6925,1,RTK,RTK,1.987,NAVD88,RTK,RTK at A1,fresh,measurement,"groundwater well, discrete, Mean 5 spot meas, Oct 2020-May 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.5,NA,Used depth 0 - 26.211 cm for CIC model; Averaged total 210Pb across 26.211 - 50.405 cm to represent supported 210Pb,26.211,0.79
Poppe_et_al_2024,KAN-RM,KAN-RM-C1-1542,2021,2,28,Kandoll Farm restored marsh,46.32616,-123.65378,1,RTK,RTK,2.156,NAVD88,RTK,RTK at A3,fresh,measurement,"groundwater well, discrete, Mean 7 spot meas, Oct 2020-Jan 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.9,11.53,Used depth 0 - 10 cm for post-restoration layer in CIC model,10,0.17
Poppe_et_al_2024,KAN-RM,KAN-RM-C2-1543,2021,2,28,Kandoll Farm restored marsh,46.325920000000004,-123.65393,1,RTK,RTK,2.215,NAVD88,RTK,RTK at A5,fresh,measurement,"groundwater well, discrete, Mean 7 spot meas, Oct 2020-Jan 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C1-1544,2021,1,20,Mouth Lewis & Clark River marsh,46.15752,-123.86123,1,RTK,RTK,2.229,NAVD88,RTK,RTK at A1,oligohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-May 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.79,0.8999999999999999,Used depth 0 - 26 cm for CIC model,26,0.94
Poppe_et_al_2024,MLC-HM,MLC-HM-C2b-1545,2021,7,4,Mouth Lewis & Clark River marsh,46.15782,-123.86194,10,handheld,Cell phone,2.374,NAVD88,RTK,RTK at A4,oligohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-May 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.61,NA,Used depth 2 - 32 cm to exclude surface mixed layer for CIC model; Averaged total 210Pb across 32 - 50 cm to represent supported 210Pb,32,0.75
Poppe_et_al_2024,SES-TS,SES-TS-C1b-1546,2021,7,3,Seal Slough swamp,46.32663,-123.65991,10,handheld,Cell phone,NA,NA,NA,NA,fresh,measurement,"groundwater well, discrete, Mean 9 spot meas, Oct 2020-May 2022",forested,field observation,species noted at core-level,swamp,high,field observation,NA,0.47,NA,Used depth 2.085 - 27.102 cm to exclude surface mixed layer for CIC model; Averaged total 210Pb across 27.102 - 45.866 cm to represent supported 210Pb,27.102,0.89
Poppe_et_al_2024,WIN-TS,WIN-TS-C1ab-1547,2021,5,17,Winchester swamp,43.2695,-124.321,100,other moderate resolution,Google Maps for general site location,2.525,NAVD88,other high resolution,Leveling at A1,oligohaline,measurement,"groundwater well, continuous, Mean. Oct 2020-Mar 2022",forested,field observation,species noted at core-level,swamp,high,field observation,NA,0.14,NA,Used depth 6.056 - 22.205 cm to exclude surface mixed layer for CIC model; Averaged total 210Pb across 24.223 - 50.465 cm to represent supported 210Pb,22.205,0.98
Poppe_et_al_2024,FSM-HM,FSM-HM-C1-1548,2021,5,19,Fredrickson South marsh,43.27225,-124.31899,1,RTK,RTK,2.354,NAVD88,RTK,RTK at A2,mesohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Mar 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.16,0.36,Used depth 2 - 16 cm to exclude surface mixed layer for CIC model,16,0.84
Poppe_et_al_2024,FRE-RM,FRE-RM-C1-1549,2022,2,7,Fredrickson restored marsh,43.27479,-124.32014,1,RTK,RTK,2.247,NAVD88,RTK,RTK at A3,mesohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Mar 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,1.06,0.94,Used depth 0 - 22 cm for CIC model,22,0.97
Poppe_et_al_2024,FRE-RM,FRE-RM-C2-1550,2022,2,7,Fredrickson restored marsh,43.27469,-124.32,1,RTK,RTK,2.251,NAVD88,RTK,RTK at A2,mesohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Mar 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.37,0.5800000000000001,Used depth 2.02 - 18.17 cm to exclude surface mixed layer for CIC model,18.17,0.87
Poppe_et_al_2024,FSM-HM,FSM-HM-C3-1551,2022,2,7,Fredrickson South marsh,43.27253,-124.3193,1,RTK,RTK,2.545,NAVD88,RTK,RTK at A5,mesohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Mar 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.23,0.28,Used depth 0 - 22.44 cm for CIC model,22.44,0.88
Poppe_et_al_2024,FRE-RM,FRE-RM-C3-1552,2022,2,7,Fredrickson restored marsh,43.27483,-124.32056,1,RTK,RTK,2.294,NAVD88,RTK,RTK at A1,mesohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Mar 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,NA,NA,NA,NA,NA
Poppe_et_al_2024,KZH-RM,KZH-RM-C1-1553,2022,2,10,"Kunz restored marsh, high cell",43.28042,-124.31914,1,RTK,RTK,2.383,NAVD88,RTK,RTK at A1,polyhaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Mar 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.23,0.24,Used depth 0 - 22.44 cm for CIC model,22.44,0.96
Poppe_et_al_2024,KZL-RM,KZL-RM-C1-1554,2022,2,10,"Kunz restored marsh, low cell",43.28153,-124.31949,1,RTK,RTK,1.845,NAVD88,RTK,RTK at A2,polyhaline,measurement,"groundwater well, continuous, Mean, May 2021-Oct 2021",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,NA,NA,"Pb210 profile not usable, too mixed",NA,NA
Poppe_et_al_2024,MLC-HM,MLC-HM-C3-1555,2022,5,3,Mouth Lewis & Clark River marsh,46.15766,-123.86204,1,RTK,RTK,2.542,NAVD88,RTK,RTK at A2,oligohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-May 2022",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.54,0.67,Used depth 2 - 28 cm for CIC model,28,0.91
Poppe_et_al_2024,SCS-RM,SCS-RM-C1-1556,2022,5,3,South Clatsop Slough restored marsh,46.12924,-123.87932,1,RTK,RTK,2.284,NAVD88,RTK,RTK at A3,oligohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Aug 2021",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,0.66,0.98,Used depth 0 - 16.44 cm for post-restoration layer for CIC model,16.44,0.88
Poppe_et_al_2024,SCS-RM,SCS-RM-C2-1557,2022,5,3,South Clatsop Slough restored marsh,46.1292,-123.87918,1,RTK,RTK,2.104,NAVD88,RTK,RTK at A2,oligohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Aug 2021",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,2.68,16.299999999999997,Used depth 0 - 22 cm for CIC model,22,0.4
Poppe_et_al_2024,SCS-RM,SCS-RM-C3-1558,2022,5,3,South Clatsop Slough restored marsh,46.12921,-123.8789,1,RTK,RTK,2.206,NAVD88,RTK,RTK at A1,oligohaline,measurement,"groundwater well, continuous, Mean, Oct 2020-Aug 2021",emergent,field observation,species noted at core-level,marsh,high,field observation,NA,NA,NA,"No discernable exponential decay, may be too mixed",NA,0.21
