study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,marker_date,marker_date_se,marker_type,marker_notes,method_id,cs137_unit,pb210_unit
Kemp_et_al_2020,Barnegat_Bay,BB1B,0,2,NA,0.219294731,0.428510734,0.06,0.01,9.96,1.93,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,2,4,NA,0.216686285,0.454025,0.27,0.02,9.81,1.37,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,4,6,NA,0.176791831,0.5054989,0.35,0.03,8.3,1.52,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,6,8,NA,0.198160024,0.465535339,1.44,0.09,6.27,1.19,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,6,8,BB1_horizon1,NA,NA,NA,NA,NA,NA,1980,5,pollution,206Pb:207Pb - Gasoline peak,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,8,10,NA,0.197216282,0.467669398,4.01,0.2,4.17,1.04,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,8,10,BB1_horizon2,NA,NA,NA,NA,NA,NA,1974,5,pollution,Pb concentration - Peak in national Pb production,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,10,12,NA,0.174284594,0.486214912,7.6,0.34,3.42,0.99,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,10,12,BB1_horizon3,NA,NA,NA,NA,NA,NA,1965,5,pollution,206Pb:207Pb - Gasoline minimum,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,12,14,NA,0.176351239,0.456310922,2.65,0.14,3.92,0.67,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,14,16,NA,0.15357727,0.481043661,1.24,0.08,2.36,0.7,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,16,18,NA,0.141318238,0.482956817,0.59,0.04,3.02,0.51,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,16,18,BB1_horizon4,NA,NA,NA,NA,NA,NA,1935,6,pollution,Pb concentration - Minimum in national Pb production and consumption,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,18,20,NA,0.148538341,0.488541224,0.62,0.04,2.96,0.46,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,20,22,NA,0.180145013,0.42465,0.36,0.03,1.89,0.45,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,20,22,BB1_horizon5,NA,NA,NA,NA,NA,NA,1925,5,pollution,Pb concentration - Peak in national Pb production,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,22,24,NA,0.255013557,0.354925776,0.1,0.01,1.93,0.43,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,22,28,BB1_horizon6,NA,NA,NA,NA,NA,NA,1880,20,pollution,206Pb:207Pb - Decline of UMV Pb production,single set of methods,NA,NA
Kemp_et_al_2020,Barnegat_Bay,BB1B,24,26,NA,0.254425904,0.349872519,0.07,0.01,1.55,0.27,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
Kemp_et_al_2020,Barnegat_Bay,BB1B,26,28,NA,0.256571736,0.350082496,0,0,0.63,0.33,NA,NA,NA,NA,single set of methods,disintegrationsPerMinutePerGram,disintegrationsPerMinutePerGram
