study_id,coring_method,roots_flag,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_sample_volume,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_mass,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,carbon_profile_notes,cs137_counting_method,pb210_counting_method,excess_pb210_rate,excess_pb210_model,ra226_assumption,c14_counting_method,dating_notes,age_depth_model_reference,fraction_carbon_flag,pb210_background_assumption,dbd_1_cm_section_sample_volume,dbd_2_cm_section_sample_volume,loi_1_cm_section_sample_volume,loi_2_cm_section_sample_volume
Weis_et_al_2001,hargas corer,NA,NA,NA,NA,95,24,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,russian corer,NA,NA,NA,NA,104,24,NA,NA,550,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMS,NA,NA,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,vibracore,roots and rhizomes included,sediment sieved,NA,no obvious compaction,NA,NA,76.97,freeze dried,NA,NA,NA,NA,measured,TRUE,acid fumigation,EA,organic carbon,NA,gamma,gamma,NA,CRS,each sample,AMS,NA,CE,NA,NA,NA,NA,NA,NA
Thorne_et_al_2015,none specified,NA,NA,NA,not specified,550,8,NA,to constant mass,550,8,NA,NA,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thom_1992,PVC tube or thin-walled metal tube,NA,NA,NA,corer limits compaction,90,NA,NA,NA,500,1,NA,NA,NA,NA,NA,NA,NA,NA,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,pvc and hammer,roots and rhizomes separated,sediment sieved,1,compaction qualified,50,36,5,time approximate,450,8,NA,NA,NA,FALSE,NA,EA,organic carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanborn_and_Coxson_2020,soil pit,roots and rhizomes included,sediment not sieved,NA,NA,105,24,550,NA,NA,NA,NA,NA,measured,FALSE,NA,NA,total carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_Rybczyk_2018,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,NA,72,NA,to constant mass,500,24,NA,NA,NA,FALSE,NA,not specified,not specified,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_Rybczyk_2019,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,60,96,NA,to constant mass,500,8,NA,NA,NA,FALSE,NA,local regression,organic carbon,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_et_al_2019,pvc and hammer,roots and rhizomes included,sediment sieved,0.5,no obvious compaction,60,96,NA,to constant mass,500,8,NA,NA,NA,FALSE,NA,local regression,organic carbon,Modeled fraction carbon values available in https://doi.org/10.25573/data.10005248,gamma,gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peck_et_al_2020,pvc and hammer,roots and rhizomes separated,sediment sieved,NA,compaction quantified,60,24,NA,time approximate,550,4,1,NA,measured,TRUE,direct acid treatment,EA,organic carbon,NA,gamma,gamma,mass accumulation and accretion,CRS and CIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nolte_2020,pvc and hammer,roots and rhizomes included,sediment not sieved,NA,compaction quantified,105,52,NA,to constant mass,550,4,5,NA,NA,FALSE,NA,NA,NA,NA,gamma,gamma,NA,NA,each sample,NA,NA,core collection date,NA,NA,NA,NA,NA,NA
Noe_et_al_2016,NA,roots and rhizomes separated,NA,NA,NA,60,NA,NA,air dried to constant mass,NA,NA,NA,NA,measured,NA,NA,EA,organic carbon,NA,NA,alpha,NA,CRS,NA,NA,NA,core collection date,NA,NA,NA,NA,NA,NA
