"study_id","site_id","core_id","year","month","day","core_notes","latitude","longitude","salinity_class"
"NRCS","Meadowlands","S2015NJ003001",2015,4,30,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=72316&r=1&",40.767606,-74.091156,"estuarine"
"NRCS","Meadowlands","S2015NJ017001",2015,4,29,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=72314&r=1&",40.805948,-74.045976,"estuarine"
"NRCS","Meadowlands","S2015NJ017002",2015,5,1,"http://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=72315&r=1&",40.752817,-74.092919,"estuarine"
"NRCS","Reedy Creek","S2015NJ029025",2015,10,21,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=73197&r=1&",40.028775,-74.0809861,"estuarine"
"NRCS","IBSP","S2015NJ029024",2015,10,6,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=73196&r=1&",39.7988139,-74.1031667,"estuarine"
"NRCS","Horse Point","S2015NJ029026",2015,10,23,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=73198&r=1&",39.6276306,-74.2570583,"estuarine"
"NRCS","Dinner Point","S2015NJ029020",2015,9,23,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=73195&r=1&",39.6251194,-74.2634083,"estuarine"
"NRCS","Tinicum Creek","S2018PA045102",2019,3,13,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76307&r=1&",39.8822498,-75.278098,"fresh"
"NRCS","Tinicum Creek","S2018PA045100",2019,3,22,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76306&r=1&",39.8831723,-75.2787251,"fresh"
"NRCS","Tuckerton","S2019NJ029008",2019,4,18,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76305&r=1&",39.5180933,-74.3198346,"estuarine"
"NRCS","Tuckerton","S2019NJ029004",2019,5,1,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76304&r=1&",39.541336,-74.32878,"estuarine"
"NRCS","Tuckerton","S2019NJ029003",2019,4,17,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=75648&r=1&",39.5766415,-74.3431332,"estuarine"
"NRCS","Dividing Creek","S2019NJ011003",2019,4,18,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=75648&r=1&",39.2387682,-75.10396,"estuarine"
"NRCS","Maurice River","S2019NJ011001",2019,12,4,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76178&r=1&",39.244239,-75.015878,"estuarine"
"NRCS","Fortescue","S2019NJ011002",2020,2,19,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76053&r=1&",39.243906,-75.173411,"estuarine"
"NRCS","Ring Island","S2019NJ009001",2020,2,20,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76054&r=1&",39.051204,-74.775953,"estuarine"
"NRCS","Avalon","S2019NJ009002",2020,2,26,"https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=76055&r=1&",39.075246,-74.763555,"estuarine"
