study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,habitat,core_length_flag
Gunn_2016,Long,Sal,2015,Tidally restored in 2014,43.8422086111111,-69.9189622222222,handheld,polyhaline,NA,NA,emergent,NA,NA,marsh,NA
Gunn_2016,Long,Brackish,2015,Tidally restored in 2014,43.8334788888888,-69.9203091666666,handheld,polyhaline,NA,NA,emergent,NA,NA,marsh,NA
Gunn_2016,Long,Fresh,2015,Tidally restored in 2014,43.8303366666666,-69.9208830555555,handheld,oligohaline,NA,NA,emergent,NA,NA,marsh,NA
Gunn_2016,Long,TE,2015,Tidally restored in 2014,43.8380575,-69.9196983333333,handheld,polyhaline,NA,NA,emergent,NA,NA,marsh,NA
Gunn_2016,Long,TW,2015,Tidally restored in 2014,43.8351625,-69.9215594444444,handheld,polyhaline,NA,NA,emergent,NA,NA,marsh,NA
Johnson_et_al_2015,Sprague,Johnson_Sprague_17,2014,Presence of ditches in marsh,43.73416666666667,-69.82741666666666,handheld,polyhaline,field observation,deduced from vegetation,emergent,field observation,NA,marsh,NA
Johnson_et_al_2015,Sprague,Johnson_Sprague_18,2014,Presence of ditches in marsh,43.73572222222222,-69.82797222222221,handheld,polyhaline,field observation,deduced from vegetation,emergent,field observation,NA,marsh,NA
Johnson_et_al_2015,Sprague,Johnson_Sprague_19,2014,Presence of ditches in marsh,43.74245917,-69.83137278,handheld,polyhaline,field observation,deduced from vegetation,emergent,field observation,NA,marsh,NA
Karboski_2020,Small Point,Small Point_2020_11,2019,Presence of tidally restricting culvert,43.742922,-69.839278,handheld,NA,NA,NA,emergent,NA,NA,marsh,NA
Karboski_2020,Small Point,Small Point_2020_12,2019,Presence of tidally restricting culvert,43.742056,-69.839778,handheld,NA,NA,NA,emergent,NA,NA,marsh,NA
Karboski_2020,Small Point,Small Point_2020_13,2019,Presence of tidally restricting culvert,43.741031,-69.840306,handheld,NA,NA,NA,emergent,NA,NA,marsh,NA
Karboski_2020,Sprague,Sprague_2020_1,2019,Cores collected from area where tidal flow was restored 17 years prior,43.74513889,-69.83180556,handheld,NA,NA,NA,emergent,NA,glacial valley marsh,marsh,NA
Karboski_2020,Sprague,Sprague_2020_2,2019,Cores collected from area where tidal flow was restored 17 years prior,43.74425,-69.83111111,handheld,NA,NA,NA,emergent,NA,glacial valley marsh,marsh,NA
Karboski_2020,Sprague,Sprague_2020_5,2019,Cores collected from area where tidal flow was restored 17 years prior,43.747,-69.8315,handheld,NA,NA,NA,emergent,NA,glacial valley marsh,marsh,NA
