study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,habitat1,habitat,habitat_assignment_method,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth,country,admin_division
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,NA,NA,NA,NA,32.567032,-117.130867,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,NA,marsh,habitat determined from vegetation_class,C2,B2,NA,44,United States,California
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,NA,NA,NA,NA,32.566902,-117.130284,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,mid,NA,NA,core depth limited by length of corer,NA,marsh,habitat determined from vegetation_class,C2,B2,NA,44,United States,California
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,NA,NA,NA,NA,32.566728,-117.129669,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,mid,NA,NA,core depth limited by length of corer,NA,marsh,habitat determined from vegetation_class,C2,B2,NA,44,United States,California
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_low,NA,NA,NA,NA,32.571838,-117.129704,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,low,NA,NA,core depth limited by length of corer,NA,marsh,habitat determined from vegetation_class,C2,B2,NA,44,United States,California
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_1,NA,NA,NA,NA,32.572039,-117.130432,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,mid,NA,NA,core depth limited by length of corer,NA,marsh,habitat determined from vegetation_class,C2,B2,NA,44,United States,California
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_West_mid_2,NA,NA,NA,NA,32.572335,-117.131078,NA,NA,latitude and longitude were extracted from a relatively high quality map figure,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,mid,NA,NA,core depth limited by length of corer,NA,marsh,habitat determined from vegetation_class,C2,B2,NA,44,United States,California
Watson_and_Byrne_2013,Bair_Island,Bair_Island_1,NA,NA,NA,NA,37.5225,-122.215167,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,300,United States,California
Watson_and_Byrne_2013,Bair_Island,Bair_Island_2,NA,NA,NA,NA,37.521417,-122.209417,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,200,United States,California
Watson_and_Byrne_2013,Bair_Island,Bair_Island_3,NA,NA,NA,NA,37.517194,-122.215722,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,248,United States,California
Watson_and_Byrne_2013,Bair_Island,Bair_Island_4,NA,NA,NA,NA,37.511944,-122.219167,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,252,United States,California
Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_1,NA,NA,NA,NA,37.51975,-122.232694,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,200,United States,California
Watson_and_Byrne_2013,Corkscrew_Slough,Corkscrew_Slough_2,NA,NA,NA,NA,37.519917,-122.225083,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,NA,NA,192,United States,California
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_1,NA,NA,NA,NA,37.467778,-121.945694,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,200,United States,California
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_2,NA,NA,NA,NA,37.454556,-121.946889,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,NA,NA,216,United States,California
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_3,NA,NA,NA,NA,37.460389,-121.953528,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,NA,NA,248,United States,California
Watson_and_Byrne_2013,Coyote_Creek,Coyote_Creek_4,NA,NA,NA,NA,37.459528,-121.953694,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,262,United States,California
Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_1,NA,NA,NA,NA,37.753667,-122.212278,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,NA,NA,200,United States,California
Watson_and_Byrne_2013,Damon_Slough,Damon_Slough_2,NA,NA,NA,NA,37.753639,-122.213306,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,240,United States,California
Watson_and_Byrne_2013,Greco_Island,Greco_Island_1,NA,NA,NA,NA,37.501861,-122.171778,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,B1,NA,248,United States,California
Watson_and_Byrne_2013,Greco_Island,Greco_Island_2,NA,NA,NA,NA,37.50075,-122.171833,NA,NA,latitude and longitude from handheld GPS or better,NA,NA,NA,NA,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,core depth represents deposit depth,NA,marsh,habitat determined from vegetation_class,C1,NA,NA,200,United States,California
