study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,vegetation_class,inundation_class,month,day
Peck_et_al_2020,Netarts,NTOR1009_01PU,2010,Abbreviated core ID: NT-1,45.3738,-123.9648,handheld,2.77,NAVD88,RTK,emergent,high,9,21
Peck_et_al_2020,Netarts,NTOR1009_02PU,2010,Abbreviated core ID: NT-2,45.3737,-123.9634,handheld,2.74,NAVD88,RTK,emergent,high,9,21
Peck_et_al_2020,Netarts,NTOR1009_03PU,2010,Abbreviated core ID: NT-3,45.3724,-123.9644,handheld,2.77,NAVD88,RTK,emergent,high,9,21
Peck_et_al_2020,Netarts,NTOR1009_04PU,2010,Abbreviated core ID: NT-4,45.3727,-123.9658,handheld,2.83,NAVD88,RTK,emergent,high,9,21
Peck_et_al_2020,Alsea,ABOR1309_01PU,2013,Abbreviated core ID: AL-01,44.4303,-124.0293,handheld,2.29,NAVD88,RTK,emergent,high,9,25
Peck_et_al_2020,Alsea,ABOR1309_02PU,2013,Abbreviated core ID: AL-02,44.4311,-124.0286,handheld,2.47,NAVD88,RTK,emergent,high,9,25
Peck_et_al_2020,Alsea,ABOR1309_03PU,2013,Abbreviated core ID: AL-03,44.431,-124.0278,handheld,2.48,NAVD88,RTK,emergent,high,9,25
Peck_et_al_2020,Alsea,ABOR1309_04PU,2013,Abbreviated core ID: AL-04,44.4321,-124.0278,handheld,2.56,NAVD88,RTK,emergent,high,9,25
Peck_et_al_2020,Youngs Bay,YBOR1502_01PU,2015,Abbreviated core ID: YB01,46.10026,-123.78333,RTK,2.58,NAVD88,RTK,emergent,high,2,21
Peck_et_al_2020,Youngs Bay,YBOR1502_02PU,2015,Abbreviated core ID: YB02,46.10576,-123.78404,RTK,2.69,NAVD88,RTK,scrub shrub,NA,2,21
Peck_et_al_2020,Youngs Bay,YBOR1502_03PU,2015,Abbreviated core ID: YB03,46.16869,-123.82468,RTK,1.81,NAVD88,RTK,emergent,low,2,21
Peck_et_al_2020,Youngs Bay,YBOR1502_04PU,2015,Abbreviated core ID: YB04,46.1676,-123.82514,RTK,2.89,NAVD88,RTK,emergent,high,2,21
Peck_et_al_2020,Youngs Bay,YBOR1502_05PU,2015,Abbreviated core ID: YB05,46.1676,-123.8262,RTK,2.78,NAVD88,RTK,scrub shrub,NA,2,21
Peck_et_al_2020,Youngs Bay,WY01S,2015,Abbreviated core ID: WY01S,46.15382,-123.81057,RTK,1.68,NAVD88,RTK,emergent,back,2,22
Peck_et_al_2020,Youngs Bay,WY03S,2015,Abbreviated core ID: WY03S,46.15115,-123.8074,RTK,1.99,NAVD88,RTK,emergent,back,2,22
Peck_et_al_2020,Youngs Bay,WY04S,2015,Abbreviated core ID: WY04S,46.1498,-123.80641,RTK,1.68,NAVD88,RTK,emergent,back,2,22
Peck_et_al_2020,Tillamook,MID.A009,2015,Abbreviated core ID: MID.A009,45.47314,-123.87423,RTK,1.83,NAVD88,RTK,emergent,back,4,24
Peck_et_al_2020,Tillamook,NOR.A004,2015,Abbreviated core ID: NOR.A004,45.47806,-123.87669,RTK,2.17,NAVD88,RTK,emergent,back,4,24
Peck_et_al_2020,Tillamook,NS-CR.A073,2015,Abbreviated core ID: NS-CR.A073,45.46899,-123.87067,RTK,2.34,NAVD88,RTK,emergent,back,4,24
Peck_et_al_2020,Tillamook,SO.CR.A028,2015,Abbreviated core ID: SO.CR.A028,45.47151,-123.87789,RTK,1.9,NAVD88,RTK,emergent,back,4,24
Peck_et_al_2020,Tillamook,TBOR1504_05PU,2015,Abbreviated core ID: TB05,45.50962,-123.88386,RTK,2.62,NAVD88,RTK,emergent,high,4,24
Peck_et_al_2020,Tillamook,TBOR1504_06PU,2015,Abbreviated core ID: TB06,45.51025,-123.88378,RTK,2.74,NAVD88,RTK,scrub shrub,NA,4,24
Peck_et_al_2020,Tillamook,TBOR1504_01PU,2015,Abbreviated core ID: TB01,45.48274,-123.89545,RTK,2.15,NAVD88,RTK,emergent,low,4,25
Peck_et_al_2020,Tillamook,TBOR1504_02PU,2015,Abbreviated core ID: TB02,45.48137,-123.89361,RTK,2.29,NAVD88,RTK,emergent,high,4,25
Peck_et_al_2020,Tillamook,TBOR1504_03PU,2015,Abbreviated core ID: TB03,45.46867,-123.8805,RTK,2.61,NAVD88,RTK,emergent,high,4,25
Peck_et_al_2020,Tillamook,TBOR1504_04PU,2015,Abbreviated core ID: TB04,45.469,-123.88519,RTK,1.96,NAVD88,RTK,emergent,low,4,25
