Depth (cm),% C,,,,% OM,,,
"",Site 2,Site 3,Site 1.1,Site 1.2,Site 2,Site 3,Site 1.1,Site 1.2
5,1.37,0.85,1.21,0.53,2.96,1.30,3.36,2.10
10,0.74,0.92,0.61,0.72,1.52,1.78,1.84,2.26
15,0.95,0.86,0.51,0.56,1.26,1.40,2.33,2.13
20,0.51,0.81,0.58,0.34,1.43,0.85,1.26,2.01
25,0.51,0.70,0.36,0.48,0.90,1.20,1.25,1.74
30,0.42,0.74,0.47,0.21,1.16,0.52,1.04,1.82
35,0.53,0.67,0.26,0.23,0.64,0.56,1.30,1.65
40,0.71,0.82,0.30,0.32,0.74,0.80,1.76,2.03
45,0.62,0.56,0.42,0.35,1.05,0.88,1.54,1.39
50,0.43,0.51,0.27,0.33,0.67,0.82,1.07,1.27
