Depth (cm),% C,,,,% OM,,,
"",Site 2,Site 3,Site 1.1,Site 1.2,Site 2,Site 3,Site 1.1,Site 1.2
5,0.55,0.34,0.49,0.21,1.62,0.71,1.42,0.71
10,0.30,0.37,0.25,0.29,0.79,1.28,1.34,0.78
15,0.38,0.35,0.20,0.23,0.69,0.82,1.07,3.41
20,0.20,0.33,0.23,0.14,0.95,0.59,0.65,0.75
25,0.20,0.28,0.14,0.19,0.68,0.57,0.53,1.73
30,0.17,0.30,0.19,0.08,0.48,0.28,0.70,0.69
35,0.21,0.27,0.10,0.09,0.38,0.37,1.16,0.82
40,0.29,0.33,0.12,0.13,0.47,0.54,1.29,0.84
45,0.25,0.23,0.17,0.14,0.46,0.50,0.71,0.77
50,0.17,0.21,0.11,0.13,0.38,0.34,0.88,0.65
