study_id,site_id,core_id,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,salinity_class,vegetation_class,inundation_class,core_length_flag,year,month,day
Callaway_et_al_2019,Brown_Island,Browns_Island_A_High,38.036383,-121.858572,RTK,1.74354,NAVD88,RTK,brackish,emergent,high,core depth limited by length of corer,2010,6,4
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Low,38.038669,-121.859364,RTK,1.35137,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer,2010,6,4
Callaway_et_al_2019,Brown_Island,Browns_Island_A_Mid,38.037589,-121.859037,RTK,1.45867,NAVD88,RTK,brackish,emergent,mid,core depth limited by length of corer,2010,5,12
Callaway_et_al_2019,Brown_Island,Browns_Island_B_High,38.036008,-121.867879,RTK,1.81605,NAVD88,RTK,brackish,emergent,high,core depth limited by length of corer,2010,6,4
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Low,38.038047,-121.868452,RTK,1.69537,NAVD88,RTK,brackish,emergent,low,core depth limited by length of corer,2010,6,4
Callaway_et_al_2019,Brown_Island,Browns_Island_B_Mid,38.037087,-121.868109,RTK,1.80964,NAVD88,RTK,brackish,emergent,mid,core depth limited by length of corer,2010,5,24
Callaway_et_al_2019,China_Camp,China_Camp_A_High,38.008607,-122.48717,RTK,1.82156,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2010,5,5
Callaway_et_al_2019,China_Camp,China_Camp_A_Low,38.010989,-122.485167,RTK,1.64961,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2010,2,3
Callaway_et_al_2019,China_Camp,China_Camp_A_Mid,38.009774,-122.485707,RTK,1.87336,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2010,2,3
Callaway_et_al_2019,China_Camp,China_Camp_B_High,38.012053,-122.500265,RTK,1.8652,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2010,3,8
Callaway_et_al_2019,China_Camp,China_Camp_B_Low,38.015378,-122.498522,RTK,1.80399,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2010,3,8
Callaway_et_al_2019,China_Camp,China_Camp_B_Mid,38.013872,-122.499442,RTK,1.82896,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2010,3,8
Callaway_et_al_2019,Cogswell,Cogswell_A_high,37.640982,-122.148279,RTK,1.97932,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2012,2,8
Callaway_et_al_2019,Cogswell,Cogswell_A_low,37.638647,-122.149693,RTK,2.03322,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2012,2,8
Callaway_et_al_2019,Cogswell,Cogswell_A_mid,37.639781,-122.148788,RTK,1.96031,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2012,2,8
Callaway_et_al_2019,Cogswell,Cogswell_B_high,37.635616,-122.150167,RTK,1.9172,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2012,2,8
Callaway_et_al_2019,Cogswell,Cogswell_B_low,37.632828,-122.151611,RTK,2.04634,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2012,2,8
Callaway_et_al_2019,Cogswell,Cogswell_B_mid,37.63431,-122.15068,RTK,1.96369,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2012,2,8
Callaway_et_al_2019,Coon_Island,Coon_Island_A_High,38.193959,-122.323214,RTK,1.97683,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2009,1,15
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Low,38.196112,-122.321028,RTK,1.91731,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,8,3
Callaway_et_al_2019,Coon_Island,Coon_Island_A_Mid,38.194802,-122.322285,RTK,1.9415,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,1,15
Callaway_et_al_2019,Coon_Island,Coon_Island_B_High,38.192405,-122.323331,RTK,1.94319,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2009,1,15
Callaway_et_al_2019,Coon_Island,Coon_Island_B_Mid,38.18979,-122.322913,RTK,2.07285,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,1,15
Callaway_et_al_2019,Coon_Island,Coon_Island_C_High,38.19595,-122.32569,RTK,1.97421,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2009,3,23
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Low,38.1986,-122.323662,RTK,1.95146,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,3,23
Callaway_et_al_2019,Coon_Island,Coon_Island_C_Mid,38.197805,-122.325346,RTK,1.97935,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,3,23
Callaway_et_al_2019,Coon_Island,Coon_Island_D_High,38.189456,-122.320668,RTK,2.03731,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,7,27
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Low,38.186543,-122.319232,RTK,1.91729,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,7,27
Callaway_et_al_2019,Coon_Island,Coon_Island_D_Mid,38.187623,-122.319822,RTK,1.91114,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,7,27
Callaway_et_al_2019,Muzzi,Muzzi_A_high,37.928145,-122.508436,RTK,1.85719,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2010,12,10
Callaway_et_al_2019,Muzzi,Muzzi_A_low,37.929569,-122.503666,RTK,1.66401,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2011,1,25
Callaway_et_al_2019,Muzzi,Muzzi_A_mid,37.928829,-122.505893,RTK,1.67901,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2011,1,25
Callaway_et_al_2019,Muzzi,Muzzi_B_high,37.926451,-122.509081,RTK,1.84023,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2011,1,25
Callaway_et_al_2019,Muzzi,Muzzi_B_low,37.927304,-122.503612,RTK,1.5723,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2011,1,25
Callaway_et_al_2019,Muzzi,Muzzi_B_mid,37.926955,-122.50623,RTK,1.73542,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2011,1,25
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_High,38.17819,-122.553551,RTK,1.86839,NAVD88,RTK,saline,emergent,high,core depth limited by length of corer,2009,12,9
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Low,38.179712,-122.543043,RTK,1.95513,NAVD88,RTK,saline,emergent,low,core depth limited by length of corer,2009,3,26
Callaway_et_al_2019,Petaluma_River,Petaluma_River_Marsh_A_Mid,38.178553,-122.549684,RTK,1.815,NAVD88,RTK,saline,emergent,mid,core depth limited by length of corer,2009,12,9
