study_id,site_id,core_id,year,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,habitat,core_length_flag
Langston_et_al_2022,Goodwin Island,NT1_1,2016,37.2155950976,-76.407614952,RTK,0.414,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT1_2,2016,37.215658126,-76.4075349518,RTK,0.411,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT1_3,2016,37.215784252,-76.4074785206,RTK,0.409,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT1_4,2016,37.2159983089,-76.4074224342,RTK,0.479,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT1_5,2016,37.2162983339,-76.4073400372,RTK,0.57,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT1_J,2016,37.2155239518,-76.4075037656,RTK,0.342,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT3_1,2016,37.2166790041666,-76.4091955214777,RTK,0.15699999999999648,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT3_2,2016,37.2169032588666,-76.4090566315777,RTK,0.24699999999999278,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT3_3,2016,37.2169830450666,-76.4088330621777,RTK,0.3789999999999907,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT3_4,2016,37.2170780892666,-76.4086748262777,RTK,0.492999999999995,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT3_5,2016,37.2171914742666,-76.40849127107771,RTK,0.573999999999991,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT3_J,2016,37.216579564666596,-76.4092361103777,RTK,0.14399999999999125,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_1,2016,37.2198080578,-76.4044006925,RTK,0.286,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_2,2016,37.2193938556,-76.4050580436,RTK,0.448,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_3,2016,37.2194587264,-76.4052572414,RTK,0.491,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_4,2016,37.2193803639,-76.4054143773,RTK,0.449,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_5,2016,37.218885103,-76.4056695626,RTK,0.535,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_6,2016,37.2193108198,-76.405752335,RTK,0.521,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,NT4_7,2016,37.21972206,-76.4043469623,RTK,0.245,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,OT3_1,2016,37.2190952810666,-76.4133790688777,RTK,0.17799999999999017,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,OT3_2,2016,37.2191675150666,-76.4133276925777,RTK,0.242999999999995,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,OT3_3,2016,37.219473259066596,-76.4130686278777,RTK,0.3709999999999951,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,OT3_4,2016,37.2195768147666,-76.4129955481777,RTK,0.48799999999999244,NAVD88,RTK,marsh,not specified
Langston_et_al_2022,Goodwin Island,OT3_5,2016,37.2196865297666,-76.4129367003777,RTK,0.6389999999999958,NAVD88,RTK,marsh,not specified
