See metadata for column descriptions and units.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Below, we've included several statements concerning the ethical use of this dataset. We've adopted the following statement regarding data archiving and sharing from Wright et al. 2004: ""The authors believe that the archiving and sharing of large datasets is important for advancing ecology as a discipline. At the same time, for data sharing to be successful and sustainable, it is imperative that all those involved in data acquisition, archiving and use do so in an ethical manner. In particular, we believe that those individuals whose time, efforts and intellect designed and created the studies are acknowledged appropriately."" Text in quotation from: Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. Cornelissen, and M. Diemer. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",,,,,,,,,,,,,,,,,,,,,,,
"As a condition for use of this data set, users agree:",,,,,,,,,,,,,,,,,,,,,,,
(1) To notify the lead investigator (Michael Johannes Osland) if the dataset is to be used in any publication;,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(2) To provide formal recognition that, at our discretion, may include co-authorship or acknowledgements on publications;",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(3) To recognise that we may be using these data for scientific analyses, papers or publications that are currently planned or in preparation, and that such activities have precedence over any that that you might wish to prepare.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
State,Habitat,Typeid,Site,Depth,Depthbegin,Sample_all,BD,Moisture,SOM,SIC,TC,TN,Sand, Clay,Silt,SOMvol,SICMvol,TCvol,TNvol,SOMarea,SICMarea,TCarea,TNarea
FL,MF,1,FLMF1,0-5,0,FLMF1-0,0.22,69.85,33.08,3.75,14.306,1.14,81.59,11.21,7.21,7.325,0.831,0.03168,0.00252,366.245,41.532,1.584,0.126
FL,MF,1,FLMF1,15-May,5,FLMF1-5,0.25,67.69,30.33,4.05,12.457,0.906,82.4,10.4,7,7.605,1.015,0.03123,0.00227,760.538,101.485,3.123,0.227
FL,MF,1,FLMF1,15-30,15,FLMF1-15,0.27,64.59,28.82,3.42,10.904,0.76,82.59,10.41,7.2,7.786,0.923,0.02946,0.00205,1167.915,138.461,4.419,0.308
FL,MF,2,FLMF2,0-5,0,FLMF2-0,0.17,71.52,38.01,4.68,17.425,1.327,81.6,12.4,6,6.309,0.776,0.02892,0.0022,315.447,38.818,1.446,0.11
FL,MF,2,FLMF2,15-May,5,FLMF2-5,0.2,72.76,37.32,4.23,16.489,1.116,83.59,11.61,4.8,7.588,0.86,0.03353,0.00227,758.797,85.976,3.353,0.227
FL,MF,2,FLMF2,15-30,15,FLMF2-15,0.24,69.05,32.8,4.48,12.937,0.894,82.8,12.4,4.8,7.932,1.084,0.03129,0.00216,1189.73,162.658,4.693,0.324
FL,MF,3,FLMF3,0-5,0,FLMF3-0,0.18,72.13,33.64,4.02,14.557,1.109,81.79,10.81,7.4,6.04,0.722,0.02614,0.00199,302.01,36.121,1.307,0.1
FL,MF,3,FLMF3,15-May,5,FLMF3-5,0.22,71.78,31.79,3.93,14.009,0.973,82.6,10.6,6.4,7.045,0.871,0.03104,0.00216,704.451,87.068,3.104,0.216
FL,MF,3,FLMF3,15-30,15,FLMF3-15,0.22,70.17,31.41,3.4,13.283,0.894,82.2,11.4,6.8,7,0.757,0.0296,0.00199,1049.955,113.529,4.44,0.299
FL,MF,4,FLMF4,0-5,0,FLMF4-0,0.18,67.09,28.61,3.41,12.321,0.989,80.6,10.4,9,5.098,0.607,0.02195,0.00176,254.877,30.356,1.098,0.088
