Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor,Location on site
Cott et al. (2013) doi:10.1007/s12237-012-9579-7,Ahakista,1,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,32.91201983,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-8,Ahakista,2,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,43.22629969,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-9,Ahakista,3,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,29.78303748,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-10,Ahakista,4,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,44.10290237,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-11,Ahakista,5,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,47.78078484,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-12,Ahakista,6,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,50.16296296,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-13,Ahakista,7,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,54.79674797,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-14,Ahakista,8,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,41.85483871,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-15,Ahakista,9,Saltmarsh,51.59,-9.61,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,40.20594966,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-16,Banna,1,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,1.682522211,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-17,Banna,2,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,1.813356922,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-18,Banna,3,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,2.387428226,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-19,Banna,4,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,1.88986346,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-20,Banna,5,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,1.84675835,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-21,Banna,6,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,1.651205937,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-22,Banna,7,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.767880649,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-23,Banna,8,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.918762089,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-24,Banna,9,Saltmarsh,52.35,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,0.822757112,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-25,Barrow,1,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,5.111935831,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-26,Barrow,2,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,4.263604593,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-27,Barrow,3,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,3.271574028,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-28,Barrow,4,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,19.10803537,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-29,Barrow,5,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,10.02,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-30,Barrow,6,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,9.511,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-31,Barrow,7,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,23.83911053,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-32,Barrow,8,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,18.00073099,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-33,Barrow,9,Saltmarsh,52.29,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,12.23220456,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-34,Lauragh,1,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,12.66294227,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-35,Lauragh,2,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,9.560315671,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-36,Lauragh,3,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,15.85351016,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-37,Lauragh,4,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,12.91322314,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-38,Lauragh,5,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,22.25554889,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-39,Lauragh,6,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,16.64596273,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-40,Lauragh,7,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,19.16766272,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-41,Lauragh,8,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,25.126,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-42,Lauragh,9,Saltmarsh,51.76,-9.77,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,24.42234572,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-43,Carrahane,1,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,5.510455105,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-44,Carrahane,2,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,4.929051531,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-45,Carrahane,3,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,4.147361284,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-46,Carrahane,4,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,7.923154194,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-47,Carrahane,5,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,6.198083067,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-48,Carrahane,6,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,8.645735708,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-49,Carrahane,7,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,17.0012815,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-50,Carrahane,8,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,10.54446908,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-51,Carrahane,9,Saltmarsh,52.32,-9.83,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,8.83266245,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-52,Dunworley,1,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,3.069139966,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-53,Dunworley,2,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,4.031100478,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-54,Dunworley,3,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,2.684563758,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-55,Dunworley,4,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,3.941658631,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-56,Dunworley,5,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,4.691706192,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-57,Dunworley,6,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,3.224769659,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-58,Dunworley,7,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,4.315875423,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-59,Dunworley,8,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,8.741641337,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-60,Dunworley,9,Saltmarsh,51.59,-8.76,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,6.241,,Upper shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-61,Schull,1,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,21.74447174,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-62,Schull,2,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,26.5053397,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-63,Schull,3,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,20.1016703,,Lower shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-64,Schull,4,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,45.39542689,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-65,Schull,5,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,33.10787961,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-66,Schull,6,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,36.17321249,,Mid shore
Cott et al. (2013) doi:10.1007/s12237-012-9579-67,Schull,7,Saltmarsh,51.51,-9.58,direct from dataset,Ireland,2009,0,0.015,LOI,,NA,34.27468865,,Upper shore
