study_id,site_id,core_id,year,month,day,latitude,longitude,position_notes,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM1,2015,8,7,27.580883333333333,-82.56366666666666,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM2,2015,8,7,27.580683333333333,-82.56363333333333,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM3,2015,8,7,27.580816666666667,-82.56346666666667,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM4,2015,8,7,27.581,-82.56375,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM5,2015,8,7,27.581166666666668,-82.56388333333334,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Haley_House_Mangroves,HHM6,2015,8,7,27.5813,-82.56395,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM1,2015,7,10,27.84633333333333,-82.60153333333334,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM2,2015,7,10,27.84618333333333,-82.6015,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM3,2015,7,10,27.846016666666667,-82.60148333333333,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM4,2015,7,10,27.8458,-82.60151666666667,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM5,2015,7,10,27.84563333333333,-82.60145,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Weedon_Island_Marsh,WIM6,2015,7,10,27.84545,-82.60143333333333,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM1,2015,10,2,27.62708333333333,-82.71515,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM2,2015,10,2,27.62718333333333,-82.71525,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM3,2015,10,2,27.627066666666668,-82.7157,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM4,2015,10,2,27.627416666666665,-82.7154,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
Radabaugh_et_al_2018,Fort_De_Soto_Marsh,FDSM5,2015,10,2,27.62753333333333,-82.71525,latitude and longitude from handheld GPS or better,brackish,field observation,forested,field observation,mangrove,core depth limited by length of corer
