site_n,depth_med,dry_bulk_density,total_pb210_activity,total_pb210_activity_se
1,0.5,0.26,11.69,0.027
1,1.5,0.29,11.23,0.027
1,2.5,0.29,10.44,0.027
1,3.5,0.31,8.74,0.028
1,4.5,0.3,9.23,0.027
1,5.5,0.32,7.77,0.028
1,6.5,0.32,6.8,0.028
1,7.5,0.31,5.81,0.028
1,8.5,0.29,5.27,0.029
1,9.5,0.27,4.18,0.033
1,10.5,0.27,4.32,0.031
1,11.5,0.26,4.46,0.031
1,12.5,0.27,5.24,0.029
1,13.5,0.27,6.47,0.028
1,14.5,0.27,4.91,0.029
1,15.5,0.28,4.24,0.031
1,16.5,0.26,5.32,0.029
1,17.5,0.24,5.2,0.029
1,18.5,0.23,4.11,0.031
1,19.5,0.23,4.16,0.031
3,0.5,0.43,5.09,0.029
3,1.5,0.41,5.19,0.029
3,2.5,0.4,4.71,0.03
3,3.5,0.45,4.53,0.03
3,4.5,0.38,3.63,0.033
3,5.5,0.38,3.54,0.033
3,6.5,0.39,3.42,0.034
3,7.5,0.4,3.71,0.033
3,8.5,0.39,3.65,0.031
3,9.5,0.37,3.17,0.035
3,10.5,0.41,6.52,0.027
3,11.5,0.44,5.32,0.028
3,12.5,0.3,5.59,0.028
3,13.5,0.32,5.23,0.028
3,14.5,0.4,8.25,0.027
3,15.5,0.26,4.29,0.028
3,16.5,0.47,3.78,0.029
3,17.5,0.33,2.93,0.031
3,18.5,0.37,2.72,0.031
3,19.5,0.38,2.43,0.034
4,0.5,0.37,6.07,0.031
4,1.5,0.42,7.15,0.031
4,2.5,0.47,4.97,0.032
4,3.5,0.42,4.22,0.034
4,4.5,0.4,3.46,0.038
4,5.5,0.38,3.28,0.039
4,6.5,0.37,2.86,0.044
4,7.5,0.36,2.69,0.046
4,8.5,0.34,2.19,0.06
4,9.5,0.36,2.64,0.045
4,10.5,0.39,3.23,0.04
4,11.5,0.38,2.75,0.046
4,12.5,0.35,3.11,0.042
4,13.5,0.33,3.74,0.036
4,14.5,0.32,3.04,0.042
4,15.5,0.3,3.3,0.04
4,16.5,0.31,2.69,0.047
4,17.5,0.36,2.4,0.052
4,18.5,0.37,2.42,0.047
4,19.5,0.35,1.59,0.092
5,0.5,0.62,5.05,0.034
5,1.5,0.86,5.9,0.034
5,2.5,0.94,5.98,0.034
5,3.5,0.97,5.09,0.034
5,4.5,0.94,5.47,0.034
5,5.5,0.78,4.47,0.035
5,6.5,0.94,3.57,0.039
5,7.5,0.78,1.94,0.078
5,8.5,0.94,1.89,0.071
5,9.5,0.78,2.55,0.053
6,0.5,0.24,16.67,0.174
6,1.5,0.24,17.31,0.174
6,2.5,0.24,18.37,0.174
6,3.5,0.22,17.14,0.174
6,4.5,0.22,14.76,0.174
6,5.5,0.2,16.23,0.174
6,6.5,0.2,14.81,0.174
6,7.5,0.2,12.65,0.174
6,8.5,0.2,11.59,0.174
6,9.5,0.2,11.58,0.174
6,10.5,0.19,9.98,0.174
6,11.5,0.19,9.19,0.174
6,12.5,0.18,7.58,0.174
6,13.5,0.18,7.93,0.174
6,14.5,0.18,7.2,0.174
6,15.5,0.19,7.02,0.174
6,16.5,0.19,5.95,0.174
6,17.5,0.19,6.04,0.174
6,18.5,0.18,5.24,0.175
6,19.5,0.17,5.19,0.174
6,20.5,0.16,4.18,0.176
6,21.5,0.16,4.6,0.174
6,22.5,0.16,3.85,0.175
6,23.5,0.16,2.74,0.177
