bibliography_id,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,type,issue,issn,eprint,article-number
Abino_et_al_2014_article,Article,"Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines","Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin",NA,NA,NA,2014,NA,NA,46,6,NA,Pak. J. Bot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2021_article,Article,"Mangroves in arid regions: Ecology, threats, and opportunities",M.F. Adame and R. Reef and N.S. Santini and E. Najera and M.P. Turschwell and M.A. Hayes and P. Masque and C.E. Lovelock,NA,10.1016/j.ecss.2020.106796,http://dx.doi.org/10.1016/j.ecss.2020.106796,2021,jan,Elsevier BV,248,NA,106796,"Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,0272-7714,NA,NA
Adams_and_Human_2016,Article,Investigation into the mortality of mangroves at St. Lucia Estuary,"J.B. Adams, L.R.D. Human",NA,http://dx.doi.org/10.1016/j.sajb.2016.03.018,http://dx.doi.org/10.1016/j.sajb.2016.03.018,2016,NA,NA,NA,NA,NA,South African Journal of Botany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adotey_et_al_2022,Misc,"Carbon Stock Assessment in the Kakum and Amanzule Estuary Mangrove Forests, Ghana","Joshua Adotey,Emmanuel Acheampong, Denis Worlanyo Aheto, and John Blay",NA,https://doi.org/10.3390/su141912782,https://www.mdpi.com/2071-1050/14/19/12782,2022,NA,NA,NA,NA,NA,Sustainability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adotey_et_al_2024_data,Misc,"Dataset: Carbon Stock Assessment in the Kakum and Amanzule Estuary Mangrove Forests, Ghana","Joshua Adotey, Denis Worlanyo Aheto, John Blay, Emmanuel Acheampong",NA,10.25573/serc.25148561,https://doi.org/10.25573/serc.25148561.v1,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agawin_et_al_1996_article,Article,"Nutrient limitation of Philippine seagrasses (Cape Bolinao, {NW} Philippines):in situ experimental evidence",NSR Agawin and CM Duarte and MD Fortes,NA,10.3354/meps138233,https://doi.org/10.3354/meps138233,1996,NA,Inter-Research Science Center,138,NA,233--243,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akther_et_al_2021_article,Article,Fractionation of Organic Carbon and Stock Measurement in the Sundarbans Mangrove Soils of Bangladesh,"Sayada Momotaz Akther, Md Mahfuz Islam, Md Faruque Hossain, Zakia Parveen",NA,https://doi.org/10.4236/ajcc.2021.104028,https://www.scirp.org/journal/paperinformation.aspx?paperid=114407,2021,NA,NA,NA,NA,NA,American Journal of Climate Change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004_article,Article,Sediment accumulation and organic material flux in a managed mangrove ecosystem: estimates of land{\textendash}ocean{\textendash}atmosphere exchange in peninsular Malaysia,D.M Alongi and A Sasekumar and V.C Chong and J Pfitzner and L.A Trott and F Tirendi and P Dixon and G.J Brunskill,NA,10.1016/j.margeo.2004.04.016,https://doi.org/10.1016/j.margeo.2004.04.016,2004,aug,Elsevier {BV},208,NA,383--402,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008_article_may,Article,"Benthic microbial metabolism in seagrass meadows along a carbonate gradient in Sulawesi, Indonesia",DM Alongi and LA Trott and MC Undu and F Tirendi,NA,10.3354/ame01191,https://doi.org/10.3354/ame01191,2008,may,Inter-Research Science Center,51,NA,141--152,Aquatic Microbial Ecology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2008_article_oct,Article,"Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia",DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu,NA,10.3354/meps07661,https://doi.org/10.3354/meps07661,2008,oct,Inter-Research Science Center,375,NA,97--109,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton_and_Macintosh_2002_article,Article,"Preliminary assessment of the plant diversity and community ecology of the Sematan mangrove forest, Sarawak, Malaysia","Ashton, Elizabeth C and Macintosh, Donald J",NA,NA,NA,2002,NA,NA,166,NA,NA,Forest Ecology and Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bekker_2015,Misc,NA,Zandri Bekker,NA,NA,NA,2015,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bezuidenhout_et_al_2011,Misc,MACROPHYTES AS INDICATORS OF PHYSICO-CHEMICAL FACTORS IN SOUTH AFRICAN ESTUARIES,Chantel Bezuidenhout,NA,NA,NA,2011,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_and_Rajkaran_2020,Misc,"The phylogeography, biomass allocation and phenology of Salicornia tegetaria (S. Steffen, Mucina & G. Kadereit) Piirainen & G. Kadereit, an endemic salt marsh species in South Africa","Catherine E. Brown, Anusha Rajkaran",NA,NA,https://etd.uwc.ac.za/xmlui/handle/11394/6391,2020,NA,NA,NA,NA,NA,Standard Theses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunskill_et_al_2004_article,Article,"Sediment and trace element depositional history from the Ajkwa River estuarine mangroves of Irian Jaya (West Papua), Indonesia",Gregg J. Brunskill and Irena Zagorskis and John Pfitzner and Joanna Ellison,NA,10.1016/j.csr.2004.07.024,https://doi.org/10.1016/j.csr.2004.07.024,2004,dec,Elsevier {BV},24,19,2535--2551,Continental Shelf Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
