study_id,site_id,core_id,latitude,longitude,year,habitat,country
MX edaf puntos,141,M1680,15.67694,-96.577,1986,mangrove,Mexico
MX edaf puntos,2085,M1681,15.2025,-92.8113,1990,mangrove,Mexico
MX edaf puntos,30080,M1683,16.57923,-98.8213,2003,mangrove,Mexico
MX edaf puntos,30083,M1684,16.64466,-99.2596,2003,mangrove,Mexico
MX edaf puntos,36202,M1685,19.95371,-90.3721,2003,mangrove,Mexico
MX edaf puntos,36215,M1686,19.04569,-91.0942,2003,mangrove,Mexico
MX edaf puntos,38109,M1687,18.63789,-92.4778,2004,mangrove,Mexico
MX edaf puntos,105008,M1688,20.21604,-90.4268,2003,mangrove,Mexico
MX edaf puntos,114218,M1689,27.98859,-114.086,2005,mangrove,Mexico
MX perfilv12,102001_F1412,M1690,20.97885,-97.3209,NA,mangrove,Mexico
MX perfilv12,102005_F1412,M1691,20.9552,-97.3164,NA,mangrove,Mexico
MX perfilv12,104002_F150912,M1692,21.12814,-90.0011,NA,mangrove,Mexico
MX perfilv12,104004_F150912,M1693,21.11528,-90.0134,NA,mangrove,Mexico
MX perfilv12,104053_F150912,M1694,20.19988,-90.4033,NA,mangrove,Mexico
MX perfilv12,110054_F1607,M1695,21.13535,-89.9616,NA,mangrove,Mexico
MX perfilv12,2085_D1502,M1696,15.20135,-92.8111,NA,mangrove,Mexico
MX perfilv12,41_D1403,M1698,15.67575,-96.5767,NA,mangrove,Mexico
MX perfilv12,6014_E1302,M1701,19.90796,-105.388,NA,mangrove,Mexico
MX perfilv12,78013_F1308,M1702,21.89038,-105.469,NA,mangrove,Mexico
MX perfilv12,86008_F140306,M1703,23.79933,-97.7719,NA,mangrove,Mexico
MX perfilv12,86016_F140306,M1704,23.57338,-97.7683,NA,mangrove,Mexico
MX perfilv12,86046_F140306,M1705,22.0741,-97.8409,NA,mangrove,Mexico
RadamBrasil,RADAM_VOL_24_36,M1733,-15.55,-38.9833,1981,mangrove,Brazil
RadamBrasil,RADAM_VOL_3_14,M1734,-2.85,-44.3333,1973,mangrove,Brazil
Kauffmann et al 2014,JBK14 Alta 3,M0007,19.7010131,-71.7086917,2012,mangrove,Dominican Republic
Kauffmann et al 2014,JBK14 Balsa Alta,M0008,19.7011072,-71.7193689,2012,mangrove,Dominican Republic
Kauffmann et al 2014,JBK14 Tapion Alto,M0009,19.723964,-71.724047,2012,mangrove,Dominican Republic
Kauffmann et al 2014,JBK14 Guinea Media,M0010,19.708301,-71.722997,2012,mangrove,Dominican Republic
Kauffmann et al 2014,JBK14 Laguna Media,M0011,19.690274,-71.715383,2012,mangrove,Dominican Republic
Kauffmann et al 2014,JBK14 Mediana Sur,M0012,19.69203,-71.711328,2012,mangrove,Dominican Republic
Jennerjahn and Ittekkot 1997,JI97 Paraiba do Sul,M0083,-21.601023,-41.049465,1992,mangrove,Brazil
Twilley et al 1997,RRT97 M1 25m,M0087,-2.448136,-79.690736,1995,mangrove,Ecuador
Twilley et al 1997,RRT97 M1 50m,M0088,-2.448372,-79.690668,1995,mangrove,Ecuador
Twilley et al 1997,RRT97 M2 25m,M0089,-2.435707,-79.687784,1995,mangrove,Ecuador
Twilley et al 1997,RRT97 M2 50m,M0090,-2.435771,-79.687614,1995,mangrove,Ecuador
Twilley et al 1997,RRT97 M3 25m,M0091,-2.428006,-79.687389,1995,mangrove,Ecuador
Twilley et al 1997,RRT97 M3 50m,M0092,-2.42792,-79.687291,1995,mangrove,Ecuador
Bouillon et al 2003,SB03 Coringa 1,M0117,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 2,M0118,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 3,M0119,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 4,M0120,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 5,M0121,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 6,M0122,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 7,M0123,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 8,M0124,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 9,M0125,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 10,M0126,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 11,M0127,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 12,M0128,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 13,M0129,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 14,M0130,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 15,M0131,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 16,M0132,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 17,M0133,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 18,M0134,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 19,M0135,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 20,M0136,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 21,M0137,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 22,M0138,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Coringa 23,M0139,16.825207,82.293886,1996,mangrove,India
Bouillon et al 2003,SB03 Galle Excoecarcia 1,M0140,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 2,M0141,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 3,M0142,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 4,M0143,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 5,M0144,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 6,M0145,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 7,M0146,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Excoecarcia 8,M0147,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 1,M0148,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 2,M0149,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 3,M0150,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 4,M0151,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 5,M0152,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 6,M0153,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 7,M0154,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Galle Rhizophora 8,M0155,6.028306,80.250135,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 1,M0156,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 2,M0157,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 3,M0158,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 4,M0159,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 5,M0160,7.515981,79.812103,1999,mangrove,Sri Lanka
Bouillon et al 2003,SB03 Pambala Avicennia 6,M0161,7.515981,79.812103,1999,mangrove,Sri Lanka
