study_id,bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,type,issue,issn,eprint,article-number
Abino_et_al_2014,Abino_et_al_2014_article,synthesis source,Article,"Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines","Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin",NA,NA,NA,2014,NA,NA,46,6,NA,Pak. J. Bot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abino_et_al_2014,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Adame_et_al_2013_article,synthesis source,Article,Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean,Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira,NA,10.1371/journal.pone.0056569,https://doi.org/10.1371/journal.pone.0056569,2013,feb,Public Library of Science ({PLoS}),8,2,e56569,{PLoS} {ONE},NA,Han Y. H. Chen,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Adame_et_al_2015_article,synthesis source,Article,Carbon stocks and soil sequestration rates of tropical riverine wetlands,M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara,NA,10.5194/bg-12-3805-2015,https://doi.org/10.5194/bg-12-3805-2015,2015,jun,Copernicus {GmbH},12,12,3805--3818,Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2015,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Along_et_al_2000_MEPS,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Alongi_et_al_2001_article,synthesis source,Article,Organic carbon accumulation and metabolic pathways in sediments of mangrove forests in southern Thailand,D.M Alongi and G Wattayakorn and J Pfitzner and F Tirendi and I Zagorskis and G.J Brunskill and A Davidson and B.F Clough,NA,10.1016/s0025-3227(01)00195-5,https://doi.org/10.1016/s0025-3227(01)00195-5,2001,sep,Elsevier {BV},179,NA,85--103,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2001,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alongi_et_al_2004,Alongi_et_al_2004_article,synthesis source,Article,Sediment accumulation and organic material flux in a managed mangrove ecosystem: estimates of land{\textendash}ocean{\textendash}atmosphere exchange in peninsular Malaysia,D.M Alongi and A Sasekumar and V.C Chong and J Pfitzner and L.A Trott and F Tirendi and P Dixon and G.J Brunskill,NA,10.1016/j.margeo.2004.04.016,https://doi.org/10.1016/j.margeo.2004.04.016,2004,aug,Elsevier {BV},208,NA,383--402,Marine Geology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
