"[Abbreviations: ID, identification; WGS84, World Geodetic System 1984; dbar, decibar; m, meter; °C, degree Celcius; µS/cm, microsiemens per centimeter; PSS, practical salinity scale; m/s, meters per second; kg/m^3, kilograms per cubic meter]",,,,,,,,,,,
Site ID,"Cast Date and Time
(Local)","Latitude
(WGS84)","Longitude
(WGS84)","Pressure
(dbar)","Depth
(m)","Temperature
(°C)","Conductivity
(µS/cm)","Specific Conductance
(µS/cm)","Salinity
(PSS)","Sound Velocity
(m/s)","Density
(kg/m^3)"
16CCT03-GB230,5/15/2016 12:18,30.38196,-88.41047,0.15,0.15,26.1,28870.6,28246.4,17.4,1518.3,1009.8
,,,,0.45,0.46,26.1,28866.8,28251.1,17.4,1518.3,1009.8
,,,,0.75,0.76,26.1,28858.6,28247.1,17.4,1518.2,1009.8
,,,,1.05,1.07,26.1,28899.8,28286.2,17.4,1518.3,1009.8
,,,,,,,,,,,
16CCT03-GB231,5/15/2016 11:18,30.38544,-88.40724,0.15,0.15,25.9,28985.3,28478.9,17.5,1517.9,1010
,,,,0.45,0.45,25.9,28494.8,28013,17.2,1517.5,1009.7
,,,,0.76,0.77,25.9,28667.5,28168.8,17.3,1517.7,1009.8
,,,,,,,,,,,
16CCT03-GB232,5/15/2016 13:12,30.37848,-88.40552,0.15,0.15,26.7,29303.2,28348.5,17.4,1519.8,1009.7
,,,,0.45,0.46,26.7,29290.3,28347.1,17.4,1519.7,1009.7
,,,,0.75,0.76,26.6,29281.6,28362.6,17.5,1519.6,1009.7
,,,,1.05,1.06,26.6,29269,28363,17.5,1519.6,1009.7
,,,,1.41,1.43,26.6,29253.2,28343.9,17.4,1519.6,1009.7
,,,,,,,,,,,
16CCT03-GB233,5/14/2016 17:30,30.37271,-88.3903,0.15,0.15,28.1,30207.4,28462.4,17.5,1523.1,1009.3
,,,,0.45,0.46,28.1,30210.2,28465.3,17.5,1523.1,1009.3
,,,,0.75,0.76,28.1,30210.6,28467.7,17.5,1523.1,1009.3
,,,,1.05,1.06,28.1,30208.2,28466.8,17.5,1523.1,1009.3
,,,,1.35,1.37,28.1,30211.1,28470.4,17.5,1523.1,1009.3
,,,,1.7,1.7,28.1,30207.2,28469.6,17.5,1523.1,1009.3
,,,,2,2,28,30185,28454.1,17.5,1523.1,1009.3
,,,,2.1,2.1,28,30187.6,28454,17.5,1523.1,1009.3
,,,,,,,,,,,
16CCT03-GB234,5/15/2016 10:22,30.38269,-88.39239,0.15,0.15,25,28394.4,28419.2,17.5,1515.5,1010.2
,,,,0.45,0.45,24.9,27749.2,27805.1,17.1,1514.9,1009.9
,,,,0.85,0.86,24.9,28077.9,28113.9,17.3,1515.3,1010
,,,,,,,,,,,
16CCT03-GB235,5/14/2016 11:00,30.38824,-88.39144,0.15,0.15,26.3,29294.3,28529.9,17.6,1519.1,1009.8
,,,,0.45,0.46,26.3,29279.3,28537.6,17.6,1519,1009.9
,,,,0.75,0.76,26.3,29218.3,28498.3,17.6,1518.9,1009.9
,,,,1.01,1.03,26.3,29028.3,28303.1,17.4,1518.8,1009.8
,,,,,,,,,,,
CAST 1,,,,,,,,,,,
16CCT03-GB236,5/14/2016 13:05,30.39024,-88.37954,0.15,0.15,27.5,30226.2,28807.7,17.8,1522,1009.7
,,,,0.45,0.46,27.5,30231.9,28801.6,17.8,1522,1009.6
,,,,0.75,0.76,27.5,30207.8,28766.1,17.7,1522,1009.6
,,,,0.94,0.96,27.5,29981.9,28569.5,17.6,1521.8,1009.5
,,,,,,,,,,,
CAST 2,,,,,,,,,,,
16CCT03-GB236,5/14/2016 13:07,30.39025,-88.37959,0.15,0.15,27.5,30230.1,28802.5,17.8,1522,1009.6
,,,,0.45,0.46,27.5,30209.4,28786.2,17.7,1522,1009.6
,,,,0.75,0.76,27.5,30232.4,28799,17.8,1522,1009.6
,,,,0.93,0.95,27.5,30211.7,28784,17.7,1522,1009.6
,,,,,,,,,,,
16CCT03-GB237,5/14/2016 14:27,30.39355,-88.36822,0.15,0.15,28,30569.2,28826.9,17.8,1523.3,1009.5
,,,,0.45,0.46,28,30542.9,28819.9,17.8,1523.2,1009.5
,,,,0.75,0.76,28,30510,28803.1,17.8,1523.1,1009.5
,,,,1.09,1.1,28,30501.4,28782.7,17.7,1523.2,1009.5
,,,,,,,,,,,
16CCT03-GB238,5/14/2016 16:03,30.39062,-88.35179,0.15,0.15,27.8,30385.3,28792,17.7,1522.7,1009.6
,,,,0.45,0.46,27.8,30376.4,28792.6,17.7,1522.6,1009.6
,,,,0.75,0.76,27.7,30363.5,28797.3,17.7,1522.6,1009.6
,,,,1.05,1.06,27.6,30289.1,28781,17.7,1522.3,1009.6
,,,,1.35,1.37,27.5,30187.6,28744.3,17.7,1522,1009.6
