study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,depth_interval_notes
Lagomasino_et_al_2020,Huddy_Gut,HG1,0,4,1.9815134612417564,0.015549891174040207,NA,NA,NA,NA,NA,NA,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,1,3,NA,NA,NA,NA,NA,1.8339844007734862,0.18723342151192227,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,4,6,2.3518278969579107,0.053563794051181765,NA,NA,NA,-0.009087420510567705,0.02756098143944738,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,6,8,2.166624227022293,0.08406982979484041,0.1,0.02,disintegrationsPerMinutePerGram,1.9817912410574527,0.21014040654479557,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,8,10,1.919141961838918,0.14264106147925434,0.13,0.04,disintegrationsPerMinutePerGram,2.9672967290357875,0.30863628464068976,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,10,12,1.9065520348454563,0.20296694413493235,0.16,0.04,disintegrationsPerMinutePerGram,3.6380213119365727,0.3709055033975277,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,12,14,1.9100375817045865,0.17664663373804734,0.26,0.04,disintegrationsPerMinutePerGram,3.395346140384518,0.3455310414558467,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,14,16,1.9056086334948916,0.09901603247780934,0.41,0.04,disintegrationsPerMinutePerGram,2.2337478739924372,0.2313124590962727,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,16,18,2.228605031583117,0.017436771810173494,0.05,0.02,disintegrationsPerMinutePerGram,0.5069186731706459,0.054405162066352895,disintegrationsPerMinutePerGram,not used in age-depth modeling
Lagomasino_et_al_2020,Huddy_Gut,HG1,18,20,2.2403849736149763,0.0068443846544175594,0.05,0.02,disintegrationsPerMinutePerGram,0.35416764976170373,0.03953996765443362,disintegrationsPerMinutePerGram,not used in age-depth modeling
