study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,pb210_cic_accretion_rate,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2,ecological_condition_flag,...34,core_date,core_position_method,country,admin_division,habitat
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_1,2013,1,27,NA,24.267838,54.226179,NA,RTK,NA,-31.7447,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_2,2013,1,27,NA,24.268013,54.22627,NA,RTK,NA,-31.7587,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_3,2013,1,27,NA,24.268171,54.226308,NA,RTK,NA,-31.7117,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_high_sabkha_4,2013,1,27,NA,24.268516,54.226443,NA,RTK,NA,-31.8076,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_high_sabkha_1,2013,1,26,NA,24.130454,53.029018,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_high_sabkha_2,2013,1,26,NA,24.130103,53.029047,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Thumayriyah,Thumayriyah_high_sabkha_3,2013,1,26,NA,24.129726,53.029059,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_1,2013,1,27,NA,24.259597,54.236117,NA,RTK,NA,-31.849,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,low sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_2,2013,1,27,NA,24.25977,54.236139,NA,RTK,NA,-31.8763,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,low sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
Schile-Beers_and_Megonigal_2017,Al Aryam,Al_Aryam_low_sabkha_3,2013,1,27,NA,24.259937999999998,54.23619,NA,RTK,NA,-31.8784,WGS84,NA,RTK,NA,NA,NA,NA,NA,NA,low sabkha,NA,NA,NA,core depth represents deposit depth,NA,NA,NA,NA,NA,NA,NA,NA,United Arab Emirates,Hormozgan,NA
