study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,excess_pb210_activity,excess_pb210_activity_se,be7_activity,be7_activity_se,be7_unit,age,age_se,depth_interval_notes
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,0,1,0.091094148,NA,0,0,disintegrations_per_minute_per_gram,24.00960041,0.777911053,disintegrations_per_minute_per_gram,0.847834936,0.150575485,disintegrations_per_minute_per_gram,23.16176547,0.792350038,8.017719921,1.330941507,disintegrations_per_minute_per_gram,2.618521916,0.162888892,cs137 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,1,2,0.142239186,0.1446334312,0,0,disintegrations_per_minute_per_gram,27.93643898,0.60901437,disintegrations_per_minute_per_gram,0.321536754,0.089740908,disintegrations_per_minute_per_gram,27.61490222,0.615590719,0,0,disintegrations_per_minute_per_gram,6.106027719,0.182700435,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,2,3,0.129262087,NA,0,0,disintegrations_per_minute_per_gram,26.77934364,0.688229131,disintegrations_per_minute_per_gram,0.341220458,0.096258291,disintegrations_per_minute_per_gram,26.43812318,0.694928051,0,0,disintegrations_per_minute_per_gram,9.48264853,0.213479662,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,3,4,0.143765903,0.204533436,0,0,disintegrations_per_minute_per_gram,23.08329037,0.717890331,disintegrations_per_minute_per_gram,0.215840006,0.101056291,disintegrations_per_minute_per_gram,22.86745037,0.724968207,0,0,disintegrations_per_minute_per_gram,13.10464859,0.259782353,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,4,5,0.16692112,NA,0,0,disintegrations_per_minute_per_gram,18.81621823,0.568249791,disintegrations_per_minute_per_gram,0.370673651,0.100081886,disintegrations_per_minute_per_gram,18.44554458,0.576995848,0,0,disintegrations_per_minute_per_gram,16.9126281,0.314354118,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,5,6,0.136386768,0.2761474631,0,0,disintegrations_per_minute_per_gram,13.72337333,0.436403272,disintegrations_per_minute_per_gram,0.622466434,0.098972163,disintegrations_per_minute_per_gram,13.10090689,0.447485536,0,0,disintegrations_per_minute_per_gram,19.34897785,0.351636131,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,6,7,0.136895674,NA,0,0,disintegrations_per_minute_per_gram,10.19567369,0.383357331,disintegrations_per_minute_per_gram,0.5,0.1,disintegrations_per_minute_per_gram,9.695673688,0.383357331,0,0,disintegrations_per_minute_per_gram,21.28650609,0.388135445,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,7,8,0.175826972,0.2321798863,0.079299398,0.040482342,disintegrations_per_minute_per_gram,10.82123804,0.364675722,disintegrations_per_minute_per_gram,0.546393735,0.077478632,disintegrations_per_minute_per_gram,10.27484431,0.372815397,0,0,disintegrations_per_minute_per_gram,24.12686549,0.449048182,be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,8,9,0.158778626,NA,0,0,disintegrations_per_minute_per_gram,10.53811063,0.441546836,disintegrations_per_minute_per_gram,0.5,0.1,disintegrations_per_minute_per_gram,10.03811063,0.441546836,0,0,disintegrations_per_minute_per_gram,26.85995939,0.508892309,cs137 and be7 activity below detection limits
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,9,10,0.184732824,0.23575602539999999,0,0,disintegrations_per_minute_per_gram,8.628505827,0.336511727,disintegrations_per_minute_per_gram,0.34094834,0.075758721,disintegrations_per_minute_per_gram,8.287557487,0.34493409,0,0,disintegrations_per_minute_per_gram,29.72425356,0.574555521,cs137 and be7 activity below detection limits
