study_id,core_id,latitude,longitude,elevation,elevation_method,elevation_datum,year,month,day,site_id,core_length_flag,inundation_class,inundation_method,position_method
Gonneea_et_al_2018,EPA,41.55923,-70.54365,0.14,RTK,"NAVD88",2014,8,5,Eel_Pond,core depth represents deposit depth,low,measurement,handheld
Gonneea_et_al_2018,EPB,41.55892,-70.54378,0.14,RTK,"NAVD88",2014,8,5,Eel_Pond,core depth represents deposit depth,low,measurement,handheld
Gonneea_et_al_2018,GPA,41.55665,-70.58044,0.12,RTK,"NAVD88",2014,6,16,Great_Pond,core depth represents deposit depth,low,measurement,handheld
Gonneea_et_al_2018,GPB,41.55655,-70.58011,0.14,RTK,"NAVD88",2014,6,16,Great_Pond,core depth represents deposit depth,low,measurement,handheld
Gonneea_et_al_2018,GPC,41.556,-70.57988,0.16,RTK,"NAVD88",2014,6,16,Great_Pond,core depth represents deposit depth,low,measurement,handheld
Gonneea_et_al_2018,HBA,41.5752,-70.50214,0.13,RTK,"NAVD88",2014,7,1,Hamblin_Pond,NA,low,measurement,handheld
Gonneea_et_al_2018,HBB,41.5759,-70.5011,0.15,RTK,"NAVD88",2014,7,1,Hamblin_Pond,NA,low,measurement,handheld
Gonneea_et_al_2018,HBC,41.57671,-70.50044,0.18,RTK,"NAVD88",2014,7,1,Hamblin_Pond,NA,low,measurement,handheld
Gonneea_et_al_2018,SLPA,41.55445,-70.5069,0.14,RTK,"NAVD88",2013,12,4,Sage_Log_Pond,core depth represents deposit depth,low,measurement,handheld
Gonneea_et_al_2018,SLPB,41.55451,-70.50599,0.24,RTK,"NAVD88",2014,1,17,Sage_Log_Pond,core depth represents deposit depth,high,measurement,handheld
Gonneea_et_al_2018,SLPC,41.55449,-70.50714,0.14,RTK,"NAVD88",2014,6,4,Sage_Log_Pond,core depth represents deposit depth,low,measurement,handheld
