study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,total_pb210_activity,pb210_unit
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,0,2.5,0.08764,0.29775,9.64541,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,2.5,5,0.08873,0.32503,7.95581,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,5,7.5,0.1101,0.30276,6.81151,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,7.5,10,0.21024,0.28639,5.98754,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,10,15,0.07216,0.25006,3.8484,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,15,20,0.19303,0.19942,3.75089,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,20,25,0.11236,0.35858,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,25,30,0.12332,0.39273,1.94969,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,30,35,0.1158,0.45871,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,35,40,0.15682,0.41823,0.53936,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,40,45,0.11734,0.53939,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,45,50,0.08448,0.56104,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,50,60,0.08592,0.62263,0.86828,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,60,70,0.08683,0.62737,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,70,80,0.11852,0.53833,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1A,single set of methods,80,90,0.21445,0.32327,NA,NA
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1B,single set of methods,0,2.5,0.09344,0.44076,9.99412,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1B,single set of methods,2.5,5,0.0976,0.48987000000000003,10.12883,disintegrationsPerMinutePerGram
Allen_et_al_2022,Naticoke River Marsh 1,NRM_1B,single set of methods,5,7.5,0.08964,0.36586,8.56262,disintegrationsPerMinutePerGram
