study_id,site_id,core_id,core_year,core_latitude,core_longitude,core_position_method,core_position_notes,core_elevation,core_elevation_datum,core_elevation_method,core_elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,peat_depth,core_length,porewater_salinity,pH,peat_depth_notes
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-1,2017,46.1924,-123.5807,RTK-GPS,NA,2.54,NAVD88,RTK-GPS,NA,NA,NA,NA,forested,250,250,NA,NA,NA
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-2,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forested,280,280,NA,NA,NA
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-3,2017,46.1923,-123.5802,RTK-GPS,NA,2.607,NAVD88,RTK-GPS,NA,NA,NA,NA,forested,185,185,NA,NA,NA
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-4,2017,46.1922,-123.5794,RTK-GPS,NA,2.789,NAVD88,RTK-GPS,NA,NA,NA,NA,forested,250,250,NA,NA,NA
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-5,2017,46.1921,-123.5792,RTK-GPS,NA,2.756,NAVD88,RTK-GPS,NA,NA,NA,NA,forested,250,250,NA,NA,NA
Kauffman_et_al_2020,Blind Slough Swamp,COL-BLI-TS-6,2017,46.1919,-123.579,RTK-GPS,NA,2.71,NAVD88,RTK-GPS,NA,NA,NA,NA,forested,250,250,NA,NA,NA
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-1,2017,46.3048,-123.6924,RTK-GPS,NA,2.102,NAVD88,RTK-GPS,NA,fresh,measurement,refractometer,emergent,262,262,0,6.22,NA
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-2,2017,46.305,-123.6924,RTK-GPS,NA,2.082,NAVD88,RTK-GPS,NA,NA,NA,NA,emergent,144,144,NA,NA,NA
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-3,2017,46.3051,-123.6924,RTK-GPS,NA,2.074,NAVD88,RTK-GPS,NA,fresh,measurement,refractometer,emergent,241,241,0,5.81,NA
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-4,2017,46.3053,-123.6924,RTK-GPS,NA,2.085,NAVD88,RTK-GPS,NA,fresh,measurement,refractometer,emergent,251,251,0,6.32,NA
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-5,2017,46.3055,-123.6924,RTK-GPS,NA,1.939,NAVD88,RTK-GPS,NA,fresh,measurement,refractometer,emergent,241,241,0,6.33,NA
Kauffman_et_al_2020,Secret River High Marsh,COL-SEC-HM-6,2017,46.3057,-123.6924,RTK-GPS,NA,2.061,NAVD88,RTK-GPS,NA,NA,NA,NA,emergent,153,153,NA,NA,NA
