study_id,site_id,site_description,vegetation_class,site_latitude_min,site_latitude_max,site_longitude_min,site_longitude_max
Kauffman_et_al_2020,Barview Eelgrass,Coos Bay Estuary,seagrass,43.3454,43.3459,-124.3189,-124.3182
Kauffman_et_al_2020,Blind Slough Swamp,Lower Columbia River Estuary,forested,46.1919,46.1924,-123.5807,-123.579
Kauffman_et_al_2020,Chehalis Flood Plain,Grays Harbor Estuary,forested,46.9411,46.9419,-123.7215,-123.7209
Kauffman_et_al_2020,Coal Creek Swamp,Nehalem Estuary,forested,45.7437,45.7446,-123.8574,-123.8569
Kauffman_et_al_2020,Criteser's Marsh,Yaquina Bay Estuary,emergent,44.5896,44.5899,-123.9476,-123.9464
Kauffman_et_al_2020,Danger Point High Marsh,Coos Bay Estuary,emergent,43.2828,43.2836,-124.3235,-124.323
Kauffman_et_al_2020,Delta Island Marsh,Skagit Estuary,emergent,48.3526,48.3531,-122.4643,-122.4633
Kauffman_et_al_2020,Fir Island Marsh,Skagit Estuary,emergent,48.3318,48.3326,-122.4177,-122.417
Kauffman_et_al_2020,Hampel High Marsh,Coos Bay Estuary,emergent,43.3192,43.3196,-124.3324,-124.3313
Kauffman_et_al_2020,Hidden Creek Low Marsh,Coos Bay Estuary,emergent,43.2928,43.2936,-124.3238,-124.3233
Kauffman_et_al_2020,Humboldt Eelgrass,Humboldt Bay,seagrass,40.7172,40.7173,-124.227,-124.2259
Kauffman_et_al_2020,John's Marsh,Grays Harbor Estuary,emergent,46.8908,46.8915,-123.9876,-123.9868
Kauffman_et_al_2020,John's Swamp,Grays Harbor Estuary,forested,46.8806,46.8813,-123.9588,-123.9583
Kauffman_et_al_2020,Mad River Marsh,Humboldt Bay,emergent,40.8856,40.8865,-124.1406,-124.1406
Kauffman_et_al_2020,Metcalf High Marsh,Coos Bay Estuary,emergent,43.3351,43.3359,-124.3284,-124.3281
Kauffman_et_al_2020,Metcalf Low Marsh,Coos Bay Estuary,emergent,43.3345,43.3354,-124.328,-124.3277
Kauffman_et_al_2020,Millicoma High Marsh,Coos Bay Estuary,emergent,43.3682,43.3691,-124.185,-124.1849
Kauffman_et_al_2020,Otter Island Swamp,Snohomish Estuary,forested,48.0132,48.0135,-122.1508,-122.1496
Kauffman_et_al_2020,Padilla lower transect,Padilla Bay,seagrass,48.5492,48.5493,-122.5331,-122.5317
Kauffman_et_al_2020,Padilla upper Transect,Padilla Bay,seagrass,48.5478,48.5479,-122.511,-122.5098
Kauffman_et_al_2020,Poole Slough,Yaquina Bay Estuary,emergent,44.5781,44.5784,-124.0147,-124.0136
Kauffman_et_al_2020,Sally's Bend,Yaquina Bay Estuary,seagrass,44.6253,44.6256,-124.0218,-124.0207
Kauffman_et_al_2020,Secret River High Marsh,Lower Columbia River Estuary,emergent,46.3048,46.3057,-123.6924,-123.6924
Kauffman_et_al_2020,Secret River Low Marsh,Lower Columbia River Estuary,emergent,46.3051,46.306,-123.6951,-123.695
Kauffman_et_al_2020,Secret River Swamp,Lower Columbia River Estuary,forested,46.3064,46.3071,-123.691,-123.6893
Kauffman_et_al_2020,Skagit Wildlife Marsh,Skagit Estuary,emergent,48.3217,48.3219,-122.3952,-122.3939
Kauffman_et_al_2020,South Bay,Humboldt Bay,emergent,40.704,40.7045,-124.2166,-124.211
Kauffman_et_al_2020,Valino Island Eelgrass,Coos Bay Estuary,seagrass,43.3133,43.3141,-124.3193,-124.3189
