attribute_name,attribute_definition,data_type,units,format_string,number,values
funding_agency,"Agency name funding the research, spelled out, no acronyms.",character,,,,
funding_id,Code used by the agency to track the project funding.,character,,,,
funding_notes,Any other submitter-generated notes about the project funding.,character,,,,
bibtex_citation,Submitters can associate multiple BibTeX style citations with the dataset. They can also include the same information by filling out following attributes in tabular form if more convenient than BibTeX formatting.,character,,,,
publication_type,Code indicating the type of publication the study originates from.,factor,,,,article = Journal article. book = Book. mastersthesis = Master’s Thesis. misc = Miscellaneous publications such as online datasets. phdthesis = PhD thesis or dissertation. techreport = Technical report. unpublished = Unpublished source.
author,The names of the author separated by “and”.,character,,,,
year,"The year of publication or, if unpublished, the year of creation.",Date,,YYYY,,
title,The title of the work.,character,,,,
journal,The journal or magazine the work was published in.,character,,,,
volume,The volume of a journal or multi-volume book.,character,,,,
number,"The “(issue) number” of a journal, magazine, or tech-report, if applicable. (Most publications have a “volume”, but no “number” field.).",character,,,,
pages,"Page numbers, separated either by commas or double-hyphens.",character,,,,
url,Permanent web address where the work can be located.,character,,,,
doi,Digital object identifier associated with the work.,character,,,,
address,"Publisher’s address (usually just the city, but can be the full address for lesser-known publishers).",character,,,,
annote,An annotation for annotated bibliography styles (not typical).,character,,,,
booktitle,"The title of the book, if only part of it is being cited.",character,,,,
chapter,The chapter number.,character,,,,
crossref,The key of the cross-referenced entry.,character,,,,
edition,"The edition of a book, long form (such as “First” or “Second”).",character,,,,
editor,The name(s) of the editor(s).,character,,,,
howpublished,"How it was published, if the publishing method is nonstandard.",character,,,,
institution,"The institution that was involved in the publishing, but not necessarily the publisher.",character,,,,
key,A hidden field used for specifying or overriding the alphabetical order of entries (when the “author” and “editor” fields are missing). Note that this is very different from the key (mentioned just after this list) that is used to cite or cross-reference the entry.,character,,,,
month,"The month of publication (or, if unpublished, the month of creation).",Date,,MM,,
note,Miscellaneous extra information.,character,,,,
organization,The conference sponsor.,character,,,,
publisher,The publisher’s name.,character,,,,
school,The school where the thesis was written.,character,,,,
series,The series of books the book was published in (e.g. “The Hardy Boys” or “Lecture Notes in Computer Science”).,character,,,,
type,"The field overriding the default type of publication (e.g. “Research Note” for techreport, “{PhD} dissertation” for phdthesis, “Section” for inbook/incollection).",character,,,,
coring_method,Code indicating what type of device was used to collect soil depth profiles.,factor,,,,"gouge auger = A half cylinder coring device in which the coring section is open, not sealed off by a fin. hargas corer = A large diameter (>10 cm) coring device consisting of a tube, piston, and a cutting head. mcauley corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point. mccaffrey peat cutter = U-shaped blade that extracts a core by cutting down through peat. none specified = No coring device was specified. other shallow corer = Any other type of coring device typically taking cores shallower than 30 centimeters. piston corer = A device that extrudes core into tube upward with a plunger. push core = Any number of coring types involving driving a tube into the sediment to recover a core. pvc and hammer = PVC pipe was driven into the sediment with a hammer to recover a core. russian corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point. vibracore = A technique involving collecting a core by sinking a continuous pipe into sediment attaching a source of vibration, then recovering using a winch and pulley. surface sample = A technique involving collecting a core shallower than ~5 cm using a circular metal cutter."
roots_flag,Code indicating whether live roots were included or excluded from carbon assessments.,factor,,,,roots and rhizomes included = Roots and rhizomes were included in dry bulk density and or organic matter and carbon measurements. roots and rhizomes separated = Roots and rhizomes were separated from soil before dry bulk density and or organic matter and carbon measurements.
sediment_sieved_flag,Code indicating whether or not sediment was sieved prior to carbon measurements.,factor,,,,sediment sieved = Sediment was sieved prior to analysis for organics. sediment not sieved = Sediment was not sieved prior to analysis for organics.
sediment_sieve_size,"If sediment was sieved, the size of sieve used.",numeric,millimeter,,real,
compaction_flag,Code indicating how the authors qualified or quantified compaction of the core.,factor,,,,compaction qualified = Compaction was at least qualified and noted by the authors. compaction quantified = Compaction was quantified and corrected for in core based measurements. corer limits compaction = Authors specified that the coring device’s design minimized compaction. no obvious compaction = Authors observed no obvious compaction. not specified = Compaction was not specified.
dry_bulk_density_temperature,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.,numeric,celsius,,real,
dry_bulk_density_time,Time over which samples were dried to measure dry bulk density.,numeric,hour,,integer,
dry_bulk_density_sample_volume,"Sample volume used for bulk density measurements, if held constant.",numeric,cubicCentimeter,,real,
dry_bulk_density_sample_mass,"Sample mass used for bulk density measurements, if held constant.",numeric,gram,,real,
dry_bulk_density_flag,Any notable codes regarding how the authors quantified dry bulk density.,factor,,,,"air dried to constant mass = Methodology specified that samples were air dried to a constant mass. modeled = Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter. freeze dried = Bulk density was measured on freeze dried samples. not specified = No additional details regarding bulk density methodology were provided. removed non structural water = Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed. time approximate = Bulk density time recorded herin is an approximate estimate. to constant mass = Bulk density methodology did not specify drying temperature or length, only that samples were dried to a constant mass"
loss_on_ignition_temperature,Temperature at which samples were combusted to estimate fraction organic matter.,numeric,celsius,,real,
loss_on_ignition_time,Time over which samples were combusted to estimate fraction organic matter.,numeric,hour,,integer,
loss_on_ignition_sample_volume,"Sample volume used for loss on ignition, if held constant.",numeric,cubicCentimeter,,real,
loss_on_ignition_sample_mass,"Sample mass used for loss on ignition, if held constant.",numeric,gram,,real,
loss_on_ignition_flag,Common codes regarding loss on ignition methodology.,factor,,,,time approximate = Loss on ignition time recorded herein is an approximate estimate. not specified = No additional details regarding loss on ignition methodology or time were provided
carbon_measured_or_modeled,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,factor,,,,measured = Fraction carbon was measured as opposed to modeled. modeled = Fraction carbon was modeled as opposed to measured.
carbonates_removed,Whether or not carbonates were removed prior to calculating fraction organic carbon.,factor,,,,FALSE = Carbonates were not removed before measuring organic carbon. TRUE = Carbonates were removed before measuring organic carbon.
carbonate_removal_method,The method used to remove carbonates prior to measuring fraction carbon.,factor,,,,direct acid treatment = Carbonates were removed using direct application of dilute acid. acid fumigation = Carbonates were removed by fumigating with concentrated acid. low carbonate soil = Organic carbon fraction was measured without removing carbonates assuming carbonate content of the soil type was minimal. carbonates not removed = Carbonates were not removed and low carbonate soil was not specified. none specified = Carbonate removal methodology was not specified.
fraction_carbon_method,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",factor,,,,"Craft regression = Used regression model from Craft et al., 1991, Estuaries, to predict fraction carbon as a function of fraction organic matter. EA = Each sample presented was measured using Elemental Analysis. Fourqurean regression = Used regression model from Fourqurean et al., 2012, Nature Geoscience, to predict fraction carbon as a function of fraction organic matter. Holmquist regression = Used regression model from Holmquist et al., 2018, Scientific Reports, to predict fraction carbon as a function of fraction organic matter. kjeldahl digestion = Each sample was measured kjeldahl digestion method. local regression = A regression model fit using a subset of measurements was used to predict fraction carbon as a function of fraction organic matter. not specified = No additional details were provided regarding fraction carbon methodologies. wet oxidation = Each sample was measured using a wet oxidation method."
fraction_carbon_type,Code indicating whether fraction_carbon refers to organic or total carbon.,factor,,,,organic carbon = Author specified that fraction carbon measurements were of organic carbon. total carbon = Author specified that fraction carbon measurements were of total carbon.
carbon_profile_notes,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",character,,,,
cs137_counting_method,Code indicating the method used for determining radiocesium activity.,factor,,,,alpha = Alpha counting method used. gamma = Gamma counting method used.
pb210_counting_method,Code indicating the method used for determining lead 210 activity.,factor,,,,alpha = Alpha counting method used. gamma = Gamma counting method used.
excess_pb210_rate,Code indicating the mass or accretion rate used in the excess_pb_210_model,factor,,,,mass accumulation = Excess 210Pb modeled using mass accumulation rate. accretion = Excess 210Pb modeled using vertical accretion rate.
excess_pb210_model,Code indicating the model used to estimate excess lead 210.,factor,,,,CRS = Constant rate of supply model used. CIC = Constant initial concentration model used. CFCS = Constant flux constant sedimentation model used.
ra226_assumption,Code indicating the assumption used to estimate the core's background 226Ra levels.,factor,,,,each sample = 226Ra was measured for each sample. total core = 226Ra was measured for the total core. at asymptote = asy
c14_counting_method,Code indicating the method used for determining radiocarbon activity.,factor,,,,AMS = Accelerator mass spectroscopy used. beta = Beta counting used.
dating_notes,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,character,,,,
age_depth_model_reference,Code indicating the reference or 0 year of the age depth model.,factor,,,,"YBP = Year zero is defined as years before present, 1960 CE. CE = Year zero is set according to Common Era and Before Common Era standards. core collection date = Year zero is set as the core’s collection year."
age_depth_model_notes,Any submitter defined notes on how the age depth model was created.,character,,,,
site_description,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,character,,,,
site_latitude_max,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,numeric,degree,,real,
site_latitude_min,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,real,
site_longitude_max,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,real,
site_longitude_min,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,real,
site_boundaries,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",character,,,,
salinity_notes,Any relevant submitter generated notes on how salinity_class was determined.,character,,,,
vegetation_class,Code based on submitter field observations or measurement indicating dominant wetland vegetation type.,factor,,,,emergent = Describes wetlands dominated by persistent emergent vascular plants. scrub shrub = Describes wetlands dominated by woody vegetation < or equal to 5 meters in height. forested = Describes wetlands dominated by woody vegetation > 5 meters in height. FO/SS = Dominated by forested to scrub/shrub biomass. seagrass = Describes tidal or subtidal communities dominated by rooted vascular plants.
inundation_notes,Any relevant submitter generated notes on how inundation was determined,character,,,,
core_id,Core identification code unique to each site.,factor,,,,
core_date,Date of core collection.,Date,,YYYY-MM-DD,,
core_notes,Any other relevant submitter generated notes on how cores were collected.,factor,,,,
core_latitude,Positional latitude of the core in decimal degree WGS84.,numeric,degree,,real,
core_longitude,Positional longitude of the core in decimal degree WGS84.,numeric,degree,,real,
core_position_accuracy,"Accuracy of latitude and longitude measurement, if determined and recorded.",numeric,meter,,real,
core_position_method,Code indicating how latitude and longitude were determined.,factor,,,,RTK = Real-time kinematic global position system (GPS). handheld = Conventional Commercially available hand-held GPS. other high resolution = Any other technique resulting in positional error < 1 meter. other moderate resolution = Any other technique resulting in positional error < 30 meters. other low resolution = Any other technique resulting in positional error > 30 meters.
core_position_notes,Any relevant submitter generated notes on how latitude and longitude were determined.,character,,,,
core_elevation,Surface elevation of the core relative to defined datum.,numeric,meter,,real,
core_elevation_datum,The datum relative to which the core elevation was measured against (For a complete list of datum names and aliases please refer to the ISO Geodedic Registry https://iso.registry.bespire.eu/register/geodetic/VerticalDatum).,factor,,,,"NAVD88 = A gravity-based geodetic datum, North American Vertical Datum of 1988. MSL = A tidal datum, Mean Sea Level as measured against a local tide gauge. MTL = A tidal datum, Mean Tidal Level as measured against a local tide gauge. MHW = A tidal datum, Mean High Water as measured against a local tide gauge. MHHW = A tidal datum, Mean Higher High Water as measured against a local tide gauge. MHHWS = A tidal datum, Mean Higher High Water for Spring Tides as measured against a local tide gauge. MLW = A tidal datum, Mean Low Water as measured against a local tide gauge. MLLW = A tidal datum, Mean Lower Low Water as measured against a local tide gauge."
core_elevation_accuracy,"Accuracy of elevation measurement, if determined and recorded",numeric,meter,,real,
core_elevation_method,Code indicating how elevation was determined,factor,,,,RTK = Real-time kinematic GPS. other high resolution = Any other technique resulting in positional error < 5 cm of random error. LiDAR = Handheld GPS matched to lidar-based digital elevation model. DEM = Handheld GPS matched to another digital elevation model. other low resolution = Any other technique resulting in positional error > 5 cm of random error.
core_elevation_notes,Any relevant submitter generated notes on how elevation was determined,character,,,,
salinity_class,"Code based on submitter field observation or measurement indicating average annual salinity (Note: Palustrine and freshwater should only include tidal wetlands, or wetlands that are potentially/formerly tidal but artificially freshened due to artificial tidal restrictions).",factor,,,,estuarine C-CAP = 5-35 parts per thousand salinity (ppt) according to the coastal change analysis program. palustrine C-CAP = < 5 ppt according to the coastal change analysis program. estuarine = 0.5-35 ppt according to most other definitions. palustrine = < 0.5 ppt according to most other definitions. brine = >50 ppt. saline = 30-50 ppt. brackish = 0.5-30 ppt. fresh = <0.5 ppt. mixoeuhaline = 30-40 ppt. polyhaline = 18-30 ppt. mesohaline = 5-18 ppt. oligohaline = 0.5-5 ppt.
salinity_method,Indicate whether salinity_class was determined using a field observation or a measurement,factor,,,,field observation = Salinity inferred by field observation such as vegetation. measurement = Salinity observed from local instrument.
vegetation_method,Indicate whether vegetation_class was determined using a field observation or a measurement,factor,,,,field observation = Vegetation inferred by field observation. measurement = Vegetation measured by counts or plots.
vegetation_notes,Any relevant submitter generated notes on how vegetation_class and dominant_species were determined.,character,,,,
inundation_class,Code based on submitter field observation or measurement indicating how often the coring location is inundated.,factor,,,,"high = Study-specific definition of an elevation relatively high in the tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low tidal frame, typically defined by vegetation type. mid = Study-specific definition of an elevation in the relative middle of the tidal frame, typically defined by vegetation type. low = Study-specific definition of an elevation in relatively low in the tidal frame, typically defined by vegetation type. levee = Study-specific definition of a relatively high elevation zone built up on the edge of a river, creek, or channel. back = Study-specific definition of a relatively low elevation zone behind a levee."
inundation_method,Indicate whether inundation_class was determined using a field observation or a measurement,factor,,,,field observation = Inundation inferred by field observation such as vegetation. measurement = Inundation class assesed from elevation and nearby tidegauge or other similar method.
core_length_flag,"Indicated whether or not the coring team believes they recovered a full sediment profile, down to bedrock, or other non-marsh interface.",factor,,,,core depth limited by length of corer = The total depth of the core was limited by the length of the coring device. core depth represents deposit depth = Authors report that the depth of the core represents the depth of the wetland soil deposit. not specified = Authors did not specify whether or not the depth of the core represents the depth of the wetland soil deposit.
depth_min,Minimum depth of a sampling increment.,numeric,centimeter,,real,
depth_max,Maximum depth of a sampling increment.,numeric,centimeter,,real,
sample_id,"Sample identification unique to the core. This should be used in the case that there are relevant lab specific sample codes, or in the case that there are multiple replicate samples.",character,,,,
dry_bulk_density,Dry mass per unit volume of a soil sample. This does not include ash free bulk density.,numeric,gramsPerCubicCentimeter,,real,
fraction_organic_matter,Mass of organic matter relative to sample dry mass. Ash free bulk density should not be used here but should be expressed as a loss on ignition fraction.,numeric,dimensionless,,real,
fraction_carbon,Mass of carbon relative to sample dry mass.,numeric,dimensionless,,real,
compaction_fraction,Fraction of the sample depth interval reduced due to compaction.,numeric,dimensionless,,real,
compaction_notes,Any submitter generated notes on compaction.,character,,,,
cs137_activity,Radioactivity counts per unit dry weight for radiocesium (137Cs).,numeric,becquerelPerKilogram,,real,
