study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_unit,cs137_activity_notes,total_pb210_activity,ra226_activity,excess_pb210_activity,pb210_unit,be7_activity,be7_activity_notes,age
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,0,1,0.091094148,NA,0,disintegrations_per_minute_per_gram,below detection limits,24.00960041,0.847834936,23.16176547,disintegrations_per_minute_per_gram,8.017719921,NA,2.618521916
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,1,2,0.142239186,0.1446334312,0,disintegrations_per_minute_per_gram,below detection limits,27.93643898,0.321536754,27.61490222,disintegrations_per_minute_per_gram,0,below detection limits,6.106027719
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,2,3,0.129262087,NA,0,disintegrations_per_minute_per_gram,below detection limits,26.77934364,0.341220458,26.43812318,disintegrations_per_minute_per_gram,0,below detection limits,9.48264853
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,3,4,0.143765903,0.204533436,0,disintegrations_per_minute_per_gram,below detection limits,23.08329037,0.215840006,22.86745037,disintegrations_per_minute_per_gram,0,below detection limits,13.10464859
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,4,5,0.16692112,NA,0,disintegrations_per_minute_per_gram,below detection limits,18.81621823,0.370673651,18.44554458,disintegrations_per_minute_per_gram,0,below detection limits,16.9126281
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,5,6,0.136386768,0.2761474631,0,disintegrations_per_minute_per_gram,below detection limits,13.72337333,0.622466434,13.10090689,disintegrations_per_minute_per_gram,0,below detection limits,19.34897785
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,6,7,0.136895674,NA,0,disintegrations_per_minute_per_gram,below detection limits,10.19567369,0.5,9.695673688,disintegrations_per_minute_per_gram,0,below detection limits,21.28650609
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,7,8,0.175826972,0.2321798863,0.079299398,disintegrations_per_minute_per_gram,NA,10.82123804,0.546393735,10.27484431,disintegrations_per_minute_per_gram,0,below detection limits,24.12686549
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,8,9,0.158778626,NA,0,disintegrations_per_minute_per_gram,below detection limits,10.53811063,0.5,10.03811063,disintegrations_per_minute_per_gram,0,below detection limits,26.85995939
Gonneea_et_al_2018,Sage_Log_Pond,SLPA,9,10,0.184732824,0.23575602539999999,0,disintegrations_per_minute_per_gram,below detection limits,8.628505827,0.34094834,8.287557487,disintegrations_per_minute_per_gram,0,below detection limits,29.72425356
