"study_id","bibliography_id","publication_type","bibtype","title","author","school","doi","url","year","month","publisher","volume","number","pages","journal","copyright","editor","booktitle","institution","language","day","issue","issn","eprint","article-number"
"Vaughn_et_al_2020","Vaughn_et_al_2021_data","primary dataset","Misc","{Dataset: Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones}","Derrick Vaughn and Thomas Bianchi and Michael Shields and William Kenney and Todd Osborne",NA,"10.25573/serc.10552004.v2","https://smithsonian.figshare.com/articles/dataset/Dataset_Increased_Organic_Carbon_Burial_in_Northern_Florida_Mangrove-Salt_Marsh_Transition_Zones/10552004","2021","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vaughn_et_al_2020","Vaughn_et_al_2020_article","associated source","Article","Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones","Derrick R. Vaughn and Thomas S. Bianchi and Michael R. Shields and William F. Kenney and Todd Z. Osborne",NA,"10.1029/2019GB006334","https://doi.org/10.1029/2019GB006334","2020","4",NA,NA,NA,NA,"Global Biogeochemical Cycles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"van_Ardenne_et_al_2018","van_Ardenne_et_al_2018_dataset","primary dataset","Misc","High resolution carbon stock and soil data for three salt marshes along the northeastern coast of North America","Lee B. van Ardenne, Serge Jolicoeur, Dominique Bérubé, David Burdick, Gail L. Chmura",NA,"https://doi.org/10.1016/j.dib.2018.07.037","https://www.sciencedirect.com/science/article/pii/S2352340918308102#ec0010","2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"van_Ardenne_et_al_2018","van_Ardenne_et_al_2018_article","associated source","Article","The importance of geomorphic context for estimating the carbon stock of salt marshes","Lee B. van Ardenne, Serge Jolicoeur, Dominique Bérubé, David Burdick, Gail L. Chmura",NA,"https://doi.org/10.1016/j.geoderma.2018.06.003","https://www.sciencedirect.com/science/article/pii/S0016706117317172","2018",NA,NA,NA,NA,NA,"Geoderma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turck_2014","Turck_2014_data","primary dataset","Misc","Vibracore and Tree Stump Data from the Marsh Near Mary Hammock, McIntosh County, GA","Turck, John A",NA,"10.6073/pasta/4541ae084d807962b8c331eea61908bd","https://doi.org/10.6073/pasta/4541ae084d807962b8c331eea61908bd","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trettin_et_al_2020","Trettin_et_al_2020_data","associated data","Misc","Carbon stock inventory of mangroves, Pongara National Park, Gabon","Trettin, Carl C.; Dai, Zhaohua; Tang, Wenwu; Lagomasino, David; Thomas, Nathan; Lee, Seung-Kuk; Ebanega, Médard Obiang; Simard, Marc; Fatoyinbo, Temilola E.",NA,"10.2737/RDS-2020-0040","https://doi.org/10.2737/RDS-2020-0040","2020","feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA
"Trettin_et_al_2017","Trettin_et_al_2017_data","primary dataset","Misc","Mangrove carbon stocks in Zambezi River Delta, Mozambique","Carl C. Trettin and Christina E. Stringer and Stanley J. Zarnoch and Wenwu Tang and Zhaohua Dai",NA,"10.2737/rds-2017-0053","https://doi.org/10.2737/rds-2017-0053","2017",NA,"Forest Service Research Data Archive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thorne_et_al_2015","Thorne_et_al_2015_data","primary dataset","Misc","Marshes to Mudflats: Climate Change Effects Along a Latitudinal Gradient in the Pacific Northwest","U.S. Geological Survey {Karen Thorne}",NA,"10.5066/F7SJ1HNC","https://www.sciencebase.gov/catalog/item/5006e99ee4b0abf7ce733f58","2015",NA,"U.S. Geological Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thorne_et_al_2015","Thorne_et_al_2015_article","associated source","Article","U.S. Pacific coastal wetland resilience and vulnerability to sea-level rise","Karen Thorne and Glen MacDonald and Glenn Guntenspergen and Richard Ambrose and Kevin Buffington and Bruce Dugger and Chase Freeman and Christopher Janousek and Lauren Brown and Jordan Rosencranz and James Holmquist and John Smol and Kathryn Hargan and John Takekawa",NA,"10.1126/sciadv.aao3270","https://doi.org/10.1126/sciadv.aao3270","2018","feb","American Association for the Advancement of Science ({AAAS})","4","2","eaao3270","Science Advances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thom_1992","Thom_1992_data","primary dataset","Misc","Dataset: Accretion rates of low intertidal salt marshes in the Pacific Northwest","Ronald M. Thom",NA,"10.25573/DATA.10046189","https://smithsonian.figshare.com/articles/Dataset_Accretion_rates_of_low_intertidal_salt_marshes_in_the_Pacific_Northwest/10046189","2019",NA,"The Smithsonian Institution",NA,NA,NA,NA,"CC BY 4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thom_1992","Thom_1992_article","associated source","Article","Accretion rates of low intertidal salt marshes in the Pacific Northwest","Ronald M. Thom",NA,"10.1007/bf03160603","https://doi.org/10.1007/bf03160603","1992","dec","Springer Science and Business Media {LLC}","12","3","147--156","Wetlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"StLaurent_et_al_2020","StLaurent_et_al_2020_data","primary dataset","Misc","Dataset: Assessing coastal carbon variability in two Delaware tidal marshes","Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and {Calyn M. Crawford} and {Drexel Siok}",NA,"10.25573/SERC.13315472","https://smithsonian.figshare.com/articles/dataset/Dataset_Assessing_coastal_carbon_variability_in_two_Delaware_tidal_marshes/13315472","2020","dec","The Smithsonian Institution",NA,NA,NA,NA,"Creative Commons Attribution 4.0 International",NA,NA,NA,NA,NA,NA,NA,NA,NA
"StLaurent_et_al_2020","StLaurent_et_al_2020_article","associated source","Article","Assessing coastal carbon variability in two Delaware tidal marshes","Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and Calyn M. Crawford and Drexel Siok",NA,"10.1007/s11852-020-00783-3","https://doi.org/10.1007/s11852-020-00783-3","2020","oct","Springer Science and Business Media {LLC}","24","6",NA,"Journal of Coastal Conservation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stevens_et_al_2024","Stevens_et_al_2024_data",NA,"Misc","Sediment Accumulation in Salt Marshes Across the Southeastern United States","Luke David Stevens",NA,"10.25573/serc.25289635","https://smithsonian.figshare.com/articles/dataset/Sediment_Accumulation_in_Salt_Marshes_Across_the_Southeastern_United_States/25289635","2015",NA,NA,NA,NA,NA,"East Carolina University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stahl_et_al_2024","Stahl_et_al_2024","primary dataset","Misc","Dataset: Tidal freshwater forests: Sentinels for climate change","McKenna Stahl, Sarah Widney and Christopher Craft",NA,"10.25573/serc.24886155","https://doi.org/10.25573/serc.24886155","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stahl_et_al_2024","Stahl_et_al_2018","article","Article","Tidal freshwater forests: Sentinels for climate change","McKenna Stahl, Sarah Widney and Christopher Craft",NA,"10.1016/j.ecoleng.2018.03.002","{https://doi.org/10.1016/j.ecoleng.2018.03.002","2018",NA,NA,NA,NA,NA,"Ecological Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snedden_2021","Snedden_2021_data","primary dataset","Misc","Soil properties and soil radioisotope activity across Breton Sound basin wetlands (2008-2013)","Gregg A. Snedden",NA,"https://doi.org/10.5066/P9XWAXOT","https://www.sciencebase.gov/catalog/item/60078ab4d34e162231fb1ce7","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Snedden_2018","Snedden_2018_article","primary dataset","Misc","Dataset: Soil properties, soil radioisotope activity, and end-of-season belowground biomass across Barataria basin wetlands (2016)","Gregg A. Snedden",NA,"https://doi.org/10.5066/F7BK1BJ8","https://www.sciencebase.gov/catalog/item/5a4eae82e4b0d05ee8c6649c","2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith_and_Kirwan_2021","Smith_and_Kirwan_2021_article","associated source","article","Sea Level-Driven Marsh Migration Results in Rapid Net Loss of Carbon","Alexander Smith, Matthew Kirwan",NA,"10.1029/2021GL092420","https://doi.org/10.1029/2021GL092420","2021","jul","AGU","48",NA,NA,"Geophysical Research Letters",NA,NA,NA,NA,NA,"16","13",NA,NA,NA
"Smith_and_Kirwan_2021","Smith_and_Kirwan_2021_data","primary dataset","misc","Sea Level-Driven Marsh Migration Results in Rapid Net Loss of Carbon","Alexander Smith, Matthew Kirwan",NA,"10.25573/serc.24916407","https://smithsonian.figshare.com/articles/dataset/Sea_Level-Driven_Marsh_Migration_Results_in_Rapid_Net_Loss_of_Carbon/24916407","2023",NA,"Smithsonian Environmental Research Center",NA,NA,NA,NA,"Creative Commons Attribution 4.0 International",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith_et_al_2015","Smith_et_al_2015_data","primary dataset","Misc","Wetland paleoecological study of southwest coastal Louisiana: sediment cores and diatom calibration dataset","Kathryn E. L. Smith and James G. Flocks and Gregory D. Steyer and Sarai C. Piazza",NA,"10.3133/ds877","https://doi.org/10.3133/ds877","2015",NA,"{US} Geological Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith_et_al_2015","Smith_2012_phdthesis","associated source","PhdThesis","PALEOECOLOGICAL STUDY OF COASTAL MARSH IN THE CHENIER PLAIN, LOUISIANA: INVESTIGATING THE DIATOM COMPOSITION OF HURRICANE-DEPOSITED SEDIMENTS AND A DIATOM-BASED QUANTITATIVE RECONSTRUCTION OF SEA-LEVEL CHARACTERISTICS","Kathryn E.L. Smith","University of Florida",NA,"https://ufdc.ufl.edu/UFE0044969/00001/pdf","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","Simard_et_al_2019_data","primary dataset","misc","Global Mangrove Distribution, Aboveground Biomass, and Canopy Height","Simard, M., T. Fatoyinbo, C. Smetanka, V.H. Rivera-monroy, E. Castaneda, N. Thomas, and T. Van der stocken",NA,"10.3334/ORNLDAAC/1665","https://doi.org/10.3334/ORNLDAAC/1665","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simard_et_al_2019","Simard_et_al_2019_article","associated source","article","Mangrove canopy height globally related to precipitation, temperature and cyclone frequency","Simard, M., T. Fatoyinbo, C. Smetanka, V.H. Rivera-monroy, E. Castaneda, N. Thomas, and T. Van der stocken",NA,"10.1038/s41561-018-0279-1","https://doi.org/10.1038/s41561-018-0279-1","2019",NA,NA,"12",NA,"40-45","Nature Geoscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shaw_et_al_2020","Shaw_et_al_2020_data","primary dataset","Misc","Dataset: Relative sea-level change and driving processes during the past ~4000 years in the Chesapeake Bay, U.S. Atlantic Coast","Timothy Shaw and Niamh Cahill and G Barbieri and E Ashe and Nicole {S. Khan} and M Brain and Michael E. Mann and Jennifer Clear and D. Reide Corbett and Daria Nikitina and Jennifer Walker and J Pilarczyk and Andrew {C. Kemp} and Simon E. Engelhart and R Kopp and S Culver and Benjamin {P. Horton}",NA,"10.25573/SERC.24526066","https://smithsonian.figshare.com/articles/dataset/Dataset_Relative_sea-level_change_and_driving_processes_during_the_past_4000_years_in_the_Chesapeake_Bay_U_S_Atlantic_Coast/24526066","2023",NA,"Smithsonian Environmental Research Center",NA,NA,NA,NA,"Creative Commons Attribution 4.0 International",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shaw_et_al_2020","Christie_et_al_2021_article","associated source","Article","Pollen Geochronology from the Atlantic Coast of the United States during the Last 500 Years","Margaret A. Christie and Christopher E. Bernhardt and Andrew C. Parnell and Timothy A. Shaw and Nicole S. Khan and D. Reide Corbett and Ane Garc\'\ia-Artola and Jennifer Clear and Jennifer S. Walker and Jeffrey P. Donnelly and Tobias R. Hasse and Benjamin P. Horton",NA,"10.3390/w13030362","https://doi.org/10.3390/w13030362","2021","jan","{MDPI} {AG}","13","3","362","Water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senger_et_al_2020","Senger_et_al_2020","primary dataset","Misc","Sediment characteristics of the mangrove forest of Bonaire, Dutch Caribbean","Senger, Florian; Gillis, Lucy Gwen; Engel, Sabine",NA,"https://doi.org/10.1594/PANGAEA.910431","https://doi.pangaea.de/10.1594/PANGAEA.910431","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senger_et_al_2020","Senger_et_al_2021_paper","associated source","Article","Impacts of wetland dieback on carbon dynamics: A comparison between intact and degraded mangroves","D.F. Senger, D.A. Saavedra Hortua, S. Engel, M. Schnurawa, N. Moosdorf, L.G. Gillis",NA,"https://doi.org/10.1016/j.scitotenv.2020.141817","https://www.sciencedirect.com/science/article/pii/S0048969720353468","2021",NA,NA,NA,NA,NA,"Science of the Total Environment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell_et_al_2015","Campbell_et_al_2014_article","synthesis source","Article","Carbon Storage in Seagrass Beds of Abu Dhabi, United Arab Emirates","J. E. Campbell and E. A. Lacey and R. A. Decker and S. Crooks and J. W. Fourqurean",NA,"10.1007/s12237-014-9802-9","https://doi.org/10.1007/s12237-014-9802-9","2014","mar","Springer Science and Business Media {LLC}","38","1","242--251","Estuaries and Coasts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schile-Beers_and_Megonigal_2017","Schile-Beers_et_al_2017_data","synthesis dataset","Misc","Abu Dhabi Blue Carbon Demonstration Project","Lisa M. Schile and J. Patrick Megonigal",NA,"10.5479/data_serc/10088/31949","https://repository.si.edu/handle/10088/31949","2017",NA,"Smithsonian Environmental Research Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Campbell_et_al_2015","Schile-Beers_et_al_2017_data","synthesis dataset","Misc","Abu Dhabi Blue Carbon Demonstration Project","Lisa M. Schile and J. Patrick Megonigal",NA,"10.5479/data_serc/10088/31949","https://repository.si.edu/handle/10088/31949","2017",NA,"Smithsonian Environmental Research Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schieder_and_Kirwan_2019","Schieder_and_Kirwan_2019_article","associated source","article","Sea-level driven acceleration in coastal forest retreat","Nathalie Schieder, Matthew Kirwan",NA,"10.1130/G46607.1","https://doi.org/10.1130/G46607.1","2019",NA,NA,"47",NA,"1151–1155","Geology",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA
"Schieder_and_Kirwan_2019","schieder_and_kirwan_2019_data","primary dataset","misc","Dataset: Sea-level driven acceleration in coastal forest retreat","Nathalie Schieder, Matthew Kirwan",NA,"10.25573/serc.25259983","https://smithsonian.figshare.com/articles/dataset/Dataset:_Sea-level_driven_acceleration_in_coastal_forest_retreat/10.25573/serc.25259983","2024",NA,"Smithsonian Environmental Research Center",NA,NA,NA,NA,"Creative Commons Attribution 4.0 International",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saunders_2013","Saunders_2013_data","primary dataset","Misc","Radiometric Characteristics of Soil Sediments from Shark River Slough, Everglades National Park (FCE) from 2005 and 2006","Saunders, Colin",NA,"10.6073/pasta/c0cb8ff0f150e429674ecf0db15bedc5","https://doi.org/10.6073/pasta/c0cb8ff0f150e429674ecf0db15bedc5","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AU_NatSoil","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abino_et_al_2014","Abino_et_al_2014_article","synthesis source","Article","Species diversity, biomass, and carbon stock assessments of a natural mangrove forest in Palawan, Philippines","Abino, Azyleah C and CaPak. J. Botstillo, Jose Alan A and Lee, Young Jin",NA,NA,NA,"2014",NA,NA,"46","6",NA,"Pak. J. Bot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abino_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adame_et_al_2013","Adame_et_al_2013_article","synthesis source","Article","Carbon Stocks of Tropical Coastal Wetlands within the Karstic Landscape of the Mexican Caribbean","Maria Fernanda Adame and J. Boone Kauffman and Israel Medina and Julieta N. Gamboa and Olmo Torres and Juan P. Caamal and Miriam Reza and Jorge A. Herrera-Silveira",NA,"10.1371/journal.pone.0056569","https://doi.org/10.1371/journal.pone.0056569","2013","feb","Public Library of Science ({PLoS})","8","2","e56569","{PLoS} {ONE}",NA,"Han Y. H. Chen",NA,NA,NA,NA,NA,NA,NA,NA
"Adame_et_al_2013","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adame_et_al_2015","Adame_et_al_2015_article","synthesis source","Article","Carbon stocks and soil sequestration rates of tropical riverine wetlands","M. F. Adame and N. S. Santini and C. Tovilla and A. VÃ¡zquez-Lule and L. Castro and M. Guevara",NA,"10.5194/bg-12-3805-2015","https://doi.org/10.5194/bg-12-3805-2015","2015","jun","Copernicus {GmbH}","12","12","3805--3818","Biogeosciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adame_et_al_2015","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AfSIS_Sentinel_Sites","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AfSPDB","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajonina_et_al_2014","Ajonina_et_al_2014_article","synthesis source","InCollection","Carbon Budget as a Tool for Assessing Mangrove Forests Degradation in the Western, Coastal Wetlands Complex (Ramsar Site 1017) of Southern Benin, West Africa","Gordon N. Ajonina and Expedit Evariste Ago and Gautier Amoussou and Eugene Diyouke Mibog and Is Deen Akambi and Eunice Dossa",NA,"10.1007/978-3-319-06388-1_12","https://doi.org/10.1007/978-3-319-06388-1_12","2014",NA,"Springer International Publishing",NA,NA,"139--149",NA,NA,NA,"Estuaries of the World",NA,NA,NA,NA,NA,NA,NA
"Ajonina_et_al_2014","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen_et_al_2007","Allen_et_al_2007_article","synthesis source","Article","Spatial and temporal variation of nitrous oxide and methane flux between subtropical mangrove sediments and the atmosphere","Diane E. Allen and Ram C. Dalal and Heinz Rennenberg and Rikke Louise Meyer and Steven Reeves and Susanne Schmidt",NA,"10.1016/j.soilbio.2006.09.013","https://doi.org/10.1016/j.soilbio.2006.09.013","2007","feb","Elsevier {BV}","39","2","622--631","Soil Biology and Biochemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen_et_al_2007","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Along_et_al_2000_MEPS","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_1996","Alongi_1996_article","synthesis source","Article","The dynamics of benthic nutrient pools and fluxes in tropical mangrove forests","Daniel M. Alongi",NA,"10.1357/0022240963213475","https://doi.org/10.1357/0022240963213475","1996","jan","Journal of Marine Research/Yale","54","1","123--148","Journal of Marine Research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_1996","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_1999","Alongi_et_al_1999_article","synthesis source","Article","Mineralization of Organic Matter in Intertidal Sediments of a Tropical Semi-enclosed Delta","D.M. Alongi and F. Tirendi and P. Dixon and L.A. Trott and G.J. Brunskill",NA,"10.1006/ecss.1998.0465","https://doi.org/10.1006/ecss.1998.0465","1999","apr","Elsevier {BV}","48","4","451--467","Estuarine, Coastal and Shelf Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alongi_et_al_1999","Sanderman_2018_data","synthesis dataset","Misc","Global mangrove soil carbon: dataset and spatial maps","Jonathan Sanderman",NA,"10.7910/dvn/ocyuit","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT","2017",NA,"Harvard Dataverse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
